id	Chinese	English	Japanese	Korean
1011094	 附有奇特能量的战甲	 This armor carries a strange energy.	 特別なエネルギーを持つアーマー	 특이한 에너지를 가진 전투 갑옷입니다.
1011095	散发着浓浓煞气的战靴	These boots exude a baleful energy.	おぞましい気配を感じ取れる戦靴	살기가 가득한 전투 신발입니다.
1011096	 附有奇特能量的战靴	 These boots carry a strange energy.	 特別なエネルギーを持つ戦靴	 특이한 에너지를 가진 전투 신발입니다.
1011097	流淌着微弱流光的武器，有相当的攻击力	A weak light shimmers through this weapon, granting it significant power.	微かな光を発している武器、ある程度の攻撃力を誇る	희미한 빛이 나는 무기입니다. 일정한 공격력을 가지고 있습니다.
1011098	造型奇特的武器，攻击力相当不错	This strangely shaped weapon is quite powerful.	特殊な外観を持つ武器、それ相応の攻撃力を持つ	모양이 특이한 무기입니다. 공격력이 괜찮은 편입니다.
1011099	冲锋陷阵梦寐以求的武器，攻击力较强	A coveted weapon used for charging into enemy lines. It offers incredible power.	突撃で使いたい武器、比較的強い攻撃力を持つ	꿈에 그리던 돌격 무기입니다. 공격력이 비교적 높습니다.
1011100	流淌着微弱流光的手套，有相当的攻击力	A weak light shimmers through these gloves, granting them significant power.	微かな光を発しているグローブ、それ相応の攻撃力を持つ	희미한 빛이 나는 장갑입니다. 일정한 공격력을 가지고 있습니다.
1011101	造型奇特的手套，攻击力相当不错	These strangely shaped gloves are quite powerful.	特殊な外観を持つグローブ、それ相応の攻撃力を持つ	모양이 특이한 장갑입니다. 공격력이 괜찮은 편입니다.
1011102	冲锋陷阵梦寐以求的手套，攻击力较强	A pair of gloves used for charging into enemy lines. They offer incredible power.	突撃で使いたいグローブ、比較的強い攻撃力を持つ	꿈에 그리던 돌격 장갑입니다. 공격력이 비교적 높습니다.
1011103	流淌着微弱流光的战甲，有相当的防护力	A weak light shimmers through this armor, granting it significant protection.	微かな光を発しているアーマー、それ相応の防御力を持つ	희미한 빛이 나는 전투 갑옷입니다. 일정한 방어력을 가지고 있습니다.
1011104	造型奇特的战甲，防护力相当不错	This strangely shaped armor grants strong protection.	特殊な外観を持つアーマー、それ相応の防御力を持つ	모양이 특이한 전투 갑옷입니다. 방어력이 괜찮은 편입니다.
1011105	冲锋陷阵梦寐以求的战甲，防护力较强	A coveted piece of armor used for charging into enemy lines. It offers heavy protection.	突撃で使いたいアーマー、比較的強い防御力を持つ	꿈에 그리던 돌격 전투 갑옷입니다. 방어력이 비교적 높습니다.
1011106	流淌着微弱流光的战靴，有相当的防护力	A weak light shimmers through these boots, granting them significant protection.	微かな光を発している戦靴、それ相応の防御力を持つ	희미한 빛이 나는 전투 신발입니다. 일정한 방어력을 가지고 있습니다.
1011107	造型奇特的战靴，防护力相当不错	These strangely shaped boots grant strong protection.	特殊な外観を持つ戦靴、それ相応の防御力を持つ	모양이 특이한 전투 신발입니다. 방어력이 괜찮은 편입니다.
1011108	冲锋陷阵梦寐以求的战靴，防护力较强	A coveted pair of boots used for charging into enemy lines. They offer heavy protection.	突撃で使いたい戦靴、比較的強い防御力を持つ	꿈에 그리던 돌격 전투 신발입니다. 방어력이 비교적 높습니다.
1011109	被无畏精神所包围的武器，有惊人的攻击力	Surrounded by a fearless spirit, this weapon provides immense power.	勇気をまとっている武器、驚異的な攻撃力を持つ	두려워 않는 정신을 가진 무기입니다. 놀라운 공격력을 가지고 있습니다.
1011110	吸收万千魂魄精华所铸造的武器，攻击力超乎想象	Forged from the essence of a thousand souls, this weapon offers power beyond imagination.	幾千万の魂を吸収して作られた武器、想像を超えるほどの攻撃力を持つ	수많은 영혼의 정수로 만든 무기입니다. 공격력이 상상을 초월합니다.
1011111	征服王所佩戴的武器，。	This weapon carries the power to conquer the world.	征服王が使っていた武器、世界征服を象徴している	정복여왕이 착용한 무기입니다. 세계를 정복한 힘을 가지고 있습니다.
1011112	被命运所眷顾，受到命运的祝福的武器	This weapon has been blessed by fate.	運命に見守られる、運命の祝福を受けた武器	운명의 축복을 받은 무기입니다.
1011113	被无畏精神所包围的手套，有惊人的攻击力	Surrounded by a fearless spirit, these gloves provide immense power.	勇気をまとっているグローブ、驚異的な攻撃力を持つ	두려워 않는 정신을 가진 장갑입니다. 놀라운 공격력을 가지고 있습니다.
1011114	吸收万千魂魄精华所铸造的手套，攻击力超乎想象	Forged from the essence of a thousand souls, these gloves offer power beyond imagination.	幾千万の魂を吸収して作られたグローブ、想像を超えるほどの攻撃力を持つ	수많은 영혼의 정수로 만든 장갑입니다. 공격력이 상상을 초월합니다.
1011115	征服王所穿戴的手套，代表着征服世界的力量	These gloves carry the power to conquer the world.	征服王が使っていたグローブ、世界征服を象徴している	정복여왕이 착용한 장갑입니다. 세계를 정복한 힘을 가지고 있습니다.
1011116	被命运所眷顾，受到命运的祝福的手套	These gloves have been blessed by fate.	運命に見守られる、運命の祝福を受けたグローブ	운명의 축복을 받은 장갑입니다.
1011117	被无畏精神所包围的战甲，有惊人的防护力	Surrounded by a fearless spirit, this armor provides immense protection.	勇気をまとっているアーマー、驚異的な防御力を持つ	두려워 않는 정신을 가진 전투 갑옷입니다. 놀라운 방어력을 가지고 있습니다.
1011118	吸收万千魂魄精华所铸造的战甲，防护力超乎想象	Forged from the essence of a thousand souls, this armor offers power beyond imagination.	幾千万の魂を吸収して作られたアーマー、想像を超えるほどの防御力を持つ	수많은 영혼의 정수로 만든 전투 갑옷입니다. 방어력이 상상을 초월합니다.
1011119	征服王所穿戴的战甲，代表着征服世界的力量	This armor carries the power to conquer the world.	征服王が使っていたアーマー、世界征服を象徴している	정복여왕이 착용한 전투 갑옷입니다. 세계를 정복한 힘을 가지고 있습니다.
1011120	被命运所眷顾，受到命运的祝福的战甲	This armor has been blessed by fate.	運命に見守られる、運命の祝福を受けたアーマー	운명의 축복을 받은 전투 갑옷입니다.
1011121	被无畏精神所包围的战靴，有惊人的防护力	Surrounded by a fearless spirit, these boots provide immense protection.	勇気をまとっている戦靴、驚異的な防御力を持つ	두려워 않는 정신을 가진 전투 신발입니다. 놀라운 방어력을 가지고 있습니다.
1011122	吸收万千魂魄精华所铸造的战靴，防护力超乎想象	Forged from the essence of a thousand souls, these boots offer protection beyond imagination.	幾千万の魂を吸収して作られた戦靴、想像を超えるほどの防御力を持つ	수많은 영혼의 정수로 만든 전투 신발입니다. 방어력이 상상을 초월합니다.
1011123	征服王所穿戴的战靴，代表着征服世界的力量	These boots carry the power to conquer the world.	征服王が使っていた戦靴、世界征服を象徴している	정복여왕이 착용한 전투 신발입니다. 세계를 정복한 힘을 가지고 있습니다.
1011124	被命运所眷顾，受到命运的祝福的战靴	These boots have been blessed by fate.	運命に見守られる、運命の祝福を受けた戦靴	운명의 축복을 받은 전투 신발입니다.
1011125	传说是在圣光的沐浴下中诞生的武器，充满着神圣的力量	Legend has it that this weapon was forged under a shower of radiant light. It exudes scared power.	伝説の聖なる光を浴びながら誕生した武器、神聖な力を感じられる	전설의 성광 속에서 탄생한 무기입니다. 성스러운 힘이 가득합니다.
1011126	这是一把创造过无数奇迹武器	This weapon has brought about countless miracles.	無数の奇跡を生み出した武器	수많은 기적을 창조한 무기입니다.
1011127	以秘法封印了风暴之力炼制出的武器，有至强攻击力	Refined by sealing the power of storms with a forgotten technique, this weapon boasts incredible power.	秘術でストームの力を中に封印して錬成した武器、強い攻撃力を持つ	폭풍의 힘을 봉인하여 정련한 무기입니다. 아주 강한 공격력을 가지고 있습니다.
1011128	来之另一个世界的神秘武器，拥有洞穿世界的力量	This mysterious weapon from another world carries an earth-shattering power.	異世界からの謎の武器、世界を穿つほどの力を持つ	다른 세계에서 온 신비한 무기입니다. 세계를 꿰뚫는 힘을 가지고 있습니다.
1011129	被冥界之海孕养了上万年的武器，拥有神鬼莫测之威	Tempered for thousands of years in the abyss, this weapon carries an unpredictable power.	冥界の海で一万年以上眠っていた武器、計り知れない威力を持つ	명계의 바다에서 만 년 넘게 육성된 무기입니다. 가늠할 수 없는 위력을 가집니다.
1011130	死神所佩之刃，代表着可随意收割生灵的力量	The reaper's blade carries the power to harvest souls.	死神が使っていた刃、気ままに魂を狩る力の象徴	사신이 찬 칼날입니다. 생명을 거두는 힘을 가지고 있습니다.
1011131	传说是在圣光的沐浴下中诞生的手套，充满着神圣的力量	Legend has it that these gloves were forged under a shower of radiant light. They exude scared power.	伝説の聖なる光を浴びながら誕生したグローブ、神聖な力を感じられる	전설의 성광 속에서 탄생한 장갑입니다. 성스러운 힘이 가득합니다.
1011132	这是一把创造过无数奇迹手套	These gloves have brought about countless miracles.	無数の奇跡を生み出したグローブ	수많은 기적을 창조한 장갑입니다.
1011133	以秘法封印了风暴之力炼制出的手套，有至强攻击力	Refined by sealing the power of storms with a forgotten technique, these gloves boast incredible power.	秘術でストームの力を中に封印して錬成したグローブ、強い攻撃力を持つ	폭풍의 힘을 봉인하여 정련한 장갑입니다. 아주 강한 공격력을 가지고 있습니다.
1011134	来之另一个世界的神秘手套，拥有洞穿世界的力量	These mysterious gloves from another world carry an earth-shattering power.	異世界からの謎のグローブ、世界を穿つほどの力を持つ	다른 세계에서 온 신비한 장갑입니다. 세계를 꿰뚫는 힘을 가지고 있습니다.
1011135	被冥界之海孕养了上万年的手套，拥有神鬼莫测之威	Tempered for thousands of years in the abyss, these gloves carry an unpredictable power.	冥界の海で一万年以上眠っていたグローブ、計り知れない威力を持つ	명계의 바다에서 만 년 넘게 육성된 장갑입니다. 가늠할 수 없는 위력을 가집니다.
1011136	死神所穿手套，代表着可随意收割生灵的力量	The reaper's gloves carry the power to harvest souls.	死神が使っていたグローブ、気ままに魂を狩る力の象徴	사신이 찬 장갑입니다. 생명을 거두는 힘을 가지고 있습니다.
1011137	传说是在圣光的沐浴下中诞生的战甲，充满着神圣的力量	Legend has it that this armor was forged under a shower of radiant light. It exudes scared power.	伝説の聖なる光を浴びながら誕生したアーマー、神聖な力を感じられる	전설의 성광 속에서 탄생한 전투 갑옷입니다. 성스러운 힘이 가득합니다.
1011138	这是一把创造过无数奇迹战甲	This armor has brought about countless miracles.	無数の奇跡を生み出したアーマー	수많은 기적을 창조한 전투 갑옷입니다.
1011139	以秘法封印了风暴之力炼制出的战甲，有至强防护力	Refined by sealing the power of storms with a forgotten technique, this armor boasts incredible power.	秘術でストームの力を中に封印して錬成したアーマー、強い防御力を持つ	폭풍의 힘을 봉인하여 정련한 전투 갑옷입니다. 아주 강한 방어력을 가지고 있습니다.
1011140	来之另一个世界的神秘战甲，拥有洞穿世界的力量	This mysterious armor from another world carries an earth-shattering power.	異世界からの謎のアーマー、世界を穿つほどの力を持つ	다른 세계에서 온 신비한 전투 갑옷입니다. 세계를 꿰뚫는 힘을 가지고 있습니다.
1011141	被冥界之海孕养了上万年的战甲，拥有神鬼莫测之威	Tempered for thousands of years in the abyss, this armor carries an unpredictable power.	冥界の海で一万年以上眠っていたアーマー、計り知れない威力を持つ	명계의 바다에서 만 년 넘게 육성된 전투 갑옷입니다. 가늠할 수 없는 위력을 가집니다.
1011142	传说是在圣光的沐浴下中诞生的战靴，充满着神圣的力量	Legend has it that these boots were forged under a shower of radiant light. They exude scared power.	伝説の聖なる光を浴びながら誕生した戦靴、神聖な力を感じられる	전설의 성광 속에서 탄생한 전투 신발입니다. 성스러운 힘이 가득합니다.
1011143	这是一把创造过无数奇迹战靴	These boots have brought about countless miracles.	無数の奇跡を生み出した戦靴	수많은 기적을 창조한 전투 신발입니다.
1011144	以秘法封印了风暴之力炼制出的战靴，有至强防护力	Refined by sealing the power of storms with a forgotten technique, these boots boast incredible power.	秘術でストームの力を中に封印して錬成した戦靴、強い防御力を持つ	폭풍의 힘을 봉인하여 정련한 전투 신발입니다. 아주 강한 방어력을 가지고 있습니다.
1011145	来之另一个世界的神秘战靴，拥有洞穿世界的力量	These mysterious boots from another world carry an earth-shattering power.	異世界からの謎の戦靴、世界を穿つほどの力を持つ	다른 세계에서 온 신비한 전투 신발입니다. 세계를 꿰뚫는 힘을 가지고 있습니다.
1011146	被冥界之海孕养了上万年的战靴，拥有神鬼莫测之威	Tempered for thousands of years in the abyss, these boots carry an unpredictable power.	冥界の海で一万年以上眠っていた戦靴、計り知れない威力を持つ	명계의 바다에서 만 년 넘게 육성된 전투 신발입니다. 가늠할 수 없는 위력을 가집니다.
1011147	死神所穿战甲，代表着可随意收割生灵的力量	The reaper's armor carries the power to harvest souls.	死神が使っていたアーマー、気ままに魂を狩る力の象徴	사신이 찬 전투 갑옷입니다. 생명을 거두는 힘을 가지고 있습니다.
1011148	死神所穿战靴，代表着可随意收割生灵的力量	The reaper's boots carry the power to harvest souls.	死神が使っていた戦靴、気ままに魂を狩る力の象徴	사신이 찬 전투 신발입니다. 생명을 거두는 힘을 가지고 있습니다.
1011532	打开可获得全套绿2星战术装备	Open to obtain a full set of 2★ uncommon tactical gear.	開けると☆2レアの戦術シリーズの装備セットを獲得する	오픈 시 그린 2성 전술 장비 1세트 획득할 수 있습니다.
1011533	打开可获得全套蓝1星死斗装备	Open to obtain a full set of 1★ rare gladiator gear.	開けると☆1エクセレントの死闘シリーズの装備セットを獲得する	오픈 시 블루 1성 대결 장비 1세트 획득할 수 있습니다.
1011534	打开可获得全套紫1星微光装备	Open to obtain a full set of 1★ epic shimmering gear.	開けると☆1エピックの幽光シリーズの装備セットを獲得する	오픈 시 퍼플 1성 빛나는 장비 1세트 획득할 수 있습니다.
1011531	打开可获得全套金1星无畏装备	Open to obtain a full set of 1★ legendary fearless gear.	開けると☆1レジェンドの勇気装備セットを獲得する	오픈 시 골드 1성 두려움 없는 장비 1세트 획득할 수 있습니다.
1011541	打开可随机获得一件紫3星冲锋装备	Open to obtain 1 random 3★ epic berserker gear.	開けると☆3エピックのアサルトシリーズの装備をランダムに1個獲得する	오픈 시 퍼플 3성 돌격 장비 1개를 랜덤으로 획득할 수 있습니다.
1011542	打开可随机获得一件金1星无畏装备	Open to obtain 1 random 1★ legendary fearless gear.	開けると☆1レジェンドの勇気シリーズの装備をランダムに1個獲得する	오픈 시 골드 1성 두려움 없는 장비 1개를 랜덤으로 획득할 수 있습니다.
1011543	打开可随机获得一件金2星追魂装备	Open to obtain 1 random 2★ legendary soulchaser gear.	開けると☆2レジェンドの魂追シリーズの装備をランダムに1個獲得する	오픈 시 골드 1성 추혼 장비 1개를 랜덤으로 획득할 수 있습니다.
1011517	打开可随机获得一件金3星征服装备			오픈 시 골드 3성 정복 장비 1개를 랜덤으로 획득할 수 있습니다.
1011549	打开可随机获得一件金4星命运装备	Open to obtain 1 random 4★ legendary destiny gear.	開けると☆4レジェンドの運命シリーズの装備をランダムに1個獲得する	오픈 시 골드 4성 운명 장비 1개를 랜덤으로 획득할 수 있습니다.
1011544	打开可随机获得一件红1星光辉装备	Open to obtain 1 random 2★ mythic radiant gear.	開けると☆1ミシックの輝光シリーズの装備をランダムに1個獲得する	오픈 시 레드 1성 광휘 장비 1개를 랜덤으로 획득할 수 있습니다.
1011558	打开可随机获得一件红2星奇迹装备	Open to obtain 1 random 2★ mythic miraculous gear.	開けると☆2ミシックの奇跡シリーズの装備をランダムに1個獲得する	오픈 시 레드 2성 기적 장비 1개를 랜덤으로 획득할 수 있습니다.
1011625	可自选1件红1星光辉装备	Select 1 piece of 1★ mythic radiant gear.	☆1ミシックの輝光シリーズの装備を1個選択して獲得する	레드 1성 광휘 장비 1개를 선택할 수 있습니다.
1011626	可自选1件红2星奇迹装备	Select 1 piece of 2★ mythic miraculous gear.	☆2ミシックの奇跡シリーズの装備を1個選択して獲得する	레드 2성 기적 장비 1개를 선택할 수 있습니다.
1011528	可自选1件红3星风暴装备	Select 1 piece of 3★ mythic storm gear.	☆3ミシックのストームシリーズ装備を1個選んで獲得できる	레드 3성 폭풍 장비 1개를 선택할 수 있습니다.
1011560	打开可随机获得1件1星金装	Open to obtain 1 random Tier 1 legendary gear.	開けると☆1レジェンドクオリティの装備をランダムに1個獲得する	오픈 시 골드 1성 장비 1개를 랜덤으로 획득할 수 있습니다.
1011550	打开获得一件随机一星红色装备	Open to obtain 1 random Tier 1 mythic gear.	開けると☆1ミシッククオリティの装備をランダムに1個獲得する	오픈 시 레드 1성 장비 1개를 랜덤으로 획득할 수 있습니다.
1011594	普通的戒指，佩戴后将提升属性与战力			평범한 반지입니다. 착용 후 속성과 전투력이 향상됩니다.
1011595	精致的戒指，佩戴后将提升属性与战力			정교한 반지입니다. 착용 후 속성과 전투력이 향상됩니다.
1011596	卓越的戒指，佩戴后将提升属性与战力			탁월한 반지입니다. 착용 후 속성과 전투력이 향상됩니다.
1011597	超绝的戒指，非常珍贵，佩戴后将提升属性与战力			훌륭한 반지입니다. 매우 희귀합니다. 착용 후 속성과 전투력이 향상됩니다.
1011598	史诗戒指，极为稀有，佩戴后将提升属性与战力			에픽 반지입니다. 매우 희귀합니다. 착용 후 속성과 전투력이 향상됩니다.
1011599	传奇之戒，通过史诗戒指进行精炼获得，佩戴后将提升属性与战力			전설의 반지입니다. 에픽 반지 정제 후 획득할 수 있습니다. 착용 후 속성과 전투력이 향상됩니다.
1011605	可用于戒指重铸、并可在商店中兑换各类催化剂			반지 재련 및 상점에서 촉매제 구매 시 사용합니다.
1011606	精炼戒指的必备之物，十分珍惜	A key item used in the refinement of rings.	指輪を精錬する必要アイテム、ベリーレア	반지 정제 시 필수 아이템입니다. 매우 진귀합니다.
1011607	合成戒指失败给予的补偿，达到1000后可直接获得【超绝戒指】			반지 합성 실패 시 지급되는 보상. 1000 도달 후 [훌륭한 반지]를 바로 획득할 수 있습니다.
1011281	敏捷:先手额外提升3%+10点，可使英雄领悟或升级（敏捷）技能，英雄将在6星开启能力领悟			민첩: 선수3%+10 증가됩니다. (민첩) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011282	物连:物理攻击有20%概率触发连击，再次释放技能，伤害、控制率为原来50%，可使英雄领悟或升级（物连）技能，英雄将在6星开启能力领悟			물리 연타: 물리 공격 시 20% 확률로 연타 발생, 연타 시 대미지와 제어율이 50%가 됩니다. (물리 연타) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011283	法连:能量攻击有20%概率触发连击，再次释放技能，伤害、控制率为原来50%，可使英雄领悟或升级（法连）技能，英雄将在6星开启能力领悟			에너지 연타: 에너지 공격 시 20% 확률로 연타 발생, 연타 시 대미지와 제어율이 50%가 됩니다. (에너지 연타) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011284	魔神:能量攻击伤害提升5%；攻击额外提高60点，可使英雄领悟或升级（魔神）技能，英雄将在6星开启能力领悟			마신: 에너지 공격 대미지가 5% 증가되고 공격력이 추가로 60 증가됩니다. (마신) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011285	武神:物理攻击伤害提升5%；攻击额外提高60点，可使英雄领悟或升级（武神）技能，英雄将在6星开启能力领悟			무신: 물리 공격 대미지가 5% 증가되고 공격력이 추가로 60 증가됩니다. (무신) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011286	追击:使用物理攻击技能击杀目标时，60%概率再进行1次普攻，可使英雄领悟或升级（追击）技能，英雄将在6星开启能力领悟			추가타: 물리 공격 스킬로 타겟 처치 시 60% 확률로 일반 공격을 1번 더 사용합니다. (추가타) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011287	暴追:使用物理攻击技能造成暴击时，40%概率再进行1次普攻，可使英雄领悟或升级（暴追）技能，英雄将在6星开启能力领悟			치명 추격: 물리 공격 스킬 치명타 발생 시 40% 확률로 일반 공격을 1번 더 사용합니다. (치명 추격) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011288	致命:暴伤提高10%，可使英雄领悟或升级（致命）技能，英雄将在6星开启能力领悟			치명: 치명상이 10% 증가됩니다. (치명) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011289	必杀:暴击率提高5%，可使英雄领悟或升级（必杀）技能，英雄将在6星开启能力领悟			필사: 치명타 확률이 5% 증가됩니다. (필사) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011290	激昂:生命值每降低1%，伤害提高0.1%，可使英雄领悟或升级（激昂）技能，英雄将在6星开启能力领悟			격앙: 체력이 1% 감소될 때마다 대미지가 0.1% 증가됩니다. (격앙) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011291	隐遁:复活后躲闪率提高5%，持续2回合，可使英雄领悟或升级（隐遁）技能，英雄将在6星开启能力领悟			은둔: 부활 후 2턴 동안 회피 확률이 5% 증가됩니다. (은둔) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011292	复仇:复活后攻击提高10%，持续2回合，可使英雄领悟或升级（复仇）技能，英雄将在6星开启能力领悟			복수: 부활 후 2턴 동안 공격력이 10% 증가됩니다. (복수) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011293	降疗:有10%概率使目标治疗、被治疗效果降低4%，持续2回合，可使英雄领悟或升级（降疗）技能，英雄将在6星开启能力领悟			강료: 10% 확률로 2턴 동안 타겟의 치료와 받는 치료 효과를 4% 감소합니다. (강료) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011294	灭杀:受击方10%概率2回合无法复活；对有复活/还魂的伤害+3%，可使英雄领悟或升级（灭杀）技能，英雄将在6星开启能力领悟			멸사: 공격 당한 측이 10% 확률로 2턴 동안 부활 금지되며, 부활/환혼 능력이 있는 타겟에게 대미지가 3% 추가됩니다. (멸사) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011295	驱散:攻击时，10%概率驱散目标身上所有的增益buff，可使英雄领悟或升级（驱散）技能，英雄将在6星开启能力领悟			퇴치: 공격 시 10% 확률로 타겟의 모든 버프 효과를 제거합니다. (퇴치) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011296	强袭:伤害超过目标生命值上限30%时，20%概率使其晕眩2回合，可使英雄领悟或升级（强袭）技能，英雄将在6星开启能力领悟			강습: 대미지가 타겟 최대 체력의 30%보다 높을 때, 20% 확률로 타겟을 2턴 동안 기절시킵니다. (강습) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011297	挑衅:攻击时，有4%概率强制令目标对自己进行普攻，持续1回合，可使英雄领悟或升级（挑衅）技能，英雄将在6星开启能力领悟			도발: 공격 시 4% 확률로 타겟이 1턴 동안 자신에게 일반 공격을 하게 합니다. (도발) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011298	冰冻:攻击时，有20%概率降低目标10%速度，持续2回合，可使英雄领悟或升级（冰冻）技能，英雄将在6星开启能力领悟			냉동: 공격 시 20% 확률로 2턴 동안 타겟의 선수를 10% 감소시킵니다. (냉동) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011299	热血:死亡时，有30%概率提升全体友方5%攻击，可使英雄领悟或升级（热血）技能，英雄将在6星开启能力领悟			열혈: 사망 시, 30% 확률로 아군 전체 공격이 5% 증가됩니다. (열혈) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011300	躲避:闪避提高6%；受带武神/魔神的英雄攻击时，伤害降低5%，可使英雄领悟或升级（躲避）技能，英雄将在6星开启能力领悟			대피: 회피 확률 6% 증가되며, 물리/에너지 공격 영웅에게 피격 시 입는 대미지가 5% 감소합니다. (대피) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011301	压制:对携带医术/回春的目标伤害提高15%，可使英雄领悟或升级（压制）技能，英雄将在6星开启能力领悟			압제: 의술/ 회춘 능력이 있는 타겟에게 입히는 대미지가 15% 증가됩니다. (압제) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011302	精准:命中提高6%；对携带躲闪/敏捷的目标伤害提高5%，可使英雄领悟或升级（精准）技能，英雄将在6星开启能力领悟			정밀: 명중이 5% 증가되며, 대피/ 민첩 능력이 있는 타겟에게 입히는 대미지가 5% 증가됩니다. (정밀) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011303	神迹:回合开始时，有30%概率清除自身所有负面状态，可使英雄领悟或升级（神迹）技能，英雄将在6星开启能力领悟			신적: 턴 시작 시, 30% 확률로 자신의 디버프 효과를 모두 제거합니다. (신적) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011304	坚韧:效果抵抗提高4%，效果抵抗越高，抵抗控制成功率越高，可使英雄领悟或升级（坚韧）技能，英雄将在6星开启能力领悟			강인: 저항이 10% 증가되며, 저항이 높을수록 제어를 저항할 확율이 더 높아집니다. (강인) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011305	回春:回合开始时恢复自身生命值上限2%的生命值，可使英雄领悟或升级（回春）技能，英雄将在6星开启能力领悟			회춘: 턴 시작 시, 자신의 최대 체력 2%를 회복합니다. (회춘) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011306	还魂:死亡时有12%概率复活，复活时恢复少量生命值，可使英雄领悟或升级（还魂）技能，英雄将在6星开启能力领悟			환혼: 사망 시 12% 확률로 부활하며, 부활 시 소량의 체력이 회복됩니다. (환혼) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011307	复活:死亡时有8%概率复活，复活后恢复30%生命值，可使英雄领悟或升级（复活）技能，英雄将在6星开启能力领悟			부활: 사망 시 8% 확률로 부활하며, 부활 후 30% 체력이 회복됩니다. (부활) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011308	不屈:被暴击概率降低6%，可使英雄领悟或升级（不屈）技能，英雄将在6星开启能力领悟			불굴: 치명타를 입을 확률이 6% 감소됩니다. (불굴) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011309	魔抗:受到的能量攻击伤害降低5%，可使英雄领悟或升级（魔抗）技能，英雄将在6星开启能力领悟			마항: 받는 에너지 공격의 대미지가 5% 감소됩니다. (마항) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011310	铁壁:受到的物理攻击伤害降低5%，可使英雄领悟或升级（铁壁）技能，英雄将在6星开启能力领悟			철벽: 받을 물리 공격의 대미지가 5% 감소됩니다. (철벽) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011311	医术:英雄治疗和被治疗效果提升5%，可使英雄领悟或升级（医术）技能，英雄将在6星开启能力领悟			의술: 치료와 치료 받는 효과가 5% 증가됩니다. (의술) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011312	稳重:速度降低10%，生命值提高3%，可使英雄领悟或升级（稳重）技能，英雄将在6星开启能力领悟			진중: 선수가 10% 감소되고 체력이 3% 증가됩니다. (진중) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
1011313	破甲:伤害结果忽视目标10%防御，可使英雄领悟或升级（破甲）技能，英雄将在6星开启能力领悟			파갑: 공격 시 타겟의 방어력을 10% 무시합니다. (파갑) 능력을 습득하고 레벨업할 수 있습니다. 6성 시 능력 습득 기능이 해제됩니다.
