Id	AlameinId	PreId	StarCondServer	FirstAward	AutoAward	MonsterGroup	IsBoss
12704	27	12705	7#0|6#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910264	0
12705	27	12706	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#22	10444#30|10443#8	910265	0
12706	27	12707	7#0|2#5#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910266	0
12707	27	12708	7#0|1#3#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910267	0
12708	27	12709	7#0|1#1#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910268	0
12709	27	12710	7#0|1#2#2#1|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910269	0
12710	27	12801	7#0|1#4#2#1|5#0	10444#41|16#50|10443#22	10444#30|10443#8	910270	1
12801	28	12802	7#0|2#1#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910271	0
12802	28	12803	7#0|2#2#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910272	0
12803	28	12804	7#0|2#3#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910273	0
12804	28	12805	7#0|6#4|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910274	0
12805	28	12806	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#22	10444#30|10443#8	910275	0
12806	28	12807	7#0|2#5#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910276	0
12807	28	12808	7#0|1#3#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910277	0
12808	28	12809	7#0|1#1#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910278	0
12809	28	12810	7#0|1#2#1#3|3#6	10444#41|16#50|10443#22	10444#30|10443#8	910279	0
12810	28	12901	7#0|1#4#1#3|5#0	10444#41|16#50|10443#22	10444#30|10443#8	910280	1
12901	29	12902	7#0|2#1#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910281	0
12902	29	12903	7#0|2#2#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910282	0
12903	29	12904	7#0|2#3#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910283	0
12904	29	12905	7#0|6#5|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910284	0
12905	29	12906	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#25	10444#30|10443#9	910285	0
12906	29	12907	7#0|2#5#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910286	0
12907	29	12908	7#0|1#3#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910287	0
12908	29	12909	7#0|1#1#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910288	0
12909	29	12910	7#0|1#2#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910289	0
12910	29	13001	7#0|1#4#2#1|5#0	10444#41|16#50|10443#25	10444#30|10443#9	910290	1
13001	30	13002	7#0|2#1#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910291	0
13002	30	13003	7#0|2#2#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910292	0
13003	30	13004	7#0|2#3#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910293	0
13004	30	13005	7#0|6#6|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910294	0
13005	30	13006	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#25	10444#30|10443#9	910295	0
13006	30	13007	7#0|2#5#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910296	0
13007	30	13008	7#0|1#3#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910297	0
13008	30	13009	7#0|1#1#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910298	0
13009	30	13010	7#0|1#2#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910299	0
13010	30	13101	7#0|1#4#1#3|5#0	10444#41|16#50|10443#25	10444#30|10443#9	910300	1
13101	31	13102	7#0|2#1#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910301	0
13102	31	13103	7#0|2#2#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910302	0
13103	31	13104	7#0|2#3#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910303	0
13104	31	13105	7#0|6#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910304	0
13105	31	13106	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#25	10444#30|10443#9	910305	0
13106	31	13107	7#0|2#5#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910306	0
13107	31	13108	7#0|1#3#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910307	0
13108	31	13109	7#0|1#1#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910308	0
13109	31	13110	7#0|1#2#2#1|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910309	0
13110	31	13201	7#0|1#4#2#1|5#0	10444#41|16#50|10443#25	10444#30|10443#9	910310	1
13201	32	13202	7#0|2#1#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910311	0
13202	32	13203	7#0|2#2#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910312	0
13203	32	13204	7#0|2#3#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910313	0
13204	32	13205	7#0|6#2|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910314	0
13205	32	13206	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#25	10444#30|10443#9	910315	0
13206	32	13207	7#0|2#5#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910316	0
13207	32	13208	7#0|1#3#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910317	0
13208	32	13209	7#0|1#1#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910318	0
13209	32	13210	7#0|1#2#1#3|3#6	10444#41|16#50|10443#25	10444#30|10443#9	910319	0
13210	32	13301	7#0|1#4#1#3|5#0	10444#41|16#50|10443#25	10444#30|10443#9	910320	1
13301	33	13302	7#0|2#1#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910321	0
13302	33	13303	7#0|2#2#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910322	0
13303	33	13304	7#0|2#3#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910323	0
13304	33	13305	7#0|6#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910324	0
13305	33	13306	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#28	10444#30|10443#10	910325	0
13306	33	13307	7#0|2#5#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910326	0
13307	33	13308	7#0|1#3#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910327	0
13308	33	13309	7#0|1#1#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910328	0
13309	33	13310	7#0|1#2#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910329	0
13310	33	13401	7#0|1#4#2#1|5#0	10444#41|16#50|10443#28	10444#30|10443#10	910330	1
13401	34	13402	7#0|2#1#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910331	0
13402	34	13403	7#0|2#2#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910332	0
13403	34	13404	7#0|2#3#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910333	0
13404	34	13405	7#0|6#4|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910334	0
13405	34	13406	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#28	10444#30|10443#10	910335	0
13406	34	13407	7#0|2#5#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910336	0
13407	34	13408	7#0|1#3#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910337	0
13408	34	13409	7#0|1#1#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910338	0
13409	34	13410	7#0|1#2#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910339	0
13410	34	13501	7#0|1#4#1#3|5#0	10444#41|16#50|10443#28	10444#30|10443#10	910340	1
13501	35	13502	7#0|2#1#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910341	0
13502	35	13503	7#0|2#2#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910342	0
13503	35	13504	7#0|2#3#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910343	0
13504	35	13505	7#0|6#5|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910344	0
13505	35	13506	7#0|2#4#2#1|4#5000	10444#41|16#50|10443#28	10444#30|10443#10	910345	0
13506	35	13507	7#0|2#5#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910346	0
13507	35	13508	7#0|1#3#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910347	0
13508	35	13509	7#0|1#1#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910348	0
13509	35	13510	7#0|1#2#2#1|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910349	0
13510	35	13601	7#0|1#4#2#1|5#0	10444#41|16#50|10443#28	10444#30|10443#10	910350	1
13601	36	13602	7#0|2#1#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910351	0
13602	36	13603	7#0|2#2#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910352	0
13603	36	13604	7#0|2#3#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910353	0
13604	36	13605	7#0|6#6|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910354	0
13605	36	13606	7#0|2#4#1#3|4#5000	10444#41|16#50|10443#28	10444#30|10443#10	910355	0
13606	36	13607	7#0|2#5#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910356	0
13607	36	13608	7#0|1#3#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910357	0
13608	36	13609	7#0|1#1#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910358	0
13609	36	13610	7#0|1#2#1#3|3#6	10444#41|16#50|10443#28	10444#30|10443#10	910359	0
13610	36	-1	7#0|1#4#1#3|5#0	10444#41|16#50|10443#28	10444#30|10443#10	910360	1
