Id	Type	Level	PoolID	Property	JewelExpend	UpExpend
573	2	11	2	1#2320|60#600	100007#6	32#60|14#240000
574	2	12	2	1#2640|60#650	100008#1	32#65|14#260000
575	2	13	2	1#2960|60#700	100008#2	32#70|14#280000
576	2	14	2	1#3280|60#750	100008#3	32#75|14#300000
577	2	15	2	1#3600|60#800	100008#4	32#80|14#320000
578	2	16	2	1#4000|60#850	100008#5	32#85|14#340000
579	2	17	2	1#4400|60#900	100008#6	32#90|14#360000
580	2	18	2	1#4800|60#950	100009#1	32#95|14#380000
581	2	19	2	1#5200|60#1000	100009#2	32#100|14#400000
582	2	20	2	1#5600|60#1050	100009#3	32#105|14#420000
583	2	21	2	1#6080|60#1100	100009#4	32#110|14#440000
584	2	22	2	1#6560|60#1150	100009#5	32#115|14#460000
585	2	23	2	1#7040|60#1200	100009#6	32#120|14#480000
586	2	24	2	1#7520|60#1250	100010#1	32#125|14#500000
587	2	25	2	1#8000|60#1300	100010#2	32#130|14#520000
588	2	26	2	1#8560|60#1350	100010#3	32#135|14#540000
589	2	27	2	1#9120|60#1400	100010#4	32#140|14#560000
590	2	28	2	1#9680|60#1450	100010#5	32#145|14#580000
591	2	29	2	1#10240|60#1500	100010#6	32#150|14#600000
592	2	30	2	1#10800|60#1550	null	
593	2	0	3	1#0|55#0	100011#1	32#5|14#20000
594	2	1	3	1#1600|55#100	100011#2	32#10|14#40000
595	2	2	3	1#3200|55#150	100011#3	32#15|14#60000
596	2	3	3	1#4800|55#200	100011#4	32#20|14#80000
597	2	4	3	1#6400|55#250	100011#5	32#25|14#100000
598	2	5	3	1#8000|55#300	100011#6	32#30|14#120000
599	2	6	3	1#10400|55#350	100012#1	32#35|14#140000
600	2	7	3	1#12800|55#400	100012#2	32#40|14#160000
601	2	8	3	1#15200|55#450	100012#3	32#45|14#180000
602	2	9	3	1#17600|55#500	100012#4	32#50|14#200000
603	2	10	3	1#20000|55#550	100012#5	32#55|14#220000
604	2	11	3	1#23200|55#600	100012#6	32#60|14#240000
605	2	12	3	1#26400|55#650	100013#1	32#65|14#260000
606	2	13	3	1#29600|55#700	100013#2	32#70|14#280000
607	2	14	3	1#32800|55#750	100013#3	32#75|14#300000
608	2	15	3	1#36000|55#800	100013#4	32#80|14#320000
609	2	16	3	1#40000|55#850	100013#5	32#85|14#340000
610	2	17	3	1#44000|55#900	100013#6	32#90|14#360000
611	2	18	3	1#48000|55#950	100014#1	32#95|14#380000
612	2	19	3	1#52000|55#1000	100014#2	32#100|14#400000
613	2	20	3	1#56000|55#1050	100014#3	32#105|14#420000
614	2	21	3	1#60800|55#1100	100014#4	32#110|14#440000
615	2	22	3	1#65600|55#1150	100014#5	32#115|14#460000
616	2	23	3	1#70400|55#1200	100014#6	32#120|14#480000
617	2	24	3	1#75200|55#1250	100015#1	32#125|14#500000
618	2	25	3	1#80000|55#1300	100015#2	32#130|14#520000
619	2	26	3	1#85600|55#1350	100015#3	32#135|14#540000
620	2	27	3	1#91200|55#1400	100015#4	32#140|14#560000
621	2	28	3	1#96800|55#1450	100015#5	32#145|14#580000
622	2	29	3	1#102400|55#1500	100015#6	32#150|14#600000
623	2	30	3	1#108000|55#1550	null	
624	2	0	4	1#0|60#0	100016#1	32#5|14#20000
625	2	1	4	1#160|60#100	100016#2	32#10|14#40000
626	2	2	4	1#320|60#150	100016#3	32#15|14#60000
627	2	3	4	1#480|60#200	100016#4	32#20|14#80000
628	2	4	4	1#640|60#250	100016#5	32#25|14#100000
629	2	5	4	1#800|60#300	100016#6	32#30|14#120000
630	2	6	4	1#1040|60#350	100017#1	32#35|14#140000
631	2	7	4	1#1280|60#400	100017#2	32#40|14#160000
632	2	8	4	1#1520|60#450	100017#3	32#45|14#180000
633	2	9	4	1#1760|60#500	100017#4	32#50|14#200000
634	2	10	4	1#2000|60#550	100017#5	32#55|14#220000
635	2	11	4	1#2320|60#600	100017#6	32#60|14#240000
636	2	12	4	1#2640|60#650	100018#1	32#65|14#260000
637	2	13	4	1#2960|60#700	100018#2	32#70|14#280000
638	2	14	4	1#3280|60#750	100018#3	32#75|14#300000
639	2	15	4	1#3600|60#800	100018#4	32#80|14#320000
640	2	16	4	1#4000|60#850	100018#5	32#85|14#340000
641	2	17	4	1#4400|60#900	100018#6	32#90|14#360000
642	2	18	4	1#4800|60#950	100019#1	32#95|14#380000
643	2	19	4	1#5200|60#1000	100019#2	32#100|14#400000
644	2	20	4	1#5600|60#1050	100019#3	32#105|14#420000
645	2	21	4	1#6080|60#1100	100019#4	32#110|14#440000
646	2	22	4	1#6560|60#1150	100019#5	32#115|14#460000
647	2	23	4	1#7040|60#1200	100019#6	32#120|14#480000
648	2	24	4	1#7520|60#1250	100020#1	32#125|14#500000
649	2	25	4	1#8000|60#1300	100020#2	32#130|14#520000
650	2	26	4	1#8560|60#1350	100020#3	32#135|14#540000
651	2	27	4	1#9120|60#1400	100020#4	32#140|14#560000
652	2	28	4	1#9680|60#1450	100020#5	32#145|14#580000
653	2	29	4	1#10240|60#1500	100020#6	32#150|14#600000
654	2	30	4	1#10800|60#1550	null	
655	2	0	5	1#0|55#0	100021#1	32#5|14#20000
656	2	1	5	1#1600|55#100	100021#2	32#10|14#40000
657	2	2	5	1#3200|55#150	100021#3	32#15|14#60000
658	2	3	5	1#4800|55#200	100021#4	32#20|14#80000
659	2	4	5	1#6400|55#250	100021#5	32#25|14#100000
660	2	5	5	1#8000|55#300	100021#6	32#30|14#120000
661	2	6	5	1#10400|55#350	100022#1	32#35|14#140000
662	2	7	5	1#12800|55#400	100022#2	32#40|14#160000
663	2	8	5	1#15200|55#450	100022#3	32#45|14#180000
664	2	9	5	1#17600|55#500	100022#4	32#50|14#200000
665	2	10	5	1#20000|55#550	100022#5	32#55|14#220000
666	2	11	5	1#23200|55#600	100022#6	32#60|14#240000
667	2	12	5	1#26400|55#650	100023#1	32#65|14#260000
668	2	13	5	1#29600|55#700	100023#2	32#70|14#280000
669	2	14	5	1#32800|55#750	100023#3	32#75|14#300000
670	2	15	5	1#36000|55#800	100023#4	32#80|14#320000
671	2	16	5	1#40000|55#850	100023#5	32#85|14#340000
672	2	17	5	1#44000|55#900	100023#6	32#90|14#360000
673	2	18	5	1#48000|55#950	100024#1	32#95|14#380000
674	2	19	5	1#52000|55#1000	100024#2	32#100|14#400000
675	2	20	5	1#56000|55#1050	100024#3	32#105|14#420000
676	2	21	5	1#60800|55#1100	100024#4	32#110|14#440000
677	2	22	5	1#65600|55#1150	100024#5	32#115|14#460000
678	2	23	5	1#70400|55#1200	100024#6	32#120|14#480000
679	2	24	5	1#75200|55#1250	100025#1	32#125|14#500000
680	2	25	5	1#80000|55#1300	100025#2	32#130|14#520000
681	2	26	5	1#85600|55#1350	100025#3	32#135|14#540000
682	2	27	5	1#91200|55#1400	100025#4	32#140|14#560000
683	2	28	5	1#96800|55#1450	100025#5	32#145|14#580000
684	2	29	5	1#102400|55#1500	100025#6	32#150|14#600000
685	2	30	5	1#108000|55#1550	null	
686	2	0	6	1#0|60#0	100026#1	32#5|14#20000
687	2	1	6	1#160|60#100	100026#2	32#10|14#40000
688	2	2	6	1#320|60#150	100026#3	32#15|14#60000
689	2	3	6	1#480|60#200	100026#4	32#20|14#80000
690	2	4	6	1#640|60#250	100026#5	32#25|14#100000
691	2	5	6	1#800|60#300	100026#6	32#30|14#120000
692	2	6	6	1#1040|60#350	100027#1	32#35|14#140000
693	2	7	6	1#1280|60#400	100027#2	32#40|14#160000
694	2	8	6	1#1520|60#450	100027#3	32#45|14#180000
695	2	9	6	1#1760|60#500	100027#4	32#50|14#200000
696	2	10	6	1#2000|60#550	100027#5	32#55|14#220000
697	2	11	6	1#2320|60#600	100027#6	32#60|14#240000
698	2	12	6	1#2640|60#650	100028#1	32#65|14#260000
699	2	13	6	1#2960|60#700	100028#2	32#70|14#280000
700	2	14	6	1#3280|60#750	100028#3	32#75|14#300000
701	2	15	6	1#3600|60#800	100028#4	32#80|14#320000
702	2	16	6	1#4000|60#850	100028#5	32#85|14#340000
703	2	17	6	1#4400|60#900	100028#6	32#90|14#360000
704	2	18	6	1#4800|60#950	100029#1	32#95|14#380000
705	2	19	6	1#5200|60#1000	100029#2	32#100|14#400000
706	2	20	6	1#5600|60#1050	100029#3	32#105|14#420000
707	2	21	6	1#6080|60#1100	100029#4	32#110|14#440000
708	2	22	6	1#6560|60#1150	100029#5	32#115|14#460000
709	2	23	6	1#7040|60#1200	100029#6	32#120|14#480000
710	2	24	6	1#7520|60#1250	100030#1	32#125|14#500000
711	2	25	6	1#8000|60#1300	100030#2	32#130|14#520000
712	2	26	6	1#8560|60#1350	100030#3	32#135|14#540000
713	2	27	6	1#9120|60#1400	100030#4	32#140|14#560000
714	2	28	6	1#9680|60#1450	100030#5	32#145|14#580000
715	2	29	6	1#10240|60#1500	100030#6	32#150|14#600000
716	2	30	6	1#10800|60#1550	null	
717	2	0	7	1#0|55#0	100031#1	32#5|14#20000
718	2	1	7	1#1600|55#100	100031#2	32#10|14#40000
719	2	2	7	1#3200|55#150	100031#3	32#15|14#60000
720	2	3	7	1#4800|55#200	100031#4	32#20|14#80000
721	2	4	7	1#6400|55#250	100031#5	32#25|14#100000
722	2	5	7	1#8000|55#300	100031#6	32#30|14#120000
723	2	6	7	1#10400|55#350	100032#1	32#35|14#140000
724	2	7	7	1#12800|55#400	100032#2	32#40|14#160000
725	2	8	7	1#15200|55#450	100032#3	32#45|14#180000
726	2	9	7	1#17600|55#500	100032#4	32#50|14#200000
727	2	10	7	1#20000|55#550	100032#5	32#55|14#220000
728	2	11	7	1#23200|55#600	100032#6	32#60|14#240000
729	2	12	7	1#26400|55#650	100033#1	32#65|14#260000
730	2	13	7	1#29600|55#700	100033#2	32#70|14#280000
731	2	14	7	1#32800|55#750	100033#3	32#75|14#300000
732	2	15	7	1#36000|55#800	100033#4	32#80|14#320000
733	2	16	7	1#40000|55#850	100033#5	32#85|14#340000
734	2	17	7	1#44000|55#900	100033#6	32#90|14#360000
735	2	18	7	1#48000|55#950	100034#1	32#95|14#380000
736	2	19	7	1#52000|55#1000	100034#2	32#100|14#400000
737	2	20	7	1#56000|55#1050	100034#3	32#105|14#420000
738	2	21	7	1#60800|55#1100	100034#4	32#110|14#440000
739	2	22	7	1#65600|55#1150	100034#5	32#115|14#460000
740	2	23	7	1#70400|55#1200	100034#6	32#120|14#480000
741	2	24	7	1#75200|55#1250	100035#1	32#125|14#500000
742	2	25	7	1#80000|55#1300	100035#2	32#130|14#520000
743	2	26	7	1#85600|55#1350	100035#3	32#135|14#540000
744	2	27	7	1#91200|55#1400	100035#4	32#140|14#560000
745	2	28	7	1#96800|55#1450	100035#5	32#145|14#580000
746	2	29	7	1#102400|55#1500	100035#6	32#150|14#600000
747	2	30	7	1#108000|55#1550	null	
748	2	0	8	1#0|60#0	100036#1	32#5|14#20000
749	2	1	8	1#160|60#100	100036#2	32#10|14#40000
750	2	2	8	1#320|60#150	100036#3	32#15|14#60000
751	2	3	8	1#480|60#200	100036#4	32#20|14#80000
752	2	4	8	1#640|60#250	100036#5	32#25|14#100000
753	2	5	8	1#800|60#300	100036#6	32#30|14#120000
754	2	6	8	1#1040|60#350	100037#1	32#35|14#140000
755	2	7	8	1#1280|60#400	100037#2	32#40|14#160000
756	2	8	8	1#1520|60#450	100037#3	32#45|14#180000
757	2	9	8	1#1760|60#500	100037#4	32#50|14#200000
758	2	10	8	1#2000|60#550	100037#5	32#55|14#220000
759	2	11	8	1#2320|60#600	100037#6	32#60|14#240000
760	2	12	8	1#2640|60#650	100038#1	32#65|14#260000
761	2	13	8	1#2960|60#700	100038#2	32#70|14#280000
762	2	14	8	1#3280|60#750	100038#3	32#75|14#300000
763	2	15	8	1#3600|60#800	100038#4	32#80|14#320000
764	2	16	8	1#4000|60#850	100038#5	32#85|14#340000
765	2	17	8	1#4400|60#900	100038#6	32#90|14#360000
766	2	18	8	1#4800|60#950	100039#1	32#95|14#380000
767	2	19	8	1#5200|60#1000	100039#2	32#100|14#400000
768	2	20	8	1#5600|60#1050	100039#3	32#105|14#420000
769	2	21	8	1#6080|60#1100	100039#4	32#110|14#440000
770	2	22	8	1#6560|60#1150	100039#5	32#115|14#460000
771	2	23	8	1#7040|60#1200	100039#6	32#120|14#480000
772	2	24	8	1#7520|60#1250	100040#1	32#125|14#500000
773	2	25	8	1#8000|60#1300	100040#2	32#130|14#520000
774	2	26	8	1#8560|60#1350	100040#3	32#135|14#540000
775	2	27	8	1#9120|60#1400	100040#4	32#140|14#560000
776	2	28	8	1#9680|60#1450	100040#5	32#145|14#580000
777	2	29	8	1#10240|60#1500	100040#6	32#150|14#600000
778	2	30	8	1#10800|60#1550	null	
