Id	GuildCheckpoint	MaxRank	MinRank	RankingReward
775	111	11	15	65#7280|14#364000
776	111	16	20	65#5460|14#273000
777	111	21	50	65#4550|14#228000
778	112	1	1	65#14000|14#683000
779	112	2	2	65#13000|14#637000
780	112	3	3	65#12000|14#592000
781	112	4	10	65#9100|14#455000
782	112	11	15	65#7280|14#364000
783	112	16	20	65#5460|14#273000
784	112	21	50	65#4550|14#228000
785	113	1	1	65#14000|14#683000
786	113	2	2	65#13000|14#637000
787	113	3	3	65#12000|14#592000
788	113	4	10	65#9100|14#455000
789	113	11	15	65#7280|14#364000
790	113	16	20	65#5460|14#273000
791	113	21	50	65#4550|14#228000
792	114	1	1	65#14000|14#683000
793	114	2	2	65#13000|14#637000
794	114	3	3	65#12000|14#592000
795	114	4	10	65#9100|14#455000
796	114	11	15	65#7280|14#364000
797	114	16	20	65#5460|14#273000
798	114	21	50	65#4550|14#228000
799	115	1	1	65#14000|14#683000
800	115	2	2	65#13000|14#637000
801	115	3	3	65#12000|14#592000
802	115	4	10	65#9100|14#455000
803	115	11	15	65#7280|14#364000
804	115	16	20	65#5460|14#273000
805	115	21	50	65#4550|14#228000
806	116	1	1	65#14000|14#683000
807	116	2	2	65#13000|14#637000
808	116	3	3	65#12000|14#592000
809	116	4	10	65#9100|14#455000
810	116	11	15	65#7280|14#364000
811	116	16	20	65#5460|14#273000
812	116	21	50	65#4550|14#228000
813	117	1	1	65#14000|14#683000
814	117	2	2	65#13000|14#637000
815	117	3	3	65#12000|14#592000
816	117	4	10	65#9100|14#455000
817	117	11	15	65#7280|14#364000
818	117	16	20	65#5460|14#273000
819	117	21	50	65#4550|14#228000
820	118	1	1	65#14000|14#683000
821	118	2	2	65#13000|14#637000
822	118	3	3	65#12000|14#592000
823	118	4	10	65#9100|14#455000
824	118	11	15	65#7280|14#364000
825	118	16	20	65#5460|14#273000
826	118	21	50	65#4550|14#228000
827	119	1	1	65#14000|14#683000
828	119	2	2	65#13000|14#637000
829	119	3	3	65#12000|14#592000
830	119	4	10	65#9100|14#455000
831	119	11	15	65#7280|14#364000
832	119	16	20	65#5460|14#273000
833	119	21	50	65#4550|14#228000
834	120	1	1	65#14000|14#683000
835	120	2	2	65#13000|14#637000
836	120	3	3	65#12000|14#592000
837	120	4	10	65#9100|14#455000
838	120	11	15	65#7280|14#364000
839	120	16	20	65#5460|14#273000
840	120	21	50	65#4550|14#228000
841	121	1	1	65#14000|14#683000
842	121	2	2	65#13000|14#637000
843	121	3	3	65#12000|14#592000
844	121	4	10	65#9100|14#455000
845	121	11	15	65#7280|14#364000
846	121	16	20	65#5460|14#273000
847	121	21	50	65#4550|14#228000
848	122	1	1	65#14000|14#683000
849	122	2	2	65#13000|14#637000
850	122	3	3	65#12000|14#592000
851	122	4	10	65#9100|14#455000
852	122	11	15	65#7280|14#364000
853	122	16	20	65#5460|14#273000
854	122	21	50	65#4550|14#228000
855	123	1	1	65#14000|14#683000
856	123	2	2	65#13000|14#637000
857	123	3	3	65#12000|14#592000
858	123	4	10	65#9100|14#455000
859	123	11	15	65#7280|14#364000
860	123	16	20	65#5460|14#273000
861	123	21	50	65#4550|14#228000
862	124	1	1	65#14000|14#683000
863	124	2	2	65#13000|14#637000
864	124	3	3	65#12000|14#592000
865	124	4	10	65#9100|14#455000
866	124	11	15	65#7280|14#364000
867	124	16	20	65#5460|14#273000
868	124	21	50	65#4550|14#228000
869	125	1	1	65#14000|14#683000
870	125	2	2	65#13000|14#637000
871	125	3	3	65#12000|14#592000
872	125	4	10	65#9100|14#455000
873	125	11	15	65#7280|14#364000
874	125	16	20	65#5460|14#273000
875	125	21	50	65#4550|14#228000
