Id	Option
2137006	20101376
2137007	20101377
2137008	20101378
2138000	20201381
2138001	20101381
2138002	20101382
2138003	20101383
2138004	20101384
2138005	20101385
2138006	20101386
2138007	20101387
2138008	20101388
2139000	20201391
2139001	20101391
2139002	20101392
2139003	20101393
2139004	20101394
2139005	20101395
2139006	20101396
2139007	20101397
2139008	20101398
2140000	20201401
2140001	20101401
2140002	20101402
2140003	20101403
2140004	20101404
2140005	20101405
2140006	20101406
2140007	20101407
2140008	20101408
2141000	20201411
2141001	20101411
2141002	20101412
2141003	20101413
2141004	20101414
2141005	20101415
2141006	20101416
2141007	20101417
2141008	20101418
2142000	20201421
2142001	20101421
2142002	20101422
2142003	20101423
2142004	20101424
2142005	20101425
2142006	20101426
2142007	20101427
2142008	20101428
2143000	20201431
2143001	20101431
2143002	20101432
2143003	20101433
2143004	20101434
2143005	20101435
2143006	20101436
2143007	20101437
2143008	20101438
2144000	20201441
2144001	20101441
2144002	20101442
2144003	20101443
2144004	20101444
2144005	20101445
2144006	20101446
2144007	20101447
2144008	20101448
2145000	20201451
2145001	20101451
2145002	20101452
2145003	20101453
2145004	20101454
2145005	20101455
2145006	20101456
2145007	20101457
2145008	20101458
2146000	20201461
2146001	20101461
2146002	20101462
2146003	20101463
2146004	20101464
2146005	20101465
2146006	20101466
2146007	20101467
2146008	20101468
2147000	20201471
2147001	20101471
2147002	20101472
2147003	20101473
2147004	20101474
2147005	20101475
2147006	20101476
2147007	20101477
2147008	20101478
2148000	20201481
2148001	20101481
2148002	20101482
2148003	20101483
2148004	20101484
2148005	20101485
2148006	20101486
2148007	20101487
2148008	20101488
2149000	20201491
2149001	20101491
2149002	20101492
2149003	20101493
2149004	20101494
2149005	20101495
2149006	20101496
2149007	20101497
2149008	20101498
2150000	20201501
2150001	20101501
2150002	20101502
2150003	20101503
2150004	20101504
2150005	20101505
2150006	20101506
2150007	20101507
2150008	20101508
2151000	20201511
2151001	20101511
2151002	20101512
2151003	20101513
2151004	20101514
2151005	20101515
2151006	20101516
2151007	20101517
2151008	20101518
2152000	20201521
2152001	20101521
2152002	20101522
2152003	20101523
2152004	20101524
2152005	20101525
2152006	20101526
2152007	20101527
2152008	20101528
2153000	20201531
2153001	20101531
2153002	20101532
2153003	20101533
2153004	20101534
2153005	20101535
2153006	20101536
2153007	20101537
2153008	20101538
2154000	20201541
2154001	20101541
2154002	20101542
2154003	20101543
2154004	20101544
2154005	20101545
2154006	20101546
2154007	20101547
2154008	20101548
2155000	20201551
2155001	20101551
2155002	20101552
2155003	20101553
2155004	20101554
2155005	20101555
2155006	20101556
2155007	20101557
2155008	20101558
2156000	20201561
2156001	20101561
2156002	20101562
2156003	20101563
2156004	20101564
2156005	20101565
2156006	20101566
2156007	20101567
2156008	20101568
2157000	20201571
2157001	20101571
2157002	20101572
2157003	20101573
2157004	20101574
2157005	20101575
2157006	20101576
2157007	20101577
2157008	20101578
2158000	20201581
2158001	20101581
2158002	20101582
2158003	20101583
2158004	20101584
2158005	20101585
2158006	20101586
2158007	20101587
2158008	20101588
2159000	20201591
2159001	20101591
2159002	20101592
2159003	20101593
2159004	20101594
2159005	20101595
2159006	20101596
2159007	20101597
2159008	20101598
2160000	20201601
2160001	20101601
2160002	20101602
2160003	20101603
2160004	20101604
2160005	20101605
2160006	20101606
2160007	20101607
2160008	20101608
2161000	20201611
2161001	20101611
2161002	20101612
2161003	20101613
2161004	20101614
2161005	20101615
2161006	20101616
2161007	20101617
2161008	20101618
2162000	20201621
2162001	20101621
2162002	20101622
2162003	20101623
2162004	20101624
2162005	20101625
2162006	20101626
2162007	20101627
2162008	20101628
2163000	20201631
2163001	20101631
2163002	20101632
2163003	20101633
2163004	20101634
2163005	20101635
2163006	20101636
2163007	20101637
2163008	20101638
2164000	20201641
2164001	20101641
2164002	20101642
2164003	20101643
2164004	20101644
2164005	20101645
2164006	20101646
2164007	20101647
2164008	20101648
2165000	20201651
2165001	20101651
2165002	20101652
2165003	20101653
2165004	20101654
2165005	20101655
2165006	20101656
2165007	20101657
2165008	20101658
2166000	20201661
2166001	20101661
2166002	20101662
2166003	20101663
2166004	20101664
2166005	20101665
2166006	20101666
2166007	20101667
2166008	20101668
2167000	20201671
2167001	20101671
2167002	20101672
2167003	20101673
2167004	20101674
2167005	20101675
2167006	20101676
2167007	20101677
2167008	20101678
2168000	20201681
2168001	20101681
2168002	20101682
2168003	20101683
2168004	20101684
2168005	20101685
2168006	20101686
2168007	20101687
2168008	20101688
2169000	20201691
2169001	20101691
2169002	20101692
2169003	20101693
2169004	20101694
2169005	20101695
2169006	20101696
2169007	20101697
2169008	20101698
2170000	20201701
2170001	20101701
2170002	20101702
2170003	20101703
2170004	20101704
2170005	20101705
2170006	20101706
2170007	20101707
2170008	20101708
2171000	20201711
2171001	20101711
2171002	20101712
2171003	20101713
2171004	20101714
2171005	20101715
2171006	20101716
2171007	20101717
2171008	20101718
2172000	20201721
2172001	20101721
2172002	20101722
2172003	20101723
2172004	20101724
2172005	20101725
2172006	20101726
2172007	20101727
2172008	20101728
2173000	20201731
2173001	20101731
2173002	20101732
2173003	20101733
2173004	20101734
2173005	20101735
2173006	20101736
2173007	20101737
2173008	20101738
2174000	20201741
2174001	20101741
2174002	20101742
2174003	20101743
2174004	20101744
2174005	20101745
2174006	20101746
2174007	20101747
2174008	20101748
2175000	20201751
2175001	20101751
2175002	20101752
2175003	20101753
2175004	20101754
2175005	20101755
2175006	20101756
2175007	20101757
2175008	20101758
2176000	20201761
2176001	20101761
2176002	20101762
2176003	20101763
2176004	20101764
2176005	20101765
2176006	20101766
2176007	20101767
2176008	20101768
2177000	20201771
2177001	20101771
2177002	20101772
2177003	20101773
2177004	20101774
2177005	20101775
2177006	20101776
2177007	20101777
2177008	20101778
2178000	20201781
2178001	20101781
2178002	20101782
2178003	20101783
2178004	20101784
2178005	20101785
2178006	20101786
2178007	20101787
2178008	20101788
2179000	20201791
2179001	20101791
2179002	20101792
2179003	20101793
2179004	20101794
2179005	20101795
2179006	20101796
2179007	20101797
2179008	20101798
2180000	20201801
2180001	20101801
2180002	20101802
2180003	20101803
2180004	20101804
2180005	20101805
2180006	20101806
2180007	20101807
2180008	20101808
2181000	20201811
2181001	20101811
2181002	20101812
2181003	20101813
2181004	20101814
2181005	20101815
2181006	20101816
2181007	20101817
2181008	20101818
2182000	20201821
2182001	20101821
2182002	20101822
2182003	20101823
2182004	20101824
2182005	20101825
2182006	20101826
2182007	20101827
2182008	20101828
2183000	20201831
2183001	20101831
2183002	20101832
2183003	20101833
2183004	20101834
2183005	20101835
2183006	20101836
2183007	20101837
2183008	20101838
2184000	20201841
2184001	20101841
2184002	20101842
2184003	20101843
2184004	20101844
2184005	20101845
2184006	20101846
2184007	20101847
2184008	20101848
2185000	20201851
2185001	20101851
2185002	20101852
2185003	20101853
2185004	20101854
2185005	20101855
2185006	20101856
2185007	20101857
2185008	20101858
2186000	20201861
2186001	20101861
2186002	20101862
2186003	20101863
2186004	20101864
2186005	20101865
2186006	20101866
2186007	20101867
2186008	20101868
2187000	20201871
2187001	20101871
2187002	20101872
2187003	20101873
2187004	20101874
2187005	20101875
2187006	20101876
2187007	20101877
2187008	20101878
2188000	20201881
2188001	20101881
2188002	20101882
2188003	20101883
2188004	20101884
2188005	20101885
2188006	20101886
2188007	20101887
2188008	20101888
2189000	20201891
2189001	20101891
2189002	20101892
2189003	20101893
2189004	20101894
2189005	20101895
2189006	20101896
2189007	20101897
2189008	20101898
2190000	20201901
2190001	20101901
2190002	20101902
2190003	20101903
2190004	20101904
2190005	20101905
2190006	20101906
2190007	20101907
2190008	20101908
2191000	20201911
2191001	20101911
2191002	20101912
2191003	20101913
2191004	20101914
2191005	20101915
2191006	20101916
2191007	20101917
2191008	20101918
2192000	20201921
2192001	20101921
2192002	20101922
2192003	20101923
2192004	20101924
2192005	20101925
2192006	20101926
2192007	20101927
2192008	20101928
2193000	20201931
2193001	20101931
2193002	20101932
2193003	20101933
2193004	20101934
2193005	20101935
2193006	20101936
2193007	20101937
2193008	20101938
2194000	20201941
2194001	20101941
2194002	20101942
2194003	20101943
2194004	20101944
2194005	20101945
2194006	20101946
2194007	20101947
2194008	20101948
2195000	20201951
2195001	20101951
2195002	20101952
2195003	20101953
2195004	20101954
2195005	20101955
2195006	20101956
2195007	20101957
2195008	20101958
2196000	20201961
2196001	20101961
2196002	20101962
2196003	20101963
2196004	20101964
2196005	20101965
2196006	20101966
2196007	20101967
2196008	20101968
2197000	20201971
2197001	20101971
2197002	20101972
2197003	20101973
2197004	20101974
2197005	20101975
2197006	20101976
2197007	20101977
2197008	20101978
2198000	20201981
2198001	20101981
2198002	20101982
2198003	20101983
2198004	20101984
2198005	20101985
2198006	20101986
2198007	20101987
2198008	20101988
2199000	20201991
2199001	20101991
2199002	20101992
2199003	20101993
2199004	20101994
2199005	20101995
2199006	20101996
2199007	20101997
2199008	20101998
2200000	20202001
2200001	20102001
2200002	20102002
2200003	20102003
2200004	20102004
2200005	20102005
2200006	20102006
2200007	20102007
2200008	20102008
40010461	4001046
40010471	4001047
40010481	4001048
40010491	4001049
40010501	4001050
40010511	4001051
40010521	4001052
40010531	4001053
40010541	4001054
40020461	4002046
40020471	4002047
40020481	4002048
40020491	4002049
40020501	4002050
40020511	4002051
40020521	4002052
40020531	4002053
40020541	4002054
