Id	ActivityType	Level	Integral	Reward	TreasureReward	LevelCond
17062	806	62	68#106000	60#1	81132#1	1#999
17063	806	63	68#108000	60#1	81132#1	1#999
17064	806	64	68#110000	60#1	20#1	1#999
17065	806	65	68#112000	60#1	81132#1	1#999
17066	806	66	68#114000	60#1	81132#1	1#999
17067	806	67	68#116000	60#1	19#2	1#999
17068	806	68	68#118000	60#1	81132#1	1#999
17069	806	69	68#120000	60#1	81132#1	1#999
17070	806	70	68#122000	60#1	20#1	1#999
17071	806	71	68#124000	60#1	81132#1	1#999
17072	806	72	68#126000	60#1	81132#1	1#999
17073	806	73	68#128000	60#1	19#2	1#999
17074	806	74	68#130000	60#1	81132#1	1#999
17075	806	75	68#132000	60#1	81132#1	1#999
17076	806	76	68#134000	60#1	20#1	1#999
17077	806	77	68#136000	60#1	81132#1	1#999
17078	806	78	68#138000	60#1	81132#1	1#999
17079	806	79	68#140000	60#1	19#2	1#999
17080	806	80	null	60#1	20#1	1#999
18000	807	0	68#1000	null	null	1#999
18001	807	1	68#2000	60#3	20#5|19#10	1#999
18002	807	2	68#3000	19#1	19#2	1#999
18003	807	3	68#4000	60#2	81132#1	1#999
18004	807	4	68#5000	72001#50	19#2	1#999
18005	807	5	68#6000	6001020#10	60402#1|60403#1	1#999
18006	807	6	68#7000	60#2	19#2	1#999
18007	807	7	68#8000	6001020#5	6001020#10	1#999
18008	807	8	68#9000	19#1	19#2	1#999
18009	807	9	68#10000	81003#1	19#2	1#999
18010	807	10	68#11000	61#1	6001020#50|60402#1	1#999
18011	807	11	68#12000	6001020#5	19#2	1#999
18012	807	12	68#13000	19#1	19#2	1#999
18013	807	13	68#14000	60#2	81132#1	1#999
18014	807	14	68#15000	72001#50	19#2	1#999
18015	807	15	68#16000	6001020#10	60402#1|60403#1	1#999
18016	807	16	68#17000	72001#50	20#1	1#999
18017	807	17	68#18000	6001020#5	20#1	1#999
18018	807	18	68#19000	60#2	81132#1	1#999
18019	807	19	68#20000	6001020#5	6001020#10	1#999
18020	807	20	68#22000	60#2	20#2|6001020#50	1#999
18021	807	21	68#24000	6001020#5	60402#1	1#999
18022	807	22	68#26000	19#1	19#2	1#999
18023	807	23	68#28000	60#3	6001020#10	1#999
18024	807	24	68#30000	80#5	60402#1	1#999
18025	807	25	68#32000	6001020#5	60425#1|60403#1	1#999
18026	807	26	68#34000	72001#50	20#1	1#999
18027	807	27	68#36000	6001020#5	20#1	1#999
18028	807	28	68#38000	60#2	81132#1	1#999
18029	807	29	68#40000	6001020#5	6001020#10	1#999
18030	807	30	68#42000	60#2	20#2|6001020#50	1#999
18031	807	31	68#44000	6001020#5	19#2	1#999
18032	807	32	68#46000	19#1	19#2	1#999
18033	807	33	68#48000	60#2	81132#1	1#999
18034	807	34	68#50000	72001#50	19#2	1#999
18035	807	35	68#52000	6001020#10	60402#1|60403#1	1#999
18036	807	36	68#54000	72001#50	20#1	1#999
18037	807	37	68#56000	6001020#5	20#1	1#999
18038	807	38	68#58000	60#2	81132#1	1#999
18039	807	39	68#60000	6001020#5	6001020#10	1#999
18040	807	40	68#62000	20#1	20#2|81148#50	1#999
18041	807	41	68#64000	60#1	81132#1	1#999
18042	807	42	68#66000	60#1	81132#1	1#999
18043	807	43	68#68000	60#1	19#2	1#999
18044	807	44	68#70000	60#1	81132#1	1#999
18045	807	45	68#72000	60#1	81132#1	1#999
18046	807	46	68#74000	60#1	20#1	1#999
18047	807	47	68#76000	60#1	81132#1	1#999
18048	807	48	68#78000	60#1	81132#1	1#999
18049	807	49	68#80000	60#1	19#2	1#999
18050	807	50	68#82000	60#1	81132#1	1#999
18051	807	51	68#84000	60#1	81132#1	1#999
18052	807	52	68#86000	60#1	20#1	1#999
18053	807	53	68#88000	60#1	81132#1	1#999
18054	807	54	68#90000	60#1	81132#1	1#999
18055	807	55	68#92000	60#1	19#2	1#999
18056	807	56	68#94000	60#1	81132#1	1#999
18057	807	57	68#96000	60#1	81132#1	1#999
18058	807	58	68#98000	60#1	20#1	1#999
18059	807	59	68#100000	60#1	81132#1	1#999
18060	807	60	68#102000	60#1	81132#1	1#999
18061	807	61	68#104000	60#1	19#2	1#999
18062	807	62	68#106000	60#1	81132#1	1#999
18063	807	63	68#108000	60#1	81132#1	1#999
18064	807	64	68#110000	60#1	20#1	1#999
18065	807	65	68#112000	60#1	81132#1	1#999
18066	807	66	68#114000	60#1	81132#1	1#999
18067	807	67	68#116000	60#1	19#2	1#999
18068	807	68	68#118000	60#1	81132#1	1#999
18069	807	69	68#120000	60#1	81132#1	1#999
18070	807	70	68#122000	60#1	20#1	1#999
18071	807	71	68#124000	60#1	81132#1	1#999
18072	807	72	68#126000	60#1	81132#1	1#999
18073	807	73	68#128000	60#1	19#2	1#999
18074	807	74	68#130000	60#1	81132#1	1#999
18075	807	75	68#132000	60#1	81132#1	1#999
18076	807	76	68#134000	60#1	20#1	1#999
18077	807	77	68#136000	60#1	81132#1	1#999
18078	807	78	68#138000	60#1	81132#1	1#999
18079	807	79	68#140000	60#1	19#2	1#999
18080	807	80	null	60#1	20#1	1#999
19000	808	0	68#1000	null	null	1#999
19001	808	1	68#2000	60#3	20#5|19#10	1#999
19002	808	2	68#3000	19#1	19#2	1#999
19003	808	3	68#4000	60#2	81132#1	1#999
19004	808	4	68#5000	72001#50	19#2	1#999
19005	808	5	68#6000	6001020#10	60402#1|60403#1	1#999
19006	808	6	68#7000	60#2	19#2	1#999
19007	808	7	68#8000	6001020#5	6001020#10	1#999
19008	808	8	68#9000	19#1	19#2	1#999
19009	808	9	68#10000	81003#1	19#2	1#999
19010	808	10	68#11000	61#1	6001020#50|60402#1	1#999
19011	808	11	68#12000	6001020#5	19#2	1#999
19012	808	12	68#13000	19#1	19#2	1#999
19013	808	13	68#14000	60#2	81132#1	1#999
19014	808	14	68#15000	72001#50	19#2	1#999
19015	808	15	68#16000	6001020#10	60402#1|60403#1	1#999
19016	808	16	68#17000	72001#50	20#1	1#999
19017	808	17	68#18000	6001020#5	20#1	1#999
19018	808	18	68#19000	60#2	81132#1	1#999
19019	808	19	68#20000	6001020#5	6001020#10	1#999
19020	808	20	68#22000	60#2	20#2|6001020#50	1#999
19021	808	21	68#24000	6001020#5	60402#1	1#999
19022	808	22	68#26000	19#1	19#2	1#999
19023	808	23	68#28000	60#3	6001020#10	1#999
19024	808	24	68#30000	80#5	60402#1	1#999
19025	808	25	68#32000	6001020#5	60425#1|60403#1	1#999
19026	808	26	68#34000	72001#50	20#1	1#999
19027	808	27	68#36000	6001020#5	20#1	1#999
19028	808	28	68#38000	60#2	81132#1	1#999
19029	808	29	68#40000	6001020#5	6001020#10	1#999
19030	808	30	68#42000	60#2	20#2|6001020#50	1#999
19031	808	31	68#44000	6001020#5	19#2	1#999
19032	808	32	68#46000	19#1	19#2	1#999
19033	808	33	68#48000	60#2	81132#1	1#999
19034	808	34	68#50000	72001#50	19#2	1#999
19035	808	35	68#52000	6001020#10	60402#1|60403#1	1#999
19036	808	36	68#54000	72001#50	20#1	1#999
19037	808	37	68#56000	6001020#5	20#1	1#999
19038	808	38	68#58000	60#2	81132#1	1#999
19039	808	39	68#60000	6001020#5	6001020#10	1#999
19040	808	40	68#62000	20#1	20#2|81148#50	1#999
19041	808	41	68#64000	60#1	81132#1	1#999
19042	808	42	68#66000	60#1	81132#1	1#999
19043	808	43	68#68000	60#1	19#2	1#999
19044	808	44	68#70000	60#1	81132#1	1#999
19045	808	45	68#72000	60#1	81132#1	1#999
19046	808	46	68#74000	60#1	20#1	1#999
19047	808	47	68#76000	60#1	81132#1	1#999
19048	808	48	68#78000	60#1	81132#1	1#999
19049	808	49	68#80000	60#1	19#2	1#999
19050	808	50	68#82000	60#1	81132#1	1#999
19051	808	51	68#84000	60#1	81132#1	1#999
19052	808	52	68#86000	60#1	20#1	1#999
19053	808	53	68#88000	60#1	81132#1	1#999
19054	808	54	68#90000	60#1	81132#1	1#999
19055	808	55	68#92000	60#1	19#2	1#999
19056	808	56	68#94000	60#1	81132#1	1#999
19057	808	57	68#96000	60#1	81132#1	1#999
19058	808	58	68#98000	60#1	20#1	1#999
19059	808	59	68#100000	60#1	81132#1	1#999
19060	808	60	68#102000	60#1	81132#1	1#999
19061	808	61	68#104000	60#1	19#2	1#999
19062	808	62	68#106000	60#1	81132#1	1#999
19063	808	63	68#108000	60#1	81132#1	1#999
19064	808	64	68#110000	60#1	20#1	1#999
19065	808	65	68#112000	60#1	81132#1	1#999
19066	808	66	68#114000	60#1	81132#1	1#999
19067	808	67	68#116000	60#1	19#2	1#999
19068	808	68	68#118000	60#1	81132#1	1#999
19069	808	69	68#120000	60#1	81132#1	1#999
19070	808	70	68#122000	60#1	20#1	1#999
19071	808	71	68#124000	60#1	81132#1	1#999
19072	808	72	68#126000	60#1	81132#1	1#999
19073	808	73	68#128000	60#1	19#2	1#999
19074	808	74	68#130000	60#1	81132#1	1#999
19075	808	75	68#132000	60#1	81132#1	1#999
19076	808	76	68#134000	60#1	20#1	1#999
19077	808	77	68#136000	60#1	81132#1	1#999
19078	808	78	68#138000	60#1	81132#1	1#999
19079	808	79	68#140000	60#1	19#2	1#999
19080	808	80	null	60#1	20#1	1#999
