Id	ActivityId	Values	Reward
20938	10603	0|160	19#10|60#6|14#150000
20939	10603	0|200	20#3|60#7|14#200000
1001	57	1	61#2
1002	57	2	87#10
1003	57	3	4#1000
1004	57	4	1002#5
1005	57	5	6000110#1000
1006	57	6	92#200
1007	57	7	20#2
1008	57	8	6000088#1
202	202	0|15	16#2000|6000062#50|6001014#30|19#20|4#1000|14#300000|3#150000
8000101	80001	0|50	19#1|72001#10
8000102	80001	0|80	6001012#30|72001#10
8000103	80001	0|110	81003#1|72001#10
8000104	80001	0|140	20031#1|72001#10
8000105	80001	0|170	81003#1|72001#10
8000106	80001	0|200	6001022#10|72001#10
8000107	80001	0|230	16#500|72001#10
8000108	80001	0|260	6001022#20|72001#10
8000109	80001	0|290	61#1|72001#10
8000110	80001	0|320	20030#1|72001#10
8000111	80001	0|350	6001022#20|72001#10
8000112	80001	0|380	20#1|72001#10
8000113	80001	0|410	6001028#50|72001#10
8000114	80001	0|430	20029#1|72001#10
8000115	80001	0|450	16#1500|72001#10
8000201	80002	0|50	19#1|72001#10
8000202	80002	0|80	6001013#30|72001#10
8000203	80002	0|110	81003#1|72001#10
8000204	80002	0|140	20031#1|72001#10
8000205	80002	0|170	81003#1|72001#10
8000206	80002	0|200	6001023#10|72001#10
8000207	80002	0|230	16#500|72001#10
8000208	80002	0|260	6001023#20|72001#10
8000209	80002	0|290	61#1|72001#10
8000210	80002	0|320	20030#1|72001#10
8000211	80002	0|350	6001023#20|72001#10
8000212	80002	0|380	20#1|72001#10
8000213	80002	0|410	6001029#50|72001#10
8000214	80002	0|430	20029#1|72001#10
8000215	80002	0|450	16#1500|72001#10
8000301	80003	0|50	19#1|72001#10
8000302	80003	0|80	6001011#30|72001#10
8000303	80003	0|110	81003#1|72001#10
8000304	80003	0|140	20031#1|72001#10
8000305	80003	0|170	81003#1|72001#10
8000306	80003	0|200	6001021#10|72001#10
8000307	80003	0|230	16#500|72001#10
8000308	80003	0|260	6001021#20|72001#10
8000309	80003	0|290	61#1|72001#10
8000310	80003	0|320	20030#1|72001#10
8000311	80003	0|350	6001021#20|72001#10
8000312	80003	0|380	20#1|72001#10
8000313	80003	0|410	6001027#50|72001#10
8000314	80003	0|430	20029#1|72001#10
8000315	80003	0|450	16#1500|72001#10
8000401	80004	0|50	19#1|72001#10
8000402	80004	0|80	6001026#10|72001#10
8000403	80004	0|110	81003#1|72001#10
8000404	80004	0|140	20031#1|72001#10
8000405	80004	0|170	81003#1|72001#10
8000406	80004	0|200	6001026#10|72001#10
8000407	80004	0|230	16#500|72001#10
8000408	80004	0|260	6001026#10|72001#10
8000409	80004	0|290	61#1|72001#10
8000410	80004	0|320	20030#1|72001#10
8000411	80004	0|350	6001026#20|72001#10
8000412	80004	0|380	20#1|72001#10
8000413	80004	0|410	6001026#50|72001#10
8000414	80004	0|430	20029#1|72001#10
8000415	80004	0|450	16#1500|72001#10
8000501	80005	0|50	19#1|72001#10
8000502	80005	0|80	6001012#30|72001#10
8000503	80005	0|110	81003#1|72001#10
8000504	80005	0|140	20031#1|72001#10
8000505	80005	0|170	81003#1|72001#10
8000506	80005	0|200	6001022#10|72001#10
8000507	80005	0|230	16#500|72001#10
8000508	80005	0|260	6001022#20|72001#10
8000509	80005	0|290	61#1|72001#10
8000510	80005	0|320	20030#1|72001#10
8000511	80005	0|350	6001022#20|72001#10
8000512	80005	0|380	20#1|72001#10
8000513	80005	0|410	6001028#50|72001#10
8000514	80005	0|430	20029#1|72001#10
8000515	80005	0|450	16#1500|72001#10
8000601	80006	0|50	19#1|72001#10
8000602	80006	0|80	6001013#30|72001#10
8000603	80006	0|110	81003#1|72001#10
8000604	80006	0|140	20031#1|72001#10
8000605	80006	0|170	81003#1|72001#10
8000606	80006	0|200	6001023#10|72001#10
8000607	80006	0|230	16#500|72001#10
8000608	80006	0|260	6001023#20|72001#10
8000609	80006	0|290	61#1|72001#10
8000610	80006	0|320	20030#1|72001#10
8000611	80006	0|350	6001023#20|72001#10
8000612	80006	0|380	20#1|72001#10
8000613	80006	0|410	6001029#50|72001#10
8000614	80006	0|430	20029#1|72001#10
8000615	80006	0|450	16#1500|72001#10
8000701	80007	0|50	19#1|72001#10
8000702	80007	0|80	6001011#30|72001#10
8000703	80007	0|110	81003#1|72001#10
8000704	80007	0|140	20031#1|72001#10
8000705	80007	0|170	81003#1|72001#10
8000706	80007	0|200	6001021#10|72001#10
8000707	80007	0|230	16#500|72001#10
8000708	80007	0|260	6001021#20|72001#10
8000709	80007	0|290	61#1|72001#10
8000710	80007	0|320	20030#1|72001#10
8000711	80007	0|350	6001021#20|72001#10
8000712	80007	0|380	20#1|72001#10
8000713	80007	0|410	6001027#50|72001#10
8000714	80007	0|430	20029#1|72001#10
8000715	80007	0|450	16#1500|72001#10
8000801	80008	0|50	19#1|72001#10
8000802	80008	0|80	6001026#10|72001#10
8000803	80008	0|110	81003#1|72001#10
8000804	80008	0|140	20031#1|72001#10
8000805	80008	0|170	81003#1|72001#10
8000806	80008	0|200	6001026#10|72001#10
8000807	80008	0|230	16#500|72001#10
8000808	80008	0|260	6001026#10|72001#10
8000809	80008	0|290	61#1|72001#10
8000810	80008	0|320	20030#1|72001#10
8000811	80008	0|350	6001026#20|72001#10
8000812	80008	0|380	20#1|72001#10
8000813	80008	0|410	6001026#50|72001#10
8000814	80008	0|430	20029#1|72001#10
8000815	80008	0|450	16#1500|72001#10
8000901	80009	0|50	19#1|72001#10
8000902	80009	0|80	6001012#30|72001#10
8000903	80009	0|110	81003#1|72001#10
8000904	80009	0|140	20031#1|72001#10
8000905	80009	0|170	81003#1|72001#10
8000906	80009	0|200	6001022#10|72001#10
8000907	80009	0|230	16#500|72001#10
8000908	80009	0|260	6001022#20|72001#10
8000909	80009	0|290	61#1|72001#10
8000910	80009	0|320	20030#1|72001#10
8000911	80009	0|350	6001022#20|72001#10
8000912	80009	0|380	20#1|72001#10
8000913	80009	0|410	6001028#50|72001#10
8000914	80009	0|430	20029#1|72001#10
8000915	80009	0|450	16#1500|72001#10
8001001	80010	0|50	19#1|72001#10
8001002	80010	0|80	6001013#30|72001#10
8001003	80010	0|110	81003#1|72001#10
8001004	80010	0|140	20031#1|72001#10
8001005	80010	0|170	81003#1|72001#10
8001006	80010	0|200	6001023#10|72001#10
8001007	80010	0|230	16#500|72001#10
8001008	80010	0|260	6001023#20|72001#10
8001009	80010	0|290	61#1|72001#10
8001010	80010	0|320	20030#1|72001#10
8001011	80010	0|350	6001023#20|72001#10
8001012	80010	0|380	20#1|72001#10
8001013	80010	0|410	6001029#50|72001#10
8001014	80010	0|430	20029#1|72001#10
8001015	80010	0|450	16#1500|72001#10
8001101	80011	0|50	19#1|72001#10
8001102	80011	0|80	6001011#30|72001#10
8001103	80011	0|110	81003#1|72001#10
8001104	80011	0|140	20031#1|72001#10
8001105	80011	0|170	81003#1|72001#10
8001106	80011	0|200	6001021#10|72001#10
8001107	80011	0|230	16#500|72001#10
8001108	80011	0|260	6001021#20|72001#10
8001109	80011	0|290	61#1|72001#10
8001110	80011	0|320	20030#1|72001#10
8001111	80011	0|350	6001021#20|72001#10
8001112	80011	0|380	20#1|72001#10
8001113	80011	0|410	6001027#50|72001#10
8001114	80011	0|430	20029#1|72001#10
8001115	80011	0|450	16#1500|72001#10
8001201	80012	0|50	19#1|72001#10
8001202	80012	0|80	6001026#10|72001#10
8001203	80012	0|110	81003#1|72001#10
8001204	80012	0|140	20031#1|72001#10
8001205	80012	0|170	81003#1|72001#10
8001206	80012	0|200	6001026#10|72001#10
8001207	80012	0|230	16#500|72001#10
8001208	80012	0|260	6001026#10|72001#10
8001209	80012	0|290	61#1|72001#10
8001210	80012	0|320	20030#1|72001#10
8001211	80012	0|350	6001026#20|72001#10
8001212	80012	0|380	20#1|72001#10
8001213	80012	0|410	6001026#50|72001#10
8001214	80012	0|430	20029#1|72001#10
8001215	80012	0|450	16#1500|72001#10
62011	6201	1300|100	19#5
62012	6201	1300|300	18101#10
62013	6201	1300|600	6000110#5000
62014	6201	1300|900	60417#1
62015	6201	1300|1250	6000089#1
62021	6202	1300|100	19#5
62022	6202	1300|300	18101#10
62023	6202	1300|600	17009#350
62024	6202	1300|900	60415#2
62025	6202	1300|1250	60408#1
62031	6203	1300|100	19#5
62032	6203	1300|300	18101#10
62033	6203	1300|600	6000110#5000
62034	6203	1300|900	60417#1
62035	6203	1300|1250	6000089#1
62041	6204	1300|100	19#5
62042	6204	1300|300	18101#10
62043	6204	1300|600	17009#350
62044	6204	1300|900	60415#2
62045	6204	1300|1250	60408#1
62051	6205	1300|100	19#5
62052	6205	1300|300	18101#10
62053	6205	1300|600	6000110#5000
62054	6205	1300|900	60417#1
62055	6205	1300|1250	6000089#1
62061	6206	1300|100	19#5
62062	6206	1300|300	18101#10
62063	6206	1300|600	17009#350
62064	6206	1300|900	60415#2
62065	6206	1300|1250	60408#1
62071	6207	1300|100	19#5
62072	6207	1300|300	18101#10
62073	6207	1300|600	6000110#5000
62074	6207	1300|900	60417#1
62075	6207	1300|1250	6000089#1
62081	6208	1300|100	19#5
62082	6208	1300|300	18101#10
62083	6208	1300|600	17009#350
62084	6208	1300|900	60415#2
62085	6208	1300|1250	60408#1
62091	6209	1300|100	19#5
62092	6209	1300|300	18101#10
62093	6209	1300|600	6000110#5000
62094	6209	1300|900	60417#1
62095	6209	1300|1250	6000089#1
62101	6210	1300|100	19#5
62102	6210	1300|300	18101#10
62103	6210	1300|600	17009#350
62104	6210	1300|900	60415#2
62105	6210	1300|1250	60408#1
62111	6211	1300|100	19#5
62112	6211	1300|300	18101#10
62113	6211	1300|600	6000110#5000
62114	6211	1300|900	60417#1
62115	6211	1300|1250	6000089#1
62121	6212	1300|100	19#5
62122	6212	1300|300	18101#10
62123	6212	1300|600	17009#350
62124	6212	1300|900	60415#2
62125	6212	1300|1250	60408#1
62131	6213	1300|100	19#5
62132	6213	1300|300	18101#10
62133	6213	1300|600	6000110#5000
62134	6213	1300|900	60417#1
62135	6213	1300|1250	6000089#1
62141	6214	1300|100	19#5
62142	6214	1300|300	18101#10
62143	6214	1300|600	17009#350
62144	6214	1300|900	60415#2
62145	6214	1300|1250	60408#1
6101	610	0|2000	16#100|65#500
6102	610	0|4000	19#5|65#1000
6103	610	0|6000	61#1|65#1500
6104	610	0|8000	6000110#2000|65#2000
6105	610	0|10000	20#1|65#2500
6111	611	0|2000	16#100|65#500
6112	611	0|4000	19#5|65#1000
6113	611	0|6000	61#1|65#1500
6114	611	0|8000	6000110#2000|65#2000
6115	611	0|10000	20#1|65#2500
6121	612	0|2000	16#100|65#500
6122	612	0|4000	19#5|65#1000
6123	612	0|6000	61#1|65#1500
6124	612	0|8000	6000110#2000|65#2000
6125	612	0|10000	20#1|65#2500
6131	613	0|2000	16#100|65#500
6132	613	0|4000	19#5|65#1000
6133	613	0|6000	61#1|65#1500
6134	613	0|8000	6000110#2000|65#2000
6135	613	0|10000	20#1|65#2500
6141	614	0|2000	16#100|65#500
6142	614	0|4000	19#5|65#1000
6143	614	0|6000	61#1|65#1500
6144	614	0|8000	6000110#2000|65#2000
6145	614	0|10000	20#1|65#2500
6151	615	0|2000	16#100|65#500
6152	615	0|4000	19#5|65#1000
6153	615	0|6000	61#1|65#1500
6154	615	0|8000	6000110#2000|65#2000
6155	615	0|10000	20#1|65#2500
6161	616	0|2000	16#100|65#500
6162	616	0|4000	19#5|65#1000
6163	616	0|6000	61#1|65#1500
6164	616	0|8000	6000110#2000|65#2000
6165	616	0|10000	20#1|65#2500
6171	617	0|2000	16#100|65#500
6172	617	0|4000	19#5|65#1000
6173	617	0|6000	61#1|65#1500
6174	617	0|8000	6000110#2000|65#2000
6175	617	0|10000	20#1|65#2500
6181	618	0|2000	16#100|65#500
6182	618	0|4000	19#5|65#1000
6183	618	0|6000	61#1|65#1500
6184	618	0|8000	6000110#2000|65#2000
6185	618	0|10000	20#1|65#2500
6191	619	0|2000	16#100|65#500
6192	619	0|4000	19#5|65#1000
6193	619	0|6000	61#1|65#1500
6194	619	0|8000	6000110#2000|65#2000
6195	619	0|10000	20#1|65#2500
6201	620	0|2000	16#100|65#500
6202	620	0|4000	19#5|65#1000
6203	620	0|6000	61#1|65#1500
6204	620	0|8000	6000110#2000|65#2000
6205	620	0|10000	20#1|65#2500
6211	621	0|2000	16#100|65#500
6212	621	0|4000	19#5|65#1000
6213	621	0|6000	61#1|65#1500
6214	621	0|8000	6000110#2000|65#2000
6215	621	0|10000	20#1|65#2500
6221	622	0|2000	16#100|65#500
6222	622	0|4000	19#5|65#1000
6223	622	0|6000	61#1|65#1500
6224	622	0|8000	6000110#2000|65#2000
6225	622	0|10000	20#1|65#2500
6231	623	0|2000	16#100|65#500
6232	623	0|4000	19#5|65#1000
6233	623	0|6000	61#1|65#1500
6234	623	0|8000	6000110#2000|65#2000
6235	623	0|10000	20#1|65#2500
10011	1001	1	4#200
10012	1001	2	6000079#10
10013	1001	3	6000079#20
10014	1001	4	61#1
10015	1001	5	6000079#20
10016	1001	6	16#300
10017	1001	7	20#1
10021	1002	1	1004#3
10022	1002	2	1004#3
10023	1002	3	1004#3
10024	1002	4	61#1
10025	1002	5	1004#3
10026	1002	6	1004#3
10027	1002	7	20#2
10031	1003	1	4#200
10032	1003	2	6000060#10
10033	1003	3	6000060#20
10034	1003	4	61#1
10035	1003	5	6000060#20
10036	1003	6	16#300
10037	1003	7	20#1
10041	1004	1	1004#3
10042	1004	2	1004#3
10043	1004	3	1004#3
10044	1004	4	61#1
10045	1004	5	1004#3
10046	1004	6	1004#3
10047	1004	7	20#2
10051	1005	1	4#200
10052	1005	2	6000079#10
10053	1005	3	6000079#20
10054	1005	4	61#1
10055	1005	5	6000079#20
10056	1005	6	16#300
10057	1005	7	20#1
10061	1006	1	1004#3
10062	1006	2	1004#3
10063	1006	3	1004#3
10064	1006	4	61#1
10065	1006	5	1004#3
10066	1006	6	1004#3
10067	1006	7	20#2
10071	1007	1	4#200
10072	1007	2	6000060#10
10073	1007	3	6000060#20
10074	1007	4	61#1
10075	1007	5	6000060#20
10076	1007	6	16#300
10077	1007	7	20#1
10081	1008	1	1004#3
10082	1008	2	1004#3
10083	1008	3	1004#3
10084	1008	4	61#1
10085	1008	5	1004#3
10086	1008	6	1004#3
10087	1008	7	20#2
10091	1009	1	4#200
10092	1009	2	6000079#10
10093	1009	3	6000079#20
10094	1009	4	61#1
10095	1009	5	6000079#20
10096	1009	6	16#300
10097	1009	7	20#1
10101	1010	1	1004#3
10102	1010	2	1004#3
10103	1010	3	1004#3
10104	1010	4	61#1
10105	1010	5	1004#3
10106	1010	6	1004#3
10107	1010	7	20#2
10111	1011	1	4#200
10112	1011	2	6000060#10
10113	1011	3	6000060#20
10114	1011	4	61#1
10115	1011	5	6000060#20
10116	1011	6	16#300
10117	1011	7	20#1
10121	1012	1	1004#3
10122	1012	2	1004#3
10123	1012	3	1004#3
10124	1012	4	61#1
10125	1012	5	1004#3
10126	1012	6	1004#3
10127	1012	7	20#2
10131	1013	1	4#200
10132	1013	2	6000079#10
10133	1013	3	6000079#20
10134	1013	4	61#1
10135	1013	5	6000079#20
10136	1013	6	16#300
10137	1013	7	20#1
10141	1014	1	1004#3
10142	1014	2	1004#3
10143	1014	3	1004#3
10144	1014	4	61#1
10145	1014	5	1004#3
10146	1014	6	1004#3
10147	1014	7	20#2
10151	1015	1	4#200
10152	1015	2	6000060#10
10153	1015	3	6000060#20
10154	1015	4	61#1
10155	1015	5	6000060#20
10156	1015	6	16#300
10157	1015	7	20#1
10161	1016	1	1004#3
10162	1016	2	1004#3
10163	1016	3	1004#3
10164	1016	4	61#1
10165	1016	5	1004#3
10166	1016	6	1004#3
10167	1016	7	20#2
10171	1017	1	4#200
10172	1017	2	6000079#10
10173	1017	3	6000079#20
10174	1017	4	61#1
10175	1017	5	6000079#20
10176	1017	6	16#300
10177	1017	7	20#1
10181	1018	1	1004#3
10182	1018	2	1004#3
10183	1018	3	1004#3
10184	1018	4	61#1
10185	1018	5	1004#3
10186	1018	6	1004#3
10187	1018	7	20#2
10191	1019	1	4#200
10192	1019	2	6000060#10
10193	1019	3	6000060#20
10194	1019	4	61#1
10195	1019	5	6000060#20
10196	1019	6	16#300
10197	1019	7	20#1
10201	1020	1	1004#3
10202	1020	2	1004#3
10203	1020	3	1004#3
10204	1020	4	61#1
10205	1020	5	1004#3
10206	1020	6	1004#3
10207	1020	7	20#2
10211	1021	1	4#200
10212	1021	2	6000079#10
10213	1021	3	6000079#20
10214	1021	4	61#1
10215	1021	5	6000079#20
10216	1021	6	16#300
10217	1021	7	20#1
10221	1022	1	1004#3
10222	1022	2	1004#3
10223	1022	3	1004#3
10224	1022	4	61#1
10225	1022	5	1004#3
10226	1022	6	1004#3
10227	1022	7	20#2
10231	1023	1	4#200
10232	1023	2	6000060#10
10233	1023	3	6000060#20
10234	1023	4	61#1
10235	1023	5	6000060#20
10236	1023	6	16#300
10237	1023	7	20#1
