Id	ReadingName	PiecesId	PiecesCount	Star	Quality	Natural	Profession	PropertyName	MaxRank	Hp	Attack	PhysicalDefence	MagicDefence	Speed	Hp_rate	Atk_rate	Def_rate	Speed_rate	SecondaryFactor	ActionPower	RankupConsumeMaterial	OpenSkillRules	OpenPassiveSkillRules	EquipTalismana	GrowthSwitch	OwnReward	Material
10068	2010066	6000066	30	4	4	4	3	4	5	433.0	87.0	40.0	0.0	86.0	379390.0	77810.0	45600.0	38500.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#4100|1#4101|3#4103	2#4102	null	null	16#40	0
10069	2010067	6000067	30	4	4	4	4	4	5	482.0	77.0	33.0	0.0	88.0	408210.0	65970.0	46510.0	38500.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#4110|1#4111|3#4113	2#4112	null	null	16#40	0
10070	2010068	6000068	30	4	4	4	4	4	5	473.0	84.0	35.0	0.0	84.0	407750.0	65620.0	46560.0	38500.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#4120|1#4121|3#4123	2#4122	null	null	16#40	0
10071	2010069	6000069	20	3	3	3	2	4	3	376.0	68.0	33.0	0.0	72.0	302950.0	62140.0	36410.0	31660.0	56#15000|53#10000|55#1000	30	null	0#4130|1#4131	2#4132	null	null	16#30	0
10072	2010070	6000070	50	5	5	5	3	5	13	610.0	125.0	50.0	0.0	120.0	541090.0	113090.0	65100.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#49#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5150|1#5151|3#5153	2#5152|4#5154	null	null	16#50	0
10073	2010071	6000071	50	5	5	5	4	5	13	672.0	108.0	51.0	0.0	122.0	582290.0	95240.0	66400.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#50#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5140|1#5141|3#5143	2#5142|4#5144	null	null	16#50	0
10074	2010072	6000072	50	5	5	5	3	5	13	604.0	122.0	51.0	0.0	117.0	535500.0	114100.0	65000.0	54200.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#49#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5010|1#5011|3#5013	2#5012|4#5014	null	null	16#50	0
10075	2010073	6000073	50	5	5	5	4	5	13	629.0	108.0	51.0	0.0	113.0	582290.0	95240.0	66400.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#51#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5020|1#5021|3#5023	2#5022|4#5024	null	null	16#50	0
10076	2010074	6000074	50	5	5	5	3	5	13	605.0	122.0	52.0	0.0	112.0	541310.0	112700.0	65080.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#51#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5030|1#5031|3#5033	2#5032|4#5034	null	null	16#50	0
10079	2010075	6000075	50	5	5	5	2	5	13	620.0	121.0	48.0	0.0	113.0	530340.0	110790.0	63780.0	54540.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#51#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5040|1#5041|3#5043	2#5042|4#5044	null	null	16#50	0
10080	2010076	6000076	50	5	5	5	3	5	13	610.0	123.0	50.0	0.0	115.0	541090.0	113090.0	65100.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#50#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5050|1#5051|3#5053	2#5052|4#5054	null	null	16#50	0
10081	2010077	6000077	50	5	5	5	1	5	13	713.0	91.0	49.0	0.0	114.0	622320.0	77660.0	68250.0	56160.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#51#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5060|1#5061|3#5063	2#5062|4#5064	null	null	16#50	0
10082	2010078	6000078	50	5	5	5	3	5	13	623.0	123.0	53.0	0.0	114.0	541340.0	113020.0	65020.0	54000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#50#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#5070|1#5071|3#5073	2#5072|4#5074	null	null	16#50	0
10085	2010079	6000079	50	5	5	5	2	5	9	570.0	117.0	49.0	0.0	113.0	530870.0	110910.0	63700.0	54540.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#49#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#5080|1#5081|3#5083	2#5082	null	null	16#50	0
10086	2010080	6000080	30	4	4	4	2	5	5	468.0	94.0	39.0	0.0	82.0	372380.0	77820.0	44730.0	38180.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#5090|1#5091|3#5093	2#5092	null	null	16#40	0
10087	2010081	6000081	30	4	4	4	1	5	5	451.0	65.0	41.0	0.0	84.0	436610.0	54650.0	47920.0	39310.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#5100|1#5101|3#5103	2#5102	null	null	16#40	0
10088	2010082	6000082	30	4	4	4	1	5	5	464.0	68.0	38.0	0.0	86.0	436340.0	54500.0	47860.0	39310.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#5110|1#5111	2#5112|3#5113	null	null	16#40	0
10089	2010083	6000083	30	4	4	4	2	5	5	435.0	91.0	40.0	0.0	80.0	371730.0	77740.0	44650.0	38180.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#5120|1#5121	2#5122|3#5123	null	null	16#40	0
10090	2010084	6000084	20	3	3	3	4	5	3	375.0	68.0	35.0	0.0	67.0	332510.0	54800.0	37960.0	30780.0	56#15000|53#10000|55#1000	30	null	0#5130|1#5131	2#5132	null	null	16#30	0
20000	2010085	0	0	9	5	5	1	0	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11050	2010326	0	0	5	5	5	4	0	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11051	2010327	0	0	5	5	5	4	1	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11052	2010328	0	0	5	5	5	4	2	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11053	2010329	0	0	5	5	5	4	3	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11054	2010330	0	0	5	5	5	4	4	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11055	2010331	0	0	5	5	5	4	5	5	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11060	2010332	0	0	6	5	5	4	0	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11061	2010333	0	0	6	5	5	4	1	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11062	2010334	0	0	6	5	5	4	2	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11063	2010335	0	0	6	5	5	4	3	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11064	2010336	0	0	6	5	5	4	4	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11065	2010337	0	0	6	5	5	4	5	6	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11090	2010338	0	0	9	5	5	4	0	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11091	2010339	0	0	9	5	5	4	1	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11092	2010340	0	0	9	5	5	4	2	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11093	2010341	0	0	9	5	5	4	3	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11094	2010342	0	0	9	5	5	4	4	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11095	2010343	0	0	9	5	5	4	5	9	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11100	2010344	0	0	10	5	5	4	0	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11101	2010345	0	0	10	5	5	4	1	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11102	2010346	0	0	10	5	5	4	2	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11103	2010347	0	0	10	5	5	4	3	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11104	2010348	0	0	10	5	5	4	4	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
11105	2010349	0	0	10	5	5	4	5	10	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	null	30	null	null	null	null	null	16#0	1
30001	2010086	0	0	13	5	5	1	0	13	661.0	96.0	52.0	0.0	118.0	622740.0	76150.0	68340.0	57200.0	null	0	null	null	null	null	null	16#0	0
