Id	ActivityId	Level	Integral	Reward	FreeSkill	TreasureReward	PaySkill	LevelCond
1023	8010	22	115#36000	10421#1	0	16#100	80218	1#999
1024	8010	23	115#38000	null	80112	16#300	80219	1#999
1025	8010	24	115#40000	10421#1	0	16#100	80220	1#999
1026	8010	25	115#42000	null	80113	16#100	82505	1#999
1027	8010	26	115#44000	10421#1	0	16#100	80221	1#999
1028	8010	27	115#46000	null	80114	16#100	80222	1#999
1029	8010	28	115#48000	10421#1	0	16#300	80223	1#999
1030	8010	29	115#50000	null	80115	16#100	80224	1#999
1031	8010	30	115#52000	null	81303	16#100	82506	1#999
1032	8010	31	115#54000	null	80116	16#100	80225	1#999
1033	8010	32	115#56000	10421#1	0	16#100	80226	1#999
1034	8010	33	115#58000	null	80117	16#300	80227	1#999
1035	8010	34	115#60000	10421#1	0	16#100	80228	1#999
1036	8010	35	115#62000	null	80118	16#100	82507	1#999
1037	8010	36	115#64000	10421#1	0	16#100	80229	1#999
1038	8010	37	115#66000	null	80119	16#100	80230	1#999
1039	8010	38	115#68000	10421#1	0	16#300	80231	1#999
1040	8010	39	115#70000	null	80120	16#100	80232	1#999
1041	8010	40	115#72000	null	81304	16#100	82508	1#999
1042	8010	41	115#74000	null	80121	16#100	80233	1#999
1043	8010	42	115#76000	10421#1	0	16#100	80234	1#999
1044	8010	43	115#78000	null	80122	16#300	80235	1#999
1045	8010	44	115#80000	10421#1	0	16#100	80236	1#999
1046	8010	45	115#82000	null	80123	16#100	82509	1#999
1047	8010	46	115#84000	10421#1	0	16#100	80237	1#999
1048	8010	47	115#86000	null	80124	16#100	80238	1#999
1049	8010	48	115#88000	10421#1	0	16#300	80239	1#999
1050	8010	49	115#90000	null	80125	16#300	80240	1#999
1051	8010	50	null	null	81305	10080#1	0	1#999
