Id	Level	Quality	CharacterLevelPara	Consume	SumConsume
377	77	4	1#10848|2#1627|4#542|3#542	1202#33000	1202#830100
378	78	4	1#11040|2#1656|4#552|3#552	1202#34200	1202#863100
379	79	4	1#11232|2#1684|4#561|3#561	1202#35400	1202#897300
380	80	4	1#11424|2#1713|4#571|3#571	1202#36600	1202#932700
381	81	4	1#11712|2#1756|4#585|3#585	1202#37800	1202#969300
382	82	4	1#12000|2#1800|4#600|3#600	1202#39000	1202#1007100
383	83	4	1#12288|2#1843|4#614|3#614	1202#40200	1202#1046100
384	84	4	1#12576|2#1886|4#628|3#628	1202#41400	1202#1086300
385	85	4	1#12864|2#1929|4#643|3#643	1202#42600	1202#1127700
386	86	4	1#13152|2#1972|4#657|3#657	1202#43800	1202#1170300
387	87	4	1#13440|2#2016|4#672|3#672	1202#45000	1202#1214100
388	88	4	1#13728|2#2059|4#686|3#686	1202#46200	1202#1259100
389	89	4	1#14016|2#2102|4#700|3#700	1202#47400	1202#1305300
390	90	4	1#14304|2#2145|4#715|3#715	1202#48600	1202#1352700
391	91	4	1#14592|2#2188|4#729|3#729	1202#49800	1202#1401300
392	92	4	1#14880|2#2232|4#744|3#744	1202#51000	1202#1451100
393	93	4	1#15168|2#2275|4#758|3#758	1202#52200	1202#1502100
394	94	4	1#15456|2#2318|4#772|3#772	1202#53400	1202#1554300
395	95	4	1#15744|2#2361|4#787|3#787	1202#54600	1202#1607700
396	96	4	1#16032|2#2404|4#801|3#801	1202#55800	1202#1662300
397	97	4	1#16320|2#2448|4#816|3#816	1202#57000	1202#1718100
398	98	4	1#16608|2#2491|4#830|3#830	1202#58200	1202#1775100
399	99	4	1#16896|2#2534|4#844|3#844	1202#59400	1202#1833300
400	100	4	1#17184|2#2577|4#859|3#859	1202#60000	1202#1892700
401	101	4	1#17472|2#2620|4#873|3#873	1202#60600	1202#1952700
402	102	4	1#17760|2#2664|4#888|3#888	1202#61200	1202#2013300
403	103	4	1#18048|2#2707|4#902|3#902	1202#61800	1202#2074500
404	104	4	1#18336|2#2750|4#916|3#916	1202#62400	1202#2136300
405	105	4	1#18624|2#2793|4#931|3#931	1202#63000	1202#2198700
406	106	4	1#18912|2#2836|4#945|3#945	1202#63600	1202#2261700
407	107	4	1#19200|2#2880|4#960|3#960	1202#64200	1202#2325300
408	108	4	1#19488|2#2923|4#974|3#974	1202#64800	1202#2389500
409	109	4	1#19776|2#2966|4#988|3#988	1202#65400	1202#2454300
410	110	4	1#20064|2#3009|4#1003|3#1003	1202#66000	1202#2519700
411	111	4	1#20352|2#3052|4#1017|3#1017	1202#66600	1202#2585700
412	112	4	1#20640|2#3096|4#1032|3#1032	1202#67200	1202#2652300
413	113	4	1#20928|2#3139|4#1046|3#1046	1202#67800	1202#2719500
414	114	4	1#21216|2#3182|4#1060|3#1060	1202#68400	1202#2787300
415	115	4	1#21504|2#3225|4#1075|3#1075	1202#69000	1202#2855700
416	116	4	1#21792|2#3268|4#1089|3#1089	1202#69600	1202#2924700
417	117	4	1#22080|2#3312|4#1104|3#1104	1202#70200	1202#2994300
418	118	4	1#22368|2#3355|4#1118|3#1118	1202#70800	1202#3064500
419	119	4	1#22656|2#3398|4#1132|3#1132	1202#71400	1202#3135300
420	120	4	1#22944|2#3441|4#1147|3#1147	1202#72000	1202#3206700
421	121	4	1#23328|2#3499|4#1166|3#1166	1202#72600	1202#3278700
422	122	4	1#23712|2#3556|4#1185|3#1185	1202#73200	1202#3351300
423	123	4	1#24096|2#3614|4#1204|3#1204	1202#73800	1202#3424500
424	124	4	1#24480|2#3672|4#1224|3#1224	1202#74400	1202#3498300
425	125	4	1#24864|2#3729|4#1243|3#1243	1202#75000	1202#3572700
426	126	4	1#25248|2#3787|4#1262|3#1262	1202#75600	1202#3647700
427	127	4	1#25632|2#3844|4#1281|3#1281	1202#76200	1202#3723300
428	128	4	1#26016|2#3902|4#1300|3#1300	1202#76800	1202#3799500
429	129	4	1#26400|2#3960|4#1320|3#1320	1202#77400	1202#3876300
430	130	4	1#26784|2#4017|4#1339|3#1339	1202#78000	1202#3953700
431	131	4	1#27168|2#4075|4#1358|3#1358	1202#78600	1202#4031700
432	132	4	1#27552|2#4132|4#1377|3#1377	1202#79200	1202#4110300
433	133	4	1#27936|2#4190|4#1396|3#1396	1202#79800	1202#4189500
434	134	4	1#28320|2#4248|4#1416|3#1416	1202#80400	1202#4269300
435	135	4	1#28704|2#4305|4#1435|3#1435	1202#81000	1202#4349700
436	136	4	1#29088|2#4363|4#1454|3#1454	1202#81600	1202#4430700
437	137	4	1#29472|2#4420|4#1473|3#1473	1202#82200	1202#4512300
438	138	4	1#29856|2#4478|4#1492|3#1492	1202#82800	1202#4594500
439	139	4	1#30240|2#4536|4#1512|3#1512	1202#83400	1202#4677300
440	140	4	1#30624|2#4593|4#1531|3#1531	1202#84000	1202#4760700
441	141	4	1#31008|2#4651|4#1550|3#1550	1202#84600	1202#4844700
442	142	4	1#31392|2#4708|4#1569|3#1569	1202#85200	1202#4929300
443	143	4	1#31776|2#4766|4#1588|3#1588	1202#85800	1202#5014500
444	144	4	1#32160|2#4824|4#1608|3#1608	1202#86400	1202#5100300
445	145	4	1#32544|2#4881|4#1627|3#1627	1202#87000	1202#5186700
446	146	4	1#32928|2#4939|4#1646|3#1646	1202#87600	1202#5273700
447	147	4	1#33312|2#4996|4#1665|3#1665	1202#88200	1202#5361300
448	148	4	1#33696|2#5054|4#1684|3#1684	1202#88800	1202#5449500
449	149	4	1#34080|2#5112|4#1704|3#1704	1202#89400	1202#5538300
450	150	4	1#34464|2#5169|4#1723|3#1723	1202#90000	1202#5627700
451	151	4	1#34848|2#5227|4#1742|3#1742	1202#90600	1202#5717700
452	152	4	1#35232|2#5284|4#1761|3#1761	1202#91200	1202#5808300
453	153	4	1#35616|2#5342|4#1780|3#1780	1202#91800	1202#5899500
454	154	4	1#36000|2#5400|4#1800|3#1800	1202#92400	1202#5991300
455	155	4	1#36384|2#5457|4#1819|3#1819	1202#93000	1202#6083700
456	156	4	1#36768|2#5515|4#1838|3#1838	1202#93600	1202#6176700
457	157	4	1#37152|2#5572|4#1857|3#1857	1202#94200	1202#6270300
458	158	4	1#37536|2#5630|4#1876|3#1876	1202#94800	1202#6364500
459	159	4	1#37920|2#5688|4#1896|3#1896	1202#95400	1202#6459300
460	160	4	1#38304|2#5745|4#1915|3#1915	1202#96000	1202#6554700
461	161	4	1#38784|2#5817|4#1939|3#1939	1202#96600	1202#6650700
462	162	4	1#39264|2#5889|4#1963|3#1963	1202#97200	1202#6747300
463	163	4	1#39744|2#5961|4#1987|3#1987	1202#97800	1202#6844500
464	164	4	1#40224|2#6033|4#2011|3#2011	1202#98400	1202#6942300
465	165	4	1#40704|2#6105|4#2035|3#2035	1202#99000	1202#7040700
466	166	4	1#41184|2#6177|4#2059|3#2059	1202#99600	1202#7139700
467	167	4	1#41664|2#6249|4#2083|3#2083	1202#100200	1202#7239300
468	168	4	1#42144|2#6321|4#2107|3#2107	1202#100800	1202#7339500
469	169	4	1#42624|2#6393|4#2131|3#2131	1202#101400	1202#7440300
470	170	4	1#43104|2#6465|4#2155|3#2155	1202#102000	1202#7541700
471	171	4	1#43584|2#6537|4#2179|3#2179	1202#102600	1202#7643700
472	172	4	1#44064|2#6609|4#2203|3#2203	1202#103200	1202#7746300
473	173	4	1#44544|2#6681|4#2227|3#2227	1202#103800	1202#7849500
474	174	4	1#45024|2#6753|4#2251|3#2251	1202#104400	1202#7953300
475	175	4	1#45504|2#6825|4#2275|3#2275	1202#105000	1202#8057700
476	176	4	1#45984|2#6897|4#2299|3#2299	1202#105600	1202#8162700
477	177	4	1#46464|2#6969|4#2323|3#2323	1202#106200	1202#8268300
478	178	4	1#46944|2#7041|4#2347|3#2347	1202#106800	1202#8374500
479	179	4	1#47424|2#7113|4#2371|3#2371	1202#107400	1202#8481300
480	180	4	1#47904|2#7185|4#2395|3#2395	1202#108000	1202#8588700
481	181	4	1#48384|2#7257|4#2419|3#2419	1202#108600	1202#8696700
482	182	4	1#48864|2#7329|4#2443|3#2443	1202#109200	1202#8805300
483	183	4	1#49344|2#7401|4#2467|3#2467	1202#109800	1202#8914500
484	184	4	1#49824|2#7473|4#2491|3#2491	1202#110400	1202#9024300
485	185	4	1#50304|2#7545|4#2515|3#2515	1202#111000	1202#9134700
486	186	4	1#50784|2#7617|4#2539|3#2539	1202#111600	1202#9245700
487	187	4	1#51264|2#7689|4#2563|3#2563	1202#112200	1202#9357300
488	188	4	1#51744|2#7761|4#2587|3#2587	1202#112800	1202#9469500
489	189	4	1#52224|2#7833|4#2611|3#2611	1202#113400	1202#9582300
490	190	4	1#52704|2#7905|4#2635|3#2635	1202#114000	1202#9695700
491	191	4	1#53184|2#7977|4#2659|3#2659	1202#114600	1202#9809700
492	192	4	1#53664|2#8049|4#2683|3#2683	1202#115200	1202#9924300
493	193	4	1#54144|2#8121|4#2707|3#2707	1202#115800	1202#10039500
494	194	4	1#54624|2#8193|4#2731|3#2731	1202#116400	1202#10155300
495	195	4	1#55104|2#8265|4#2755|3#2755	1202#117000	1202#10271700
496	196	4	1#55584|2#8337|4#2779|3#2779	1202#117600	1202#10388700
497	197	4	1#56064|2#8409|4#2803|3#2803	1202#118200	1202#10506300
498	198	4	1#56544|2#8481|4#2827|3#2827	1202#118800	1202#10624500
499	199	4	1#57024|2#8553|4#2851|3#2851	1202#119400	1202#10743300
500	200	4	1#57504|2#8625|4#2875|3#2875	1202#120000	1202#10862700
501	201	4	1#58080|2#8712|4#2904|3#2904	1202#120600	1202#10982700
502	202	4	1#58656|2#8798|4#2932|3#2932	1202#121200	1202#11103300
503	203	4	1#59232|2#8884|4#2961|3#2961	1202#121800	1202#11224500
504	204	4	1#59808|2#8971|4#2990|3#2990	1202#122400	1202#11346300
505	205	4	1#60384|2#9057|4#3019|3#3019	1202#123000	1202#11468700
506	206	4	1#60960|2#9144|4#3048|3#3048	1202#123600	1202#11591700
507	207	4	1#61536|2#9230|4#3076|3#3076	1202#124200	1202#11715300
508	208	4	1#62112|2#9316|4#3105|3#3105	1202#124800	1202#11839500
509	209	4	1#62688|2#9403|4#3134|3#3134	1202#125400	1202#11964300
510	210	4	1#63264|2#9489|4#3163|3#3163	1202#126000	1202#12089700
511	211	4	1#63840|2#9576|4#3192|3#3192	1202#126600	1202#12215700
512	212	4	1#64416|2#9662|4#3220|3#3220	1202#127200	1202#12342300
513	213	4	1#64992|2#9748|4#3249|3#3249	1202#127800	1202#12469500
514	214	4	1#65568|2#9835|4#3278|3#3278	1202#128400	1202#12597300
515	215	4	1#66144|2#9921|4#3307|3#3307	1202#129000	1202#12725700
516	216	4	1#66720|2#10008|4#3336|3#3336	1202#129600	1202#12854700
517	217	4	1#67296|2#10094|4#3364|3#3364	1202#130200	1202#12984300
518	218	4	1#67872|2#10180|4#3393|3#3393	1202#130800	1202#13114500
519	219	4	1#68448|2#10267|4#3422|3#3422	1202#131400	1202#13245300
520	220	4	1#69024|2#10353|4#3451|3#3451	1202#132000	1202#13376700
521	221	4	1#69600|2#10440|4#3480|3#3480	1202#132600	1202#13508700
522	222	4	1#70176|2#10526|4#3508|3#3508	1202#133200	1202#13641300
523	223	4	1#70752|2#10612|4#3537|3#3537	1202#133800	1202#13774500
524	224	4	1#71328|2#10699|4#3566|3#3566	1202#134400	1202#13908300
525	225	4	1#71904|2#10785|4#3595|3#3595	1202#135000	1202#14042700
526	226	4	1#72480|2#10872|4#3624|3#3624	1202#135600	1202#14177700
527	227	4	1#73056|2#10958|4#3652|3#3652	1202#136200	1202#14313300
528	228	4	1#73632|2#11044|4#3681|3#3681	1202#136800	1202#14449500
529	229	4	1#74208|2#11131|4#3710|3#3710	1202#137400	1202#14586300
530	230	4	1#74784|2#11217|4#3739|3#3739	1202#138000	1202#14723700
531	231	4	1#75360|2#11304|4#3768|3#3768	1202#138600	1202#14861700
532	232	4	1#75936|2#11390|4#3796|3#3796	1202#139200	1202#15000300
533	233	4	1#76512|2#11476|4#3825|3#3825	1202#139800	1202#15139500
534	234	4	1#77088|2#11563|4#3854|3#3854	1202#140400	1202#15279300
535	235	4	1#77664|2#11649|4#3883|3#3883	1202#141000	1202#15419700
536	236	4	1#78240|2#11736|4#3912|3#3912	1202#141600	1202#15560700
537	237	4	1#78816|2#11822|4#3940|3#3940	1202#142200	1202#15702300
538	238	4	1#79392|2#11908|4#3969|3#3969	1202#142800	1202#15844500
539	239	4	1#79968|2#11995|4#3998|3#3998	1202#143400	1202#15987300
540	240	4	1#80544|2#12081|4#4027|3#4027	1202#144000	1202#16130700
541	241	4	1#81216|2#12182|4#4060|3#4060	1202#144600	1202#16274700
542	242	4	1#81888|2#12283|4#4094|3#4094	1202#145200	1202#16419300
543	243	4	1#82560|2#12384|4#4128|3#4128	1202#145800	1202#16564500
544	244	4	1#83232|2#12484|4#4161|3#4161	1202#146400	1202#16710300
545	245	4	1#83904|2#12585|4#4195|3#4195	1202#147000	1202#16856700
546	246	4	1#84576|2#12686|4#4228|3#4228	1202#147600	1202#17003700
547	247	4	1#85248|2#12787|4#4262|3#4262	1202#148200	1202#17151300
548	248	4	1#85920|2#12888|4#4296|3#4296	1202#148800	1202#17299500
549	249	4	1#86592|2#12988|4#4329|3#4329	1202#149400	1202#17448300
550	250	4	1#87264|2#13089|4#4363|3#4363	1202#150000	1202#17597700
551	251	4	1#87936|2#13190|4#4396|3#4396	1202#150600	1202#17747700
552	252	4	1#88608|2#13291|4#4430|3#4430	1202#151200	1202#17898300
553	253	4	1#89280|2#13392|4#4464|3#4464	1202#151800	1202#18049500
554	254	4	1#89952|2#13492|4#4497|3#4497	1202#152400	1202#18201300
555	255	4	1#90624|2#13593|4#4531|3#4531	1202#153000	1202#18353700
556	256	4	1#91296|2#13694|4#4564|3#4564	1202#153600	1202#18506700
557	257	4	1#91968|2#13795|4#4598|3#4598	1202#154200	1202#18660300
558	258	4	1#92640|2#13896|4#4632|3#4632	1202#154800	1202#18814500
559	259	4	1#93312|2#13996|4#4665|3#4665	1202#155400	1202#18969300
560	260	4	1#93984|2#14097|4#4699|3#4699	1202#156000	1202#19124700
561	261	4	1#94656|2#14198|4#4732|3#4732	1202#156600	1202#19280700
562	262	4	1#95328|2#14299|4#4766|3#4766	1202#157200	1202#19437300
563	263	4	1#96000|2#14400|4#4800|3#4800	1202#157800	1202#19594500
564	264	4	1#96672|2#14500|4#4833|3#4833	1202#158400	1202#19752300
565	265	4	1#97344|2#14601|4#4867|3#4867	1202#159000	1202#19910700
566	266	4	1#98016|2#14702|4#4900|3#4900	1202#159600	1202#20069700
567	267	4	1#98688|2#14803|4#4934|3#4934	1202#160200	1202#20229300
568	268	4	1#99360|2#14904|4#4968|3#4968	1202#160800	1202#20389500
569	269	4	1#100032|2#15004|4#5001|3#5001	1202#161400	1202#20550300
570	270	4	1#100704|2#15105|4#5035|3#5035	1202#162000	1202#20711700
571	271	4	1#101376|2#15206|4#5068|3#5068	1202#162600	1202#20873700
572	272	4	1#102048|2#15307|4#5102|3#5102	1202#163200	1202#21036300
573	273	4	1#102720|2#15408|4#5136|3#5136	1202#163800	1202#21199500
574	274	4	1#103392|2#15508|4#5169|3#5169	1202#164400	1202#21363300
575	275	4	1#104064|2#15609|4#5203|3#5203	1202#165000	1202#21527700
576	276	4	1#104736|2#15710|4#5236|3#5236	1202#165600	1202#21692700
577	277	4	1#105408|2#15811|4#5270|3#5270	1202#166200	1202#21858300
578	278	4	1#106080|2#15912|4#5304|3#5304	1202#166800	1202#22024500
579	279	4	1#106752|2#16012|4#5337|3#5337	1202#167400	1202#22191300
580	280	4	1#107424|2#16113|4#5371|3#5371	1202#168000	1202#22358700
581	281	4	1#108192|2#16228|4#5409|3#5409	1202#168600	1202#22526700
582	282	4	1#108960|2#16344|4#5448|3#5448	1202#169200	1202#22695300
583	283	4	1#109728|2#16459|4#5486|3#5486	1202#169800	1202#22864500
584	284	4	1#110496|2#16574|4#5524|3#5524	1202#170400	1202#23034300
585	285	4	1#111264|2#16689|4#5563|3#5563	1202#171000	1202#23204700
586	286	4	1#112032|2#16804|4#5601|3#5601	1202#171600	1202#23375700
587	287	4	1#112800|2#16920|4#5640|3#5640	1202#172200	1202#23547300
588	288	4	1#113568|2#17035|4#5678|3#5678	1202#172800	1202#23719500
589	289	4	1#114336|2#17150|4#5716|3#5716	1202#173400	1202#23892300
590	290	4	1#115104|2#17265|4#5755|3#5755	1202#174000	1202#24065700
591	291	4	1#115872|2#17380|4#5793|3#5793	1202#174600	1202#24239700
592	292	4	1#116640|2#17496|4#5832|3#5832	1202#175200	1202#24414300
593	293	4	1#117408|2#17611|4#5870|3#5870	1202#175800	1202#24589500
594	294	4	1#118176|2#17726|4#5908|3#5908	1202#176400	1202#24765300
595	295	4	1#118944|2#17841|4#5947|3#5947	1202#177000	1202#24941700
596	296	4	1#119712|2#17956|4#5985|3#5985	1202#177600	1202#25118700
597	297	4	1#120480|2#18072|4#6024|3#6024	1202#178200	1202#25296300
598	298	4	1#121248|2#18187|4#6062|3#6062	1202#178800	1202#25474500
599	299	4	1#122016|2#18302|4#6100|3#6100	1202#179400	1202#25653300
600	300	4	1#122784|2#18417|4#6139|3#6139	1202#180000	1202#25832700
601	1	5	1#0|2#0|4#0|3#0	1202#500	null
602	2	5	1#160|2#24|4#8|3#8	1202#1000	1202#500
603	3	5	1#320|2#48|4#16|3#16	1202#1500	1202#1500
604	4	5	1#480|2#72|4#24|3#24	1202#2000	1202#3000
605	5	5	1#640|2#96|4#32|3#32	1202#2500	1202#5000
606	6	5	1#800|2#120|4#40|3#40	1202#3000	1202#7500
607	7	5	1#960|2#144|4#48|3#48	1202#3500	1202#10500
608	8	5	1#1120|2#168|4#56|3#56	1202#4000	1202#14000
609	9	5	1#1280|2#192|4#64|3#64	1202#4500	1202#18000
610	10	5	1#1440|2#216|4#72|3#72	1202#5000	1202#22500
611	11	5	1#1600|2#240|4#80|3#80	1202#5500	1202#27500
612	12	5	1#1760|2#264|4#88|3#88	1202#6000	1202#33000
613	13	5	1#1920|2#288|4#96|3#96	1202#6500	1202#39000
614	14	5	1#2080|2#312|4#104|3#104	1202#7000	1202#45500
615	15	5	1#2240|2#336|4#112|3#112	1202#7500	1202#52500
616	16	5	1#2400|2#360|4#120|3#120	1202#8000	1202#60000
617	17	5	1#2560|2#384|4#128|3#128	1202#8500	1202#68000
618	18	5	1#2720|2#408|4#136|3#136	1202#9000	1202#76500
619	19	5	1#2880|2#432|4#144|3#144	1202#9500	1202#85500
620	20	5	1#3040|2#456|4#152|3#152	1202#10000	1202#95000
621	21	5	1#3200|2#480|4#160|3#160	1202#10500	1202#105000
622	22	5	1#3360|2#504|4#168|3#168	1202#11000	1202#115500
623	23	5	1#3520|2#528|4#176|3#176	1202#11500	1202#126500
624	24	5	1#3680|2#552|4#184|3#184	1202#12000	1202#138000
625	25	5	1#3840|2#576|4#192|3#192	1202#12500	1202#150000
626	26	5	1#4000|2#600|4#200|3#200	1202#13000	1202#162500
627	27	5	1#4160|2#624|4#208|3#208	1202#13500	1202#175500
628	28	5	1#4320|2#648|4#216|3#216	1202#14000	1202#189000
629	29	5	1#4480|2#672|4#224|3#224	1202#14500	1202#203000
630	30	5	1#4640|2#696|4#232|3#232	1202#15000	1202#217500
631	31	5	1#4800|2#720|4#240|3#240	1202#15200	1202#232500
632	32	5	1#4960|2#744|4#248|3#248	1202#15400	1202#247700
633	33	5	1#5120|2#768|4#256|3#256	1202#15600	1202#263100
634	34	5	1#5280|2#792|4#264|3#264	1202#15800	1202#278700
635	35	5	1#5440|2#816|4#272|3#272	1202#16000	1202#294500
636	36	5	1#5600|2#840|4#280|3#280	1202#16200	1202#310500
637	37	5	1#5760|2#864|4#288|3#288	1202#16400	1202#326700
638	38	5	1#5920|2#888|4#296|3#296	1202#16600	1202#343100
639	39	5	1#6080|2#912|4#304|3#304	1202#16800	1202#359700
640	40	5	1#6240|2#936|4#312|3#312	1202#17000	1202#376500
641	41	5	1#6560|2#984|4#328|3#328	1202#17200	1202#393500
642	42	5	1#6880|2#1032|4#344|3#344	1202#17400	1202#410700
643	43	5	1#7200|2#1080|4#360|3#360	1202#17600	1202#428100
644	44	5	1#7520|2#1128|4#376|3#376	1202#17800	1202#445700
645	45	5	1#7840|2#1176|4#392|3#392	1202#18000	1202#463500
646	46	5	1#8160|2#1224|4#408|3#408	1202#18200	1202#481500
647	47	5	1#8480|2#1272|4#424|3#424	1202#18400	1202#499700
648	48	5	1#8800|2#1320|4#440|3#440	1202#18600	1202#518100
649	49	5	1#9120|2#1368|4#456|3#456	1202#18800	1202#536700
650	50	5	1#9440|2#1416|4#472|3#472	1202#19000	1202#555500
651	51	5	1#9760|2#1464|4#488|3#488	1202#19200	1202#574500
652	52	5	1#10080|2#1512|4#504|3#504	1202#19400	1202#593700
653	53	5	1#10400|2#1560|4#520|3#520	1202#19600	1202#613100
654	54	5	1#10720|2#1608|4#536|3#536	1202#19800	1202#632700
655	55	5	1#11040|2#1656|4#552|3#552	1202#20000	1202#652500
656	56	5	1#11360|2#1704|4#568|3#568	1202#20200	1202#672500
657	57	5	1#11680|2#1752|4#584|3#584	1202#20400	1202#692700
658	58	5	1#12000|2#1800|4#600|3#600	1202#20600	1202#713100
659	59	5	1#12320|2#1848|4#616|3#616	1202#20800	1202#733700
660	60	5	1#12640|2#1896|4#632|3#632	1202#21000	1202#754500
661	61	5	1#12960|2#1944|4#648|3#648	1202#23000	1202#775500
662	62	5	1#13280|2#1992|4#664|3#664	1202#25000	1202#798500
663	63	5	1#13600|2#2040|4#680|3#680	1202#27000	1202#823500
664	64	5	1#13920|2#2088|4#696|3#696	1202#29000	1202#850500
665	65	5	1#14240|2#2136|4#712|3#712	1202#31000	1202#879500
666	66	5	1#14560|2#2184|4#728|3#728	1202#33000	1202#910500
667	67	5	1#14880|2#2232|4#744|3#744	1202#35000	1202#943500
668	68	5	1#15200|2#2280|4#760|3#760	1202#37000	1202#978500
669	69	5	1#15520|2#2328|4#776|3#776	1202#39000	1202#1015500
670	70	5	1#15840|2#2376|4#792|3#792	1202#41000	1202#1054500
671	71	5	1#16160|2#2424|4#808|3#808	1202#43000	1202#1095500
672	72	5	1#16480|2#2472|4#824|3#824	1202#45000	1202#1138500
673	73	5	1#16800|2#2520|4#840|3#840	1202#47000	1202#1183500
674	74	5	1#17120|2#2568|4#856|3#856	1202#49000	1202#1230500
675	75	5	1#17440|2#2616|4#872|3#872	1202#51000	1202#1279500
676	76	5	1#17760|2#2664|4#888|3#888	1202#53000	1202#1330500
677	77	5	1#18080|2#2712|4#904|3#904	1202#55000	1202#1383500
678	78	5	1#18400|2#2760|4#920|3#920	1202#57000	1202#1438500
679	79	5	1#18720|2#2808|4#936|3#936	1202#59000	1202#1495500
680	80	5	1#19040|2#2856|4#952|3#952	1202#61000	1202#1554500
681	81	5	1#19520|2#2928|4#976|3#976	1202#63000	1202#1615500
682	82	5	1#20000|2#3000|4#1000|3#1000	1202#65000	1202#1678500
683	83	5	1#20480|2#3072|4#1024|3#1024	1202#67000	1202#1743500
684	84	5	1#20960|2#3144|4#1048|3#1048	1202#69000	1202#1810500
685	85	5	1#21440|2#3216|4#1072|3#1072	1202#71000	1202#1879500
686	86	5	1#21920|2#3288|4#1096|3#1096	1202#73000	1202#1950500
687	87	5	1#22400|2#3360|4#1120|3#1120	1202#75000	1202#2023500
688	88	5	1#22880|2#3432|4#1144|3#1144	1202#77000	1202#2098500
689	89	5	1#23360|2#3504|4#1168|3#1168	1202#79000	1202#2175500
690	90	5	1#23840|2#3576|4#1192|3#1192	1202#81000	1202#2254500
691	91	5	1#24320|2#3648|4#1216|3#1216	1202#83000	1202#2335500
692	92	5	1#24800|2#3720|4#1240|3#1240	1202#85000	1202#2418500
693	93	5	1#25280|2#3792|4#1264|3#1264	1202#87000	1202#2503500
694	94	5	1#25760|2#3864|4#1288|3#1288	1202#89000	1202#2590500
695	95	5	1#26240|2#3936|4#1312|3#1312	1202#91000	1202#2679500
696	96	5	1#26720|2#4008|4#1336|3#1336	1202#93000	1202#2770500
697	97	5	1#27200|2#4080|4#1360|3#1360	1202#95000	1202#2863500
698	98	5	1#27680|2#4152|4#1384|3#1384	1202#97000	1202#2958500
699	99	5	1#28160|2#4224|4#1408|3#1408	1202#99000	1202#3055500
700	100	5	1#28640|2#4296|4#1432|3#1432	1202#100000	1202#3154500
701	101	5	1#29120|2#4368|4#1456|3#1456	1202#101000	1202#3254500
702	102	5	1#29600|2#4440|4#1480|3#1480	1202#102000	1202#3355500
703	103	5	1#30080|2#4512|4#1504|3#1504	1202#103000	1202#3457500
704	104	5	1#30560|2#4584|4#1528|3#1528	1202#104000	1202#3560500
705	105	5	1#31040|2#4656|4#1552|3#1552	1202#105000	1202#3664500
706	106	5	1#31520|2#4728|4#1576|3#1576	1202#106000	1202#3769500
707	107	5	1#32000|2#4800|4#1600|3#1600	1202#107000	1202#3875500
708	108	5	1#32480|2#4872|4#1624|3#1624	1202#108000	1202#3982500
709	109	5	1#32960|2#4944|4#1648|3#1648	1202#109000	1202#4090500
710	110	5	1#33440|2#5016|4#1672|3#1672	1202#110000	1202#4199500
711	111	5	1#33920|2#5088|4#1696|3#1696	1202#111000	1202#4309500
712	112	5	1#34400|2#5160|4#1720|3#1720	1202#112000	1202#4420500
713	113	5	1#34880|2#5232|4#1744|3#1744	1202#113000	1202#4532500
714	114	5	1#35360|2#5304|4#1768|3#1768	1202#114000	1202#4645500
715	115	5	1#35840|2#5376|4#1792|3#1792	1202#115000	1202#4759500
716	116	5	1#36320|2#5448|4#1816|3#1816	1202#116000	1202#4874500
717	117	5	1#36800|2#5520|4#1840|3#1840	1202#117000	1202#4990500
718	118	5	1#37280|2#5592|4#1864|3#1864	1202#118000	1202#5107500
719	119	5	1#37760|2#5664|4#1888|3#1888	1202#119000	1202#5225500
720	120	5	1#38240|2#5736|4#1912|3#1912	1202#120000	1202#5344500
721	121	5	1#38880|2#5832|4#1944|3#1944	1202#121000	1202#5464500
722	122	5	1#39520|2#5928|4#1976|3#1976	1202#122000	1202#5585500
723	123	5	1#40160|2#6024|4#2008|3#2008	1202#123000	1202#5707500
724	124	5	1#40800|2#6120|4#2040|3#2040	1202#124000	1202#5830500
725	125	5	1#41440|2#6216|4#2072|3#2072	1202#125000	1202#5954500
726	126	5	1#42080|2#6312|4#2104|3#2104	1202#126000	1202#6079500
727	127	5	1#42720|2#6408|4#2136|3#2136	1202#127000	1202#6205500
728	128	5	1#43360|2#6504|4#2168|3#2168	1202#128000	1202#6332500
729	129	5	1#44000|2#6600|4#2200|3#2200	1202#129000	1202#6460500
730	130	5	1#44640|2#6696|4#2232|3#2232	1202#130000	1202#6589500
731	131	5	1#45280|2#6792|4#2264|3#2264	1202#131000	1202#6719500
732	132	5	1#45920|2#6888|4#2296|3#2296	1202#132000	1202#6850500
733	133	5	1#46560|2#6984|4#2328|3#2328	1202#133000	1202#6982500
734	134	5	1#47200|2#7080|4#2360|3#2360	1202#134000	1202#7115500
735	135	5	1#47840|2#7176|4#2392|3#2392	1202#135000	1202#7249500
736	136	5	1#48480|2#7272|4#2424|3#2424	1202#136000	1202#7384500
737	137	5	1#49120|2#7368|4#2456|3#2456	1202#137000	1202#7520500
738	138	5	1#49760|2#7464|4#2488|3#2488	1202#138000	1202#7657500
739	139	5	1#50400|2#7560|4#2520|3#2520	1202#139000	1202#7795500
740	140	5	1#51040|2#7656|4#2552|3#2552	1202#140000	1202#7934500
741	141	5	1#51680|2#7752|4#2584|3#2584	1202#141000	1202#8074500
742	142	5	1#52320|2#7848|4#2616|3#2616	1202#142000	1202#8215500
743	143	5	1#52960|2#7944|4#2648|3#2648	1202#143000	1202#8357500
