Id	Monster	Reward	BattleTime
640	810640	4#324|60155#1|60195#1|14#162000|3#64800	20
641	810641	4#325|14#162500|3#65000	20
642	810642	4#325|14#162500|3#65000	20
643	810643	4#326|14#163000|3#65200	20
644	810644	4#326|14#163000|3#65200	20
645	810645	4#327|14#163500|3#65400	20
646	810646	4#327|14#163500|3#65400	20
647	810647	4#328|14#164000|3#65600	20
648	810648	4#328|14#164000|3#65600	20
649	810649	4#329|14#164500|3#65800	20
650	810650	4#329|60180#1|60190#1|14#164500|3#65800	20
651	810651	4#330|14#165000|3#66000	20
652	810652	4#330|14#165000|3#66000	20
653	810653	4#331|14#165500|3#66200	20
654	810654	4#331|14#165500|3#66200	20
655	810655	4#332|14#166000|3#66400	20
656	810656	4#332|14#166000|3#66400	20
657	810657	4#333|14#166500|3#66600	20
658	810658	4#333|14#166500|3#66600	20
659	810659	4#334|14#167000|3#66800	20
660	810660	4#334|12013#50|14#167000|3#66800	20
661	810661	4#335|14#167500|3#67000	20
662	810662	4#335|14#167500|3#67000	20
663	810663	4#336|14#168000|3#67200	20
664	810664	4#336|14#168000|3#67200	20
665	810665	4#337|14#168500|3#67400	20
666	810666	4#337|14#168500|3#67400	20
667	810667	4#338|14#169000|3#67600	20
668	810668	4#338|14#169000|3#67600	20
669	810669	4#339|14#169500|3#67800	20
670	810670	4#339|60155#1|60195#1|14#169500|3#67800	20
671	810671	4#340|14#170000|3#68000	20
672	810672	4#340|14#170000|3#68000	20
673	810673	4#341|14#170500|3#68200	20
674	810674	4#341|14#170500|3#68200	20
675	810675	4#342|14#171000|3#68400	20
676	810676	4#342|14#171000|3#68400	20
677	810677	4#343|14#171500|3#68600	20
678	810678	4#343|14#171500|3#68600	20
679	810679	4#344|14#172000|3#68800	20
680	810680	4#344|60180#1|60190#1|14#172000|3#68800	20
681	810681	4#345|14#172500|3#69000	20
682	810682	4#345|14#172500|3#69000	20
683	810683	4#346|14#173000|3#69200	20
684	810684	4#346|14#173000|3#69200	20
685	810685	4#347|14#173500|3#69400	20
686	810686	4#347|14#173500|3#69400	20
687	810687	4#348|14#174000|3#69600	20
688	810688	4#348|14#174000|3#69600	20
689	810689	4#349|14#174500|3#69800	20
690	810690	4#349|12013#50|14#174500|3#69800	20
691	810691	4#350|14#175000|3#70000	20
692	810692	4#350|14#175000|3#70000	20
693	810693	4#351|14#175500|3#70200	20
694	810694	4#351|14#175500|3#70200	20
695	810695	4#352|14#176000|3#70400	20
696	810696	4#352|14#176000|3#70400	20
697	810697	4#353|14#176500|3#70600	20
698	810698	4#353|14#176500|3#70600	20
699	810699	4#354|14#177000|3#70800	20
700	810700	4#354|60155#1|60195#1|14#177000|3#70800	20
701	810701	4#355|14#177500|3#71000	20
702	810702	4#355|14#177500|3#71000	20
703	810703	4#356|14#178000|3#71200	20
704	810704	4#356|14#178000|3#71200	20
705	810705	4#357|14#178500|3#71400	20
706	810706	4#357|14#178500|3#71400	20
707	810707	4#358|14#179000|3#71600	20
708	810708	4#358|14#179000|3#71600	20
709	810709	4#359|14#179500|3#71800	20
710	810710	4#359|60180#1|60190#1|14#179500|3#71800	20
711	810711	4#360|14#180000|3#72000	20
712	810712	4#360|14#180000|3#72000	20
713	810713	4#361|14#180500|3#72200	20
714	810714	4#361|14#180500|3#72200	20
715	810715	4#362|14#181000|3#72400	20
716	810716	4#362|14#181000|3#72400	20
717	810717	4#363|14#181500|3#72600	20
718	810718	4#363|14#181500|3#72600	20
719	810719	4#364|14#182000|3#72800	20
720	810720	4#364|12013#50|14#182000|3#72800	20
721	810721	4#365|14#182500|3#73000	20
722	810722	4#365|14#182500|3#73000	20
723	810723	4#366|14#183000|3#73200	20
724	810724	4#366|14#183000|3#73200	20
725	810725	4#367|14#183500|3#73400	20
726	810726	4#367|14#183500|3#73400	20
727	810727	4#368|14#184000|3#73600	20
728	810728	4#368|14#184000|3#73600	20
729	810729	4#369|14#184500|3#73800	20
730	810730	4#369|60155#1|60195#1|14#184500|3#73800	20
731	810731	4#370|14#185000|3#74000	20
732	810732	4#370|14#185000|3#74000	20
733	810733	4#371|14#185500|3#74200	20
734	810734	4#371|14#185500|3#74200	20
735	810735	4#372|14#186000|3#74400	20
736	810736	4#372|14#186000|3#74400	20
737	810737	4#373|14#186500|3#74600	20
738	810738	4#373|14#186500|3#74600	20
739	810739	4#374|14#187000|3#74800	20
740	810740	4#374|60180#1|60190#1|14#187000|3#74800	20
741	810741	4#375|14#187500|3#75000	20
742	810742	4#375|14#187500|3#75000	20
743	810743	4#376|14#188000|3#75200	20
744	810744	4#376|14#188000|3#75200	20
745	810745	4#377|14#188500|3#75400	20
746	810746	4#377|14#188500|3#75400	20
747	810747	4#378|14#189000|3#75600	20
748	810748	4#378|14#189000|3#75600	20
749	810749	4#379|14#189500|3#75800	20
750	810750	4#379|12013#50|14#189500|3#75800	20
751	810751	4#380|14#190000|3#76000	20
752	810752	4#380|14#190000|3#76000	20
753	810753	4#381|14#190500|3#76200	20
754	810754	4#381|14#190500|3#76200	20
755	810755	4#382|14#191000|3#76400	20
756	810756	4#382|14#191000|3#76400	20
757	810757	4#383|14#191500|3#76600	20
758	810758	4#383|14#191500|3#76600	20
759	810759	4#384|14#192000|3#76800	20
760	810760	4#384|60155#1|60195#1|14#192000|3#76800	20
761	810761	4#385|14#192500|3#77000	20
762	810762	4#385|14#192500|3#77000	20
763	810763	4#386|14#193000|3#77200	20
764	810764	4#386|14#193000|3#77200	20
765	810765	4#387|14#193500|3#77400	20
766	810766	4#387|14#193500|3#77400	20
767	810767	4#388|14#194000|3#77600	20
768	810768	4#388|14#194000|3#77600	20
769	810769	4#389|14#194500|3#77800	20
770	810770	4#389|60180#1|60190#1|14#194500|3#77800	20
771	810771	4#390|14#195000|3#78000	20
772	810772	4#390|14#195000|3#78000	20
773	810773	4#391|14#195500|3#78200	20
774	810774	4#391|14#195500|3#78200	20
775	810775	4#392|14#196000|3#78400	20
776	810776	4#392|14#196000|3#78400	20
777	810777	4#393|14#196500|3#78600	20
778	810778	4#393|14#196500|3#78600	20
779	810779	4#394|14#197000|3#78800	20
780	810780	4#394|12013#50|14#197000|3#78800	20
781	810781	4#395|14#197500|3#79000	20
782	810782	4#395|14#197500|3#79000	20
783	810783	4#396|14#198000|3#79200	20
784	810784	4#396|14#198000|3#79200	20
785	810785	4#397|14#198500|3#79400	20
786	810786	4#397|14#198500|3#79400	20
787	810787	4#398|14#199000|3#79600	20
788	810788	4#398|14#199000|3#79600	20
789	810789	4#399|14#199500|3#79800	20
790	810790	4#399|60155#1|60195#1|14#199500|3#79800	20
791	810791	4#400|14#200000|3#80000	20
792	810792	4#400|14#200000|3#80000	20
793	810793	4#401|14#200500|3#80200	20
794	810794	4#401|14#200500|3#80200	20
795	810795	4#402|14#201000|3#80400	20
796	810796	4#402|14#201000|3#80400	20
797	810797	4#403|14#201500|3#80600	20
798	810798	4#403|14#201500|3#80600	20
799	810799	4#404|14#202000|3#80800	20
800	810800	4#404|60180#1|60190#1|14#202000|3#80800	20
