Id	Monster	BattleTime	FirstAwards	Awards	NextLevel
580	1000580	20	4#294	14#148000|3#59000	581
581	1000581	20	4#295	14#149000|3#60000	582
582	1000582	20	4#295	14#149000|3#60000	583
583	1000583	20	4#296	14#149000|3#60000	584
584	1000584	20	4#296	14#149000|3#60000	585
585	1000585	20	4#297	14#150000|3#60000	586
586	1000586	20	4#297	14#150000|3#60000	587
587	1000587	20	4#298	14#150000|3#60000	588
588	1000588	20	4#298	14#150000|3#60000	589
589	1000589	20	4#299	14#151000|3#60000	590
590	1000590	20	4#299	14#151000|3#60000	591
591	1000591	20	4#300	14#152000|3#61000	592
592	1000592	20	4#300	14#152000|3#61000	593
593	1000593	20	4#301	14#152000|3#61000	594
594	1000594	20	4#301	14#152000|3#61000	595
595	1000595	20	4#302	14#153000|3#61000	596
596	1000596	20	4#302	14#153000|3#61000	597
597	1000597	20	4#303	14#153000|3#61000	598
598	1000598	20	4#303	14#153000|3#61000	599
599	1000599	20	4#304	14#154000|3#61000	600
600	1000600	20	4#304	14#154000|3#61000	601
601	1000601	20	4#305	14#154000|3#62000	602
602	1000602	20	4#305	14#154000|3#62000	603
603	1000603	20	4#306	14#155000|3#62000	604
604	1000604	20	4#306	14#155000|3#62000	605
605	1000605	20	4#307	14#155000|3#62000	606
606	1000606	20	4#307	14#155000|3#62000	607
607	1000607	20	4#308	14#156000|3#62000	608
608	1000608	20	4#308	14#156000|3#62000	609
609	1000609	20	4#309	14#156000|3#62000	610
610	1000610	20	4#309	14#156000|3#62000	611
611	1000611	20	4#310	14#157000|3#63000	612
612	1000612	20	4#310	14#157000|3#63000	613
613	1000613	20	4#311	14#157000|3#63000	614
614	1000614	20	4#311	14#157000|3#63000	615
615	1000615	20	4#312	14#158000|3#63000	616
616	1000616	20	4#312	14#158000|3#63000	617
617	1000617	20	4#313	14#158000|3#63000	618
618	1000618	20	4#313	14#158000|3#63000	619
619	1000619	20	4#314	14#159000|3#63000	620
620	1000620	20	4#314	14#159000|3#63000	621
621	1000621	20	4#315	14#159000|3#64000	622
622	1000622	20	4#315	14#159000|3#64000	623
623	1000623	20	4#316	14#160000|3#64000	624
624	1000624	20	4#316	14#160000|3#64000	625
625	1000625	20	4#317	14#160000|3#64000	626
626	1000626	20	4#317	14#160000|3#64000	627
627	1000627	20	4#318	14#161000|3#64000	628
628	1000628	20	4#318	14#161000|3#64000	629
629	1000629	20	4#319	14#161000|3#64000	630
630	1000630	20	4#319	14#161000|3#64000	631
631	1000631	20	4#320	14#162000|3#65000	632
632	1000632	20	4#320	14#162000|3#65000	633
633	1000633	20	4#321	14#162000|3#65000	634
634	1000634	20	4#321	14#162000|3#65000	635
635	1000635	20	4#322	14#163000|3#65000	636
636	1000636	20	4#322	14#163000|3#65000	637
637	1000637	20	4#323	14#163000|3#65000	638
638	1000638	20	4#323	14#163000|3#65000	639
639	1000639	20	4#324	14#164000|3#65000	640
640	1000640	20	4#324	14#164000|3#65000	641
641	1000641	20	4#325	14#164000|3#66000	642
642	1000642	20	4#325	14#164000|3#66000	643
643	1000643	20	4#326	14#165000|3#66000	644
644	1000644	20	4#326	14#165000|3#66000	645
645	1000645	20	4#327	14#165000|3#66000	646
646	1000646	20	4#327	14#165000|3#66000	647
647	1000647	20	4#328	14#166000|3#66000	648
648	1000648	20	4#328	14#166000|3#66000	649
649	1000649	20	4#329	14#166000|3#66000	650
650	1000650	20	4#329	14#166000|3#66000	651
651	1000651	20	4#330	14#167000|3#67000	652
652	1000652	20	4#330	14#167000|3#67000	653
653	1000653	20	4#331	14#167000|3#67000	654
654	1000654	20	4#331	14#167000|3#67000	655
655	1000655	20	4#332	14#168000|3#67000	656
656	1000656	20	4#332	14#168000|3#67000	657
657	1000657	20	4#333	14#168000|3#67000	658
658	1000658	20	4#333	14#168000|3#67000	659
659	1000659	20	4#334	14#169000|3#67000	660
660	1000660	20	4#334	14#169000|3#67000	661
661	1000661	20	4#335	14#169000|3#68000	662
662	1000662	20	4#335	14#169000|3#68000	663
663	1000663	20	4#336	14#170000|3#68000	664
664	1000664	20	4#336	14#170000|3#68000	665
665	1000665	20	4#337	14#170000|3#68000	666
666	1000666	20	4#337	14#170000|3#68000	667
667	1000667	20	4#338	14#171000|3#68000	668
668	1000668	20	4#338	14#171000|3#68000	669
669	1000669	20	4#339	14#171000|3#68000	670
670	1000670	20	4#339	14#171000|3#68000	671
671	1000671	20	4#340	14#172000|3#69000	672
672	1000672	20	4#340	14#172000|3#69000	673
673	1000673	20	4#341	14#172000|3#69000	674
674	1000674	20	4#341	14#172000|3#69000	675
675	1000675	20	4#342	14#173000|3#69000	676
676	1000676	20	4#342	14#173000|3#69000	677
677	1000677	20	4#343	14#173000|3#69000	678
678	1000678	20	4#343	14#173000|3#69000	679
679	1000679	20	4#344	14#174000|3#69000	680
680	1000680	20	4#344	14#174000|3#69000	681
681	1000681	20	4#345	14#174000|3#70000	682
682	1000682	20	4#345	14#174000|3#70000	683
683	1000683	20	4#346	14#175000|3#70000	684
684	1000684	20	4#346	14#175000|3#70000	685
685	1000685	20	4#347	14#175000|3#70000	686
686	1000686	20	4#347	14#175000|3#70000	687
687	1000687	20	4#348	14#176000|3#70000	688
688	1000688	20	4#348	14#176000|3#70000	689
689	1000689	20	4#349	14#176000|3#70000	690
690	1000690	20	4#349	14#176000|3#70000	691
691	1000691	20	4#350	14#177000|3#71000	692
692	1000692	20	4#350	14#177000|3#71000	693
693	1000693	20	4#351	14#177000|3#71000	694
694	1000694	20	4#351	14#177000|3#71000	695
695	1000695	20	4#352	14#178000|3#71000	696
696	1000696	20	4#352	14#178000|3#71000	697
697	1000697	20	4#353	14#178000|3#71000	698
698	1000698	20	4#353	14#178000|3#71000	699
699	1000699	20	4#354	14#179000|3#72000	700
700	1000700	20	4#354	14#179000|3#72000	701
701	1000701	20	4#355	14#179000|3#72000	702
702	1000702	20	4#355	14#179000|3#72000	703
703	1000703	20	4#356	14#180000|3#72000	704
704	1000704	20	4#356	14#180000|3#72000	705
705	1000705	20	4#357	14#180000|3#72000	706
706	1000706	20	4#357	14#180000|3#72000	707
707	1000707	20	4#358	14#181000|3#72000	708
708	1000708	20	4#358	14#181000|3#72000	709
709	1000709	20	4#359	14#181000|3#73000	710
710	1000710	20	4#359	14#181000|3#73000	711
711	1000711	20	4#360	14#182000|3#73000	712
712	1000712	20	4#360	14#182000|3#73000	713
713	1000713	20	4#361	14#182000|3#73000	714
714	1000714	20	4#361	14#182000|3#73000	715
715	1000715	20	4#362	14#183000|3#73000	716
716	1000716	20	4#362	14#183000|3#73000	717
717	1000717	20	4#363	14#183000|3#73000	718
718	1000718	20	4#363	14#183000|3#73000	719
719	1000719	20	4#364	14#184000|3#74000	720
720	1000720	20	4#364	14#184000|3#74000	721
721	1000721	20	4#365	14#184000|3#74000	722
722	1000722	20	4#365	14#184000|3#74000	723
723	1000723	20	4#366	14#185000|3#74000	724
724	1000724	20	4#366	14#185000|3#74000	725
725	1000725	20	4#367	14#185000|3#74000	726
726	1000726	20	4#367	14#185000|3#74000	727
727	1000727	20	4#368	14#186000|3#74000	728
728	1000728	20	4#368	14#186000|3#74000	729
729	1000729	20	4#369	14#186000|3#75000	730
730	1000730	20	4#369	14#186000|3#75000	731
731	1000731	20	4#370	14#187000|3#75000	732
732	1000732	20	4#370	14#187000|3#75000	733
733	1000733	20	4#371	14#187000|3#75000	734
734	1000734	20	4#371	14#187000|3#75000	735
735	1000735	20	4#372	14#188000|3#75000	736
736	1000736	20	4#372	14#188000|3#75000	737
737	1000737	20	4#373	14#188000|3#75000	738
738	1000738	20	4#373	14#188000|3#75000	739
739	1000739	20	4#374	14#189000|3#76000	740
740	1000740	20	4#374	14#189000|3#76000	741
741	1000741	20	4#375	14#189000|3#76000	742
742	1000742	20	4#375	14#189000|3#76000	743
743	1000743	20	4#376	14#190000|3#76000	744
744	1000744	20	4#376	14#190000|3#76000	745
745	1000745	20	4#377	14#190000|3#76000	746
746	1000746	20	4#377	14#190000|3#76000	747
747	1000747	20	4#378	14#191000|3#76000	748
748	1000748	20	4#378	14#191000|3#76000	749
749	1000749	20	4#379	14#191000|3#77000	750
750	1000750	20	4#379	14#191000|3#77000	751
751	1000751	20	4#380	14#192000|3#77000	752
752	1000752	20	4#380	14#192000|3#77000	753
753	1000753	20	4#381	14#192000|3#77000	754
754	1000754	20	4#381	14#192000|3#77000	755
755	1000755	20	4#382	14#193000|3#77000	756
756	1000756	20	4#382	14#193000|3#77000	757
757	1000757	20	4#383	14#193000|3#77000	758
758	1000758	20	4#383	14#193000|3#77000	759
759	1000759	20	4#384	14#194000|3#78000	760
760	1000760	20	4#384	14#194000|3#78000	761
761	1000761	20	4#385	14#194000|3#78000	762
762	1000762	20	4#385	14#194000|3#78000	763
763	1000763	20	4#386	14#195000|3#78000	764
764	1000764	20	4#386	14#195000|3#78000	765
765	1000765	20	4#387	14#195000|3#78000	766
766	1000766	20	4#387	14#195000|3#78000	767
767	1000767	20	4#388	14#196000|3#78000	768
768	1000768	20	4#388	14#196000|3#78000	769
769	1000769	20	4#389	14#196000|3#79000	770
770	1000770	20	4#389	14#196000|3#79000	771
771	1000771	20	4#390	14#197000|3#79000	772
772	1000772	20	4#390	14#197000|3#79000	773
773	1000773	20	4#391	14#197000|3#79000	774
774	1000774	20	4#391	14#197000|3#79000	775
775	1000775	20	4#392	14#198000|3#79000	776
776	1000776	20	4#392	14#198000|3#79000	777
777	1000777	20	4#393	14#198000|3#79000	778
778	1000778	20	4#393	14#198000|3#79000	779
779	1000779	20	4#394	14#199000|3#80000	780
780	1000780	20	4#394	14#199000|3#80000	781
781	1000781	20	4#395	14#199000|3#80000	782
782	1000782	20	4#395	14#199000|3#80000	783
783	1000783	20	4#396	14#200000|3#80000	784
784	1000784	20	4#396	14#200000|3#80000	785
785	1000785	20	4#397	14#200000|3#80000	786
786	1000786	20	4#397	14#200000|3#80000	787
787	1000787	20	4#398	14#201000|3#80000	788
788	1000788	20	4#398	14#201000|3#80000	789
789	1000789	20	4#399	14#201000|3#81000	790
790	1000790	20	4#399	14#201000|3#81000	791
791	1000791	20	4#400	14#202000|3#81000	792
792	1000792	20	4#400	14#202000|3#81000	793
793	1000793	20	4#401	14#203000|3#81000	794
794	1000794	20	4#401	14#203000|3#81000	795
795	1000795	20	4#402	14#203000|3#81000	796
796	1000796	20	4#402	14#203000|3#81000	797
797	1000797	20	4#403	14#204000|3#81000	798
798	1000798	20	4#403	14#204000|3#81000	799
799	1000799	20	4#404	14#204000|3#82000	800
800	1000800	20	4#404	14#204000|3#82000	801
801	1000801	20	4#405	14#204000|3#82000	802
802	1000802	20	4#405	14#204000|3#82000	803
803	1000803	20	4#406	14#204000|3#82000	804
804	1000804	20	4#406	14#204000|3#82000	805
805	1000805	20	4#407	14#204000|3#82000	806
806	1000806	20	4#407	14#204000|3#82000	807
807	1000807	20	4#408	14#204000|3#82000	808
808	1000808	20	4#408	14#204000|3#82000	809
809	1000809	20	4#409	14#204000|3#82000	810
810	1000810	20	4#409	14#204000|3#82000	811
811	1000811	20	4#410	14#204000|3#82000	812
812	1000812	20	4#410	14#204000|3#82000	813
813	1000813	20	4#411	14#204000|3#82000	814
814	1000814	20	4#411	14#204000|3#82000	815
815	1000815	20	4#412	14#204000|3#82000	816
816	1000816	20	4#412	14#204000|3#82000	817
817	1000817	20	4#413	14#204000|3#82000	818
818	1000818	20	4#413	14#204000|3#82000	819
819	1000819	20	4#414	14#204000|3#82000	820
820	1000820	20	4#414	14#204000|3#82000	821
821	1000821	20	4#415	14#204000|3#82000	822
822	1000822	20	4#415	14#204000|3#82000	823
823	1000823	20	4#416	14#204000|3#82000	824
824	1000824	20	4#416	14#204000|3#82000	825
825	1000825	20	4#417	14#204000|3#82000	826
826	1000826	20	4#417	14#204000|3#82000	827
827	1000827	20	4#418	14#204000|3#82000	828
828	1000828	20	4#418	14#204000|3#82000	829
829	1000829	20	4#419	14#204000|3#82000	830
830	1000830	20	4#419	14#204000|3#82000	831
831	1000831	20	4#420	14#204000|3#82000	832
832	1000832	20	4#420	14#204000|3#82000	833
833	1000833	20	4#421	14#204000|3#82000	834
834	1000834	20	4#421	14#204000|3#82000	835
835	1000835	20	4#422	14#204000|3#82000	836
836	1000836	20	4#422	14#204000|3#82000	837
837	1000837	20	4#423	14#204000|3#82000	838
838	1000838	20	4#423	14#204000|3#82000	839
839	1000839	20	4#424	14#204000|3#82000	840
840	1000840	20	4#424	14#204000|3#82000	841
841	1000841	20	4#425	14#204000|3#82000	842
842	1000842	20	4#425	14#204000|3#82000	843
843	1000843	20	4#426	14#204000|3#82000	844
844	1000844	20	4#426	14#204000|3#82000	845
845	1000845	20	4#427	14#204000|3#82000	846
846	1000846	20	4#427	14#204000|3#82000	847
847	1000847	20	4#428	14#204000|3#82000	848
848	1000848	20	4#428	14#204000|3#82000	849
849	1000849	20	4#429	14#204000|3#82000	850
850	1000850	20	4#429	14#204000|3#82000	851
851	1000851	20	4#430	14#204000|3#82000	852
852	1000852	20	4#430	14#204000|3#82000	853
853	1000853	20	4#431	14#204000|3#82000	854
854	1000854	20	4#431	14#204000|3#82000	855
855	1000855	20	4#432	14#204000|3#82000	856
856	1000856	20	4#432	14#204000|3#82000	857
857	1000857	20	4#433	14#204000|3#82000	858
858	1000858	20	4#433	14#204000|3#82000	859
859	1000859	20	4#434	14#204000|3#82000	860
860	1000860	20	4#434	14#204000|3#82000	861
861	1000861	20	4#435	14#204000|3#82000	862
862	1000862	20	4#435	14#204000|3#82000	863
863	1000863	20	4#436	14#204000|3#82000	864
864	1000864	20	4#436	14#204000|3#82000	865
865	1000865	20	4#437	14#204000|3#82000	866
866	1000866	20	4#437	14#204000|3#82000	867
867	1000867	20	4#438	14#204000|3#82000	868
868	1000868	20	4#438	14#204000|3#82000	869
869	1000869	20	4#439	14#204000|3#82000	870
870	1000870	20	4#439	14#204000|3#82000	871
871	1000871	20	4#440	14#204000|3#82000	872
872	1000872	20	4#440	14#204000|3#82000	873
873	1000873	20	4#441	14#204000|3#82000	874
874	1000874	20	4#441	14#204000|3#82000	875
875	1000875	20	4#442	14#204000|3#82000	876
876	1000876	20	4#442	14#204000|3#82000	877
877	1000877	20	4#443	14#204000|3#82000	878
878	1000878	20	4#443	14#204000|3#82000	879
879	1000879	20	4#444	14#204000|3#82000	880
880	1000880	20	4#444	14#204000|3#82000	881
881	1000881	20	4#445	14#204000|3#82000	882
882	1000882	20	4#445	14#204000|3#82000	883
883	1000883	20	4#446	14#204000|3#82000	884
884	1000884	20	4#446	14#204000|3#82000	885
885	1000885	20	4#447	14#204000|3#82000	886
886	1000886	20	4#447	14#204000|3#82000	887
887	1000887	20	4#448	14#204000|3#82000	888
888	1000888	20	4#448	14#204000|3#82000	889
889	1000889	20	4#449	14#204000|3#82000	890
890	1000890	20	4#449	14#204000|3#82000	891
891	1000891	20	4#450	14#204000|3#82000	892
892	1000892	20	4#450	14#204000|3#82000	893
893	1000893	20	4#451	14#204000|3#82000	894
894	1000894	20	4#451	14#204000|3#82000	895
895	1000895	20	4#452	14#204000|3#82000	896
896	1000896	20	4#452	14#204000|3#82000	897
897	1000897	20	4#453	14#204000|3#82000	898
898	1000898	20	4#453	14#204000|3#82000	899
899	1000899	20	4#454	14#204000|3#82000	900
900	1000900	20	4#454	14#204000|3#82000	901
901	1000901	20	4#454	14#204000|3#82000	902
902	1000902	20	4#454	14#204000|3#82000	903
903	1000903	20	4#454	14#204000|3#82000	904
904	1000904	20	4#454	14#204000|3#82000	905
905	1000905	20	4#454	14#204000|3#82000	906
906	1000906	20	4#454	14#204000|3#82000	907
907	1000907	20	4#454	14#204000|3#82000	908
908	1000908	20	4#454	14#204000|3#82000	909
909	1000909	20	4#454	14#204000|3#82000	910
910	1000910	20	4#454	14#204000|3#82000	911
911	1000911	20	4#454	14#204000|3#82000	912
912	1000912	20	4#454	14#204000|3#82000	913
913	1000913	20	4#454	14#204000|3#82000	914
914	1000914	20	4#454	14#204000|3#82000	915
915	1000915	20	4#454	14#204000|3#82000	916
916	1000916	20	4#454	14#204000|3#82000	917
917	1000917	20	4#454	14#204000|3#82000	918
918	1000918	20	4#454	14#204000|3#82000	919
919	1000919	20	4#454	14#204000|3#82000	920
920	1000920	20	4#454	14#204000|3#82000	921
921	1000921	20	4#454	14#204000|3#82000	922
922	1000922	20	4#454	14#204000|3#82000	923
923	1000923	20	4#454	14#204000|3#82000	924
924	1000924	20	4#454	14#204000|3#82000	925
925	1000925	20	4#454	14#204000|3#82000	926
926	1000926	20	4#454	14#204000|3#82000	927
927	1000927	20	4#454	14#204000|3#82000	928
928	1000928	20	4#454	14#204000|3#82000	929
929	1000929	20	4#454	14#204000|3#82000	930
930	1000930	20	4#454	14#204000|3#82000	931
931	1000931	20	4#454	14#204000|3#82000	932
932	1000932	20	4#454	14#204000|3#82000	933
933	1000933	20	4#454	14#204000|3#82000	934
934	1000934	20	4#454	14#204000|3#82000	935
935	1000935	20	4#454	14#204000|3#82000	936
936	1000936	20	4#454	14#204000|3#82000	937
937	1000937	20	4#454	14#204000|3#82000	938
938	1000938	20	4#454	14#204000|3#82000	939
939	1000939	20	4#454	14#204000|3#82000	940
940	1000940	20	4#454	14#204000|3#82000	941
941	1000941	20	4#454	14#204000|3#82000	942
942	1000942	20	4#454	14#204000|3#82000	943
943	1000943	20	4#454	14#204000|3#82000	944
944	1000944	20	4#454	14#204000|3#82000	945
945	1000945	20	4#454	14#204000|3#82000	946
946	1000946	20	4#454	14#204000|3#82000	947
947	1000947	20	4#454	14#204000|3#82000	948
948	1000948	20	4#454	14#204000|3#82000	949
949	1000949	20	4#454	14#204000|3#82000	950
950	1000950	20	4#454	14#204000|3#82000	951
951	1000951	20	4#454	14#204000|3#82000	952
952	1000952	20	4#454	14#204000|3#82000	953
953	1000953	20	4#454	14#204000|3#82000	954
954	1000954	20	4#454	14#204000|3#82000	955
955	1000955	20	4#454	14#204000|3#82000	956
956	1000956	20	4#454	14#204000|3#82000	957
957	1000957	20	4#454	14#204000|3#82000	958
958	1000958	20	4#454	14#204000|3#82000	959
959	1000959	20	4#454	14#204000|3#82000	960
960	1000960	20	4#454	14#204000|3#82000	961
961	1000961	20	4#454	14#204000|3#82000	962
962	1000962	20	4#454	14#204000|3#82000	963
963	1000963	20	4#454	14#204000|3#82000	964
964	1000964	20	4#454	14#204000|3#82000	965
965	1000965	20	4#454	14#204000|3#82000	966
966	1000966	20	4#454	14#204000|3#82000	967
967	1000967	20	4#454	14#204000|3#82000	968
968	1000968	20	4#454	14#204000|3#82000	969
969	1000969	20	4#454	14#204000|3#82000	970
970	1000970	20	4#454	14#204000|3#82000	971
971	1000971	20	4#454	14#204000|3#82000	972
972	1000972	20	4#454	14#204000|3#82000	973
973	1000973	20	4#454	14#204000|3#82000	974
974	1000974	20	4#454	14#204000|3#82000	975
975	1000975	20	4#454	14#204000|3#82000	976
976	1000976	20	4#454	14#204000|3#82000	977
977	1000977	20	4#454	14#204000|3#82000	978
978	1000978	20	4#454	14#204000|3#82000	979
979	1000979	20	4#454	14#204000|3#82000	980
980	1000980	20	4#454	14#204000|3#82000	981
981	1000981	20	4#454	14#204000|3#82000	982
982	1000982	20	4#454	14#204000|3#82000	983
983	1000983	20	4#454	14#204000|3#82000	984
984	1000984	20	4#454	14#204000|3#82000	985
985	1000985	20	4#454	14#204000|3#82000	986
986	1000986	20	4#454	14#204000|3#82000	987
987	1000987	20	4#454	14#204000|3#82000	988
988	1000988	20	4#454	14#204000|3#82000	989
989	1000989	20	4#454	14#204000|3#82000	990
990	1000990	20	4#454	14#204000|3#82000	991
991	1000991	20	4#454	14#204000|3#82000	992
992	1000992	20	4#454	14#204000|3#82000	993
993	1000993	20	4#454	14#204000|3#82000	994
994	1000994	20	4#454	14#204000|3#82000	995
995	1000995	20	4#454	14#204000|3#82000	996
996	1000996	20	4#454	14#204000|3#82000	997
997	1000997	20	4#454	14#204000|3#82000	998
998	1000998	20	4#454	14#204000|3#82000	999
999	1000999	20	4#454	14#204000|3#82000	1000
1000	1001000	20	4#454	14#204000|3#82000	1001
1001	1001001	20	4#454	14#204000|3#82000	1002
1002	1001002	20	4#454	14#204000|3#82000	1003
1003	1001003	20	4#454	14#204000|3#82000	1004
1004	1001004	20	4#454	14#204000|3#82000	1005
1005	1001005	20	4#454	14#204000|3#82000	1006
1006	1001006	20	4#454	14#204000|3#82000	1007
1007	1001007	20	4#454	14#204000|3#82000	1008
1008	1001008	20	4#454	14#204000|3#82000	1009
1009	1001009	20	4#454	14#204000|3#82000	1010
1010	1001010	20	4#454	14#204000|3#82000	1011
1011	1001011	20	4#454	14#204000|3#82000	1012
1012	1001012	20	4#454	14#204000|3#82000	1013
1013	1001013	20	4#454	14#204000|3#82000	1014
1014	1001014	20	4#454	14#204000|3#82000	1015
1015	1001015	20	4#454	14#204000|3#82000	1016
1016	1001016	20	4#454	14#204000|3#82000	1017
1017	1001017	20	4#454	14#204000|3#82000	1018
1018	1001018	20	4#454	14#204000|3#82000	1019
1019	1001019	20	4#454	14#204000|3#82000	1020
1020	1001020	20	4#454	14#204000|3#82000	1021
1021	1001021	20	4#454	14#204000|3#82000	1022
1022	1001022	20	4#454	14#204000|3#82000	1023
1023	1001023	20	4#454	14#204000|3#82000	1024
1024	1001024	20	4#454	14#204000|3#82000	1025
1025	1001025	20	4#454	14#204000|3#82000	1026
1026	1001026	20	4#454	14#204000|3#82000	1027
1027	1001027	20	4#454	14#204000|3#82000	1028
1028	1001028	20	4#454	14#204000|3#82000	1029
1029	1001029	20	4#454	14#204000|3#82000	1030
1030	1001030	20	4#454	14#204000|3#82000	1031
1031	1001031	20	4#454	14#204000|3#82000	1032
1032	1001032	20	4#454	14#204000|3#82000	1033
1033	1001033	20	4#454	14#204000|3#82000	1034
1034	1001034	20	4#454	14#204000|3#82000	1035
1035	1001035	20	4#454	14#204000|3#82000	1036
1036	1001036	20	4#454	14#204000|3#82000	1037
1037	1001037	20	4#454	14#204000|3#82000	1038
1038	1001038	20	4#454	14#204000|3#82000	1039
1039	1001039	20	4#454	14#204000|3#82000	1040
1040	1001040	20	4#454	14#204000|3#82000	1041
1041	1001041	20	4#454	14#204000|3#82000	1042
1042	1001042	20	4#454	14#204000|3#82000	1043
1043	1001043	20	4#454	14#204000|3#82000	1044
1044	1001044	20	4#454	14#204000|3#82000	1045
1045	1001045	20	4#454	14#204000|3#82000	1046
1046	1001046	20	4#454	14#204000|3#82000	1047
1047	1001047	20	4#454	14#204000|3#82000	1048
1048	1001048	20	4#454	14#204000|3#82000	1049
1049	1001049	20	4#454	14#204000|3#82000	1050
1050	1001050	20	4#454	14#204000|3#82000	1051
1051	1001051	20	4#454	14#204000|3#82000	1052
1052	1001052	20	4#454	14#204000|3#82000	1053
1053	1001053	20	4#454	14#204000|3#82000	1054
1054	1001054	20	4#454	14#204000|3#82000	1055
1055	1001055	20	4#454	14#204000|3#82000	1056
1056	1001056	20	4#454	14#204000|3#82000	1057
1057	1001057	20	4#454	14#204000|3#82000	1058
1058	1001058	20	4#454	14#204000|3#82000	1059
1059	1001059	20	4#454	14#204000|3#82000	1060
1060	1001060	20	4#454	14#204000|3#82000	1061
1061	1001061	20	4#454	14#204000|3#82000	1062
1062	1001062	20	4#454	14#204000|3#82000	1063
1063	1001063	20	4#454	14#204000|3#82000	1064
1064	1001064	20	4#454	14#204000|3#82000	1065
1065	1001065	20	4#454	14#204000|3#82000	1066
1066	1001066	20	4#454	14#204000|3#82000	1067
1067	1001067	20	4#454	14#204000|3#82000	1068
1068	1001068	20	4#454	14#204000|3#82000	1069
1069	1001069	20	4#454	14#204000|3#82000	1070
1070	1001070	20	4#454	14#204000|3#82000	1071
1071	1001071	20	4#454	14#204000|3#82000	1072
1072	1001072	20	4#454	14#204000|3#82000	1073
1073	1001073	20	4#454	14#204000|3#82000	1074
1074	1001074	20	4#454	14#204000|3#82000	1075
1075	1001075	20	4#454	14#204000|3#82000	1076
1076	1001076	20	4#454	14#204000|3#82000	1077
1077	1001077	20	4#454	14#204000|3#82000	1078
1078	1001078	20	4#454	14#204000|3#82000	1079
1079	1001079	20	4#454	14#204000|3#82000	1080
1080	1001080	20	4#454	14#204000|3#82000	1081
1081	1001081	20	4#454	14#204000|3#82000	1082
1082	1001082	20	4#454	14#204000|3#82000	1083
1083	1001083	20	4#454	14#204000|3#82000	1084
1084	1001084	20	4#454	14#204000|3#82000	1085
1085	1001085	20	4#454	14#204000|3#82000	1086
1086	1001086	20	4#454	14#204000|3#82000	1087
1087	1001087	20	4#454	14#204000|3#82000	1088
1088	1001088	20	4#454	14#204000|3#82000	1089
1089	1001089	20	4#454	14#204000|3#82000	1090
1090	1001090	20	4#454	14#204000|3#82000	1091
1091	1001091	20	4#454	14#204000|3#82000	1092
1092	1001092	20	4#454	14#204000|3#82000	1093
1093	1001093	20	4#454	14#204000|3#82000	1094
1094	1001094	20	4#454	14#204000|3#82000	1095
1095	1001095	20	4#454	14#204000|3#82000	1096
1096	1001096	20	4#454	14#204000|3#82000	1097
1097	1001097	20	4#454	14#204000|3#82000	1098
1098	1001098	20	4#454	14#204000|3#82000	1099
1099	1001099	20	4#454	14#204000|3#82000	1100
1100	1001100	20	4#454	14#204000|3#82000	1101
1101	1001101	20	4#454	14#204000|3#82000	1102
1102	1001102	20	4#454	14#204000|3#82000	1103
1103	1001103	20	4#454	14#204000|3#82000	1104
1104	1001104	20	4#454	14#204000|3#82000	1105
1105	1001105	20	4#454	14#204000|3#82000	1106
1106	1001106	20	4#454	14#204000|3#82000	1107
1107	1001107	20	4#454	14#204000|3#82000	1108
1108	1001108	20	4#454	14#204000|3#82000	1109
1109	1001109	20	4#454	14#204000|3#82000	1110
1110	1001110	20	4#454	14#204000|3#82000	1111
1111	1001111	20	4#454	14#204000|3#82000	1112
1112	1001112	20	4#454	14#204000|3#82000	1113
1113	1001113	20	4#454	14#204000|3#82000	1114
1114	1001114	20	4#454	14#204000|3#82000	1115
1115	1001115	20	4#454	14#204000|3#82000	1116
1116	1001116	20	4#454	14#204000|3#82000	1117
1117	1001117	20	4#454	14#204000|3#82000	1118
1118	1001118	20	4#454	14#204000|3#82000	1119
1119	1001119	20	4#454	14#204000|3#82000	1120
1120	1001120	20	4#454	14#204000|3#82000	1121
1121	1001121	20	4#454	14#204000|3#82000	1122
1122	1001122	20	4#454	14#204000|3#82000	1123
1123	1001123	20	4#454	14#204000|3#82000	1124
1124	1001124	20	4#454	14#204000|3#82000	1125
1125	1001125	20	4#454	14#204000|3#82000	1126
1126	1001126	20	4#454	14#204000|3#82000	1127
1127	1001127	20	4#454	14#204000|3#82000	1128
1128	1001128	20	4#454	14#204000|3#82000	1129
1129	1001129	20	4#454	14#204000|3#82000	1130
1130	1001130	20	4#454	14#204000|3#82000	1131
1131	1001131	20	4#454	14#204000|3#82000	1132
1132	1001132	20	4#454	14#204000|3#82000	1133
1133	1001133	20	4#454	14#204000|3#82000	1134
1134	1001134	20	4#454	14#204000|3#82000	1135
1135	1001135	20	4#454	14#204000|3#82000	1136
1136	1001136	20	4#454	14#204000|3#82000	1137
1137	1001137	20	4#454	14#204000|3#82000	1138
1138	1001138	20	4#454	14#204000|3#82000	1139
1139	1001139	20	4#454	14#204000|3#82000	1140
1140	1001140	20	4#454	14#204000|3#82000	1141
1141	1001141	20	4#454	14#204000|3#82000	1142
1142	1001142	20	4#454	14#204000|3#82000	1143
1143	1001143	20	4#454	14#204000|3#82000	1144
1144	1001144	20	4#454	14#204000|3#82000	1145
1145	1001145	20	4#454	14#204000|3#82000	1146
1146	1001146	20	4#454	14#204000|3#82000	1147
1147	1001147	20	4#454	14#204000|3#82000	1148
1148	1001148	20	4#454	14#204000|3#82000	1149
