Id	Chapter	Section	BigStageNumber	Repeat	NextLevel	LevelLimit	Star	MonsterGroup	HardStageBuff	RecommendFightAbility	PassReward	StageType	ConditionValue	Reward1
1710	18	10	0	0	1717	82	0	0	0	0	305180	2	null	null
1711	18	11	176	1	1717	82	0	30180801	0	4090000	305181	1	533#304#45001700	306181#307181#308181
1712	18	12	0	0	1801	82	0	30180901	10006	4090000	305182	3	null	null
1713	18	13	177	1	1801	82	0	30181001	0	4105000	305183	1	204#605#701	306183#307183#308183
1714	18	14	0	0	1803	82	0	30181101	10011	4105000	305184	3	null	null
1715	18	15	178	1	1803	82	0	30181201	0	4120000	305185	1	204#303#603	306185#307185#308185
1716	18	16	0	0	1805	82	0	0	0	0	305186	2	null	null
1717	18	17	179	1	1805	82	0	30181301	0	4120000	305187	1	204#605#1101	306187#307187#308187
1718	18	18	0	0	1807	82	0	30181401	10006	4120000	305188	3	null	null
1719	18	19	180	1	1807	82	0	30181501	0	4150000	305189	1	204#45001500#605	306189#307189#308189
1801	19	1	181	1	1809	86	0	30190001	0	4120000	305171	1	100#203#304	306171#307171#308171
1802	19	2	0	0	1809	86	0	30190101	10011	4120000	305172	3	null	null
1803	19	3	182	1	1811	86	0	30190201	0	4135000	305173	1	204#45001900#605	306173#307173#308173
1804	19	4	0	0	1811	86	0	0	0	0	305174	2	null	null
1805	19	5	183	1	1813	86	0	30190301	0	4210000	305175	1	100#302#207	306175#307175#308175
1806	19	6	0	0	1813	86	0	30190401	10011	4210000	305176	3	null	null
1807	19	7	184	1	1815	86	0	30190501	0	4180000	305177	1	204#305#605	306177#307177#308177
1808	19	8	0	0	1815	86	0	30190601	10011	4180000	305178	3	null	null
1809	19	9	185	1	1817	86	0	30190701	0	4255000	305179	1	606#702#801	306179#307179#308179
1810	19	10	0	0	1817	86	0	0	0	0	305180	2	null	null
1811	19	11	186	1	1901	86	0	30190801	0	4240000	305181	1	543#304#45002000	306181#307181#308181
1812	19	12	0	0	1901	86	0	30190901	10006	4240000	305182	3	null	null
1813	19	13	187	1	1903	86	0	30191001	0	4255000	305183	1	204#605#701	306183#307183#308183
1814	19	14	0	0	1903	86	0	30191101	10011	4255000	305184	3	null	null
1815	19	15	188	1	1905	86	0	30191201	0	4270000	305185	1	204#303#603	306185#307185#308185
1816	19	16	0	0	1905	86	0	0	0	0	305186	2	null	null
1817	19	17	189	1	1907	86	0	30191301	0	4270000	305187	1	204#605#1101	306187#307187#308187
1818	19	18	0	0	1907	86	0	30191401	10006	4270000	305188	3	null	null
1819	19	19	190	1	1909	86	0	30191501	0	4300000	305189	1	204#45002500#605	306189#307189#308189
1901	20	1	191	1	1909	90	0	30200001	0	4120000	305171	1	100#203#304	306171#307171#308171
1902	20	2	0	0	1911	90	0	30200101	10011	4120000	305172	3	null	null
1903	20	3	192	1	1911	90	0	30200201	0	4210000	305173	1	204#45002200#605	306173#307173#308173
1904	20	4	0	0	1913	90	0	0	0	0	305174	2	null	null
1905	20	5	193	1	1913	90	0	30200301	0	4660000	305175	1	100#302#207	306175#307175#308175
1906	20	6	0	0	1915	90	0	30200401	10011	4660000	305176	3	null	null
1907	20	7	194	1	1915	90	0	30200501	0	4480000	305177	1	204#305#605	306177#307177#308177
1908	20	8	0	0	1917	90	0	30200601	10011	4480000	305178	3	null	null
1909	20	9	195	1	1917	90	0	30200701	0	4930000	305179	1	606#702#802	306179#307179#308179
1910	20	10	0	0	2001	90	0	0	0	0	305180	2	null	null
1911	20	11	196	1	2001	90	0	30200801	0	4840000	305181	1	523#45002200#304	306181#307181#308181
1912	20	12	0	0	2003	90	0	30200901	10006	4840000	305182	3	null	null
1913	20	13	197	1	2003	90	0	30201001	0	4930000	305183	1	204#605#701	306183#307183#308183
1914	20	14	0	0	2005	90	0	30201101	10011	4930000	305184	3	null	null
1915	20	15	198	1	2005	90	0	30201201	0	5020000	305185	1	204#303#603	306185#307185#308185
1916	20	16	0	0	2007	90	0	0	0	0	305186	2	null	null
1917	20	17	199	1	2007	90	0	30201301	0	5020000	305187	1	204#605#1101	306187#307187#308187
1918	20	18	0	0	2009	90	0	30201401	10006	5020000	305188	3	null	null
1919	20	19	200	1	2009	90	0	30201501	0	5200000	305189	1	204#45002900#605	306189#307189#308189
