Id	HeroId	Star	RankupReturn	ReturnHero	ReturnConsume
481	10063	5	14#370000|4#1850	10052#4|10093#4	16#50
482	10064	5	14#370000|4#1850	10052#4|10093#4	16#50
483	10065	5	14#370000|4#1850	10052#4|10093#4	16#50
484	10066	5	14#370000|4#1850	10052#4|10093#4	16#50
485	10067	5	14#370000|4#1850	10052#4|10093#4	16#50
486	10068	5	14#370000|4#1850	10052#4|10093#4	16#50
487	10069	5	14#370000|4#1850	10052#4|10093#4	16#50
488	10070	5	14#370000|4#1850	10052#4|10093#4	16#50
489	10071	5	14#370000|4#1850	10052#4|10093#4	16#50
490	10072	5	14#370000|4#1850	10052#4|10093#4	16#50
491	10073	5	14#370000|4#1850	10052#4|10093#4	16#50
492	10074	5	14#370000|4#1850	10052#4|10093#4	16#50
493	10075	5	14#370000|4#1850	10052#4|10093#4	16#50
494	10076	5	14#370000|4#1850	10052#4|10093#4	16#50
495	10079	5	14#370000|4#1850	10052#4|10093#4	16#50
496	10080	5	14#370000|4#1850	10052#4|10093#4	16#50
497	10081	5	14#370000|4#1850	10052#4|10093#4	16#50
498	10082	5	14#370000|4#1850	10052#4|10093#4	16#50
499	10085	5	14#370000|4#1850	10052#4|10093#4	16#50
500	10086	5	14#370000|4#1850	10052#4|10093#4	16#50
501	10087	5	14#370000|4#1850	10052#4|10093#4	16#50
502	10088	5	14#370000|4#1850	10052#4|10093#4	16#50
503	10089	5	14#370000|4#1850	10052#4|10093#4	16#50
504	10090	5	14#370000|4#1850	10052#4|10093#4	16#50
505	10001	6	4#3850|14#870000	10055#3|10001#3	16#50
506	10002	6	4#3850|14#870000	10054#3|10002#3	16#50
507	10003	6	4#3850|14#870000	10056#3|10003#3	16#50
508	10004	6	4#3850|14#870000	10054#3|10004#3	16#50
509	10005	6	4#3850|14#870000	10056#3|10005#3	16#50
510	10006	6	4#3850|14#870000	10053#3|10006#3	16#50
511	10007	6	4#3850|14#870000	10055#3|10007#3	16#50
512	10008	6	4#3850|14#870000	10054#3|10008#3	16#50
513	10009	6	4#3850|14#870000	10055#3|10009#3	16#50
514	10010	6	4#3850|14#870000	10055#3|10010#3	16#50
515	10011	6	4#3850|14#870000	10056#3|10011#3	16#50
516	10012	6	4#3850|14#870000	10053#3|10012#3	16#50
517	10013	6	4#3850|14#870000	10056#3|10013#3	16#50
518	10014	6	4#3850|14#870000	10058#3|10014#3	16#50
519	10015	6	4#3850|14#870000	10057#3|10015#3	16#50
520	10016	6	4#3850|14#870000	10053#3|10016#3	16#50
521	10017	6	4#3850|14#870000	10055#3|10017#3	16#50
522	10018	6	4#3850|14#870000	10056#3|10018#3	16#50
523	10019	6	4#3850|14#870000	10054#3|10019#3	16#50
524	10020	6	4#3850|14#870000	10053#3|10020#3	16#50
525	10021	6	4#3850|14#870000	10053#3|10020#3	16#50
526	10022	6	4#3850|14#870000	10053#3|10020#3	16#50
527	10023	6	4#3850|14#870000	10053#3|10020#3	16#50
528	10024	6	4#3850|14#870000	10053#3|10020#3	16#50
529	10025	6	4#3850|14#870000	10053#3|10020#3	16#50
530	10026	6	4#3850|14#870000	10053#3|10020#3	16#50
531	10027	6	4#3850|14#870000	10053#3|10020#3	16#50
532	10028	6	4#3850|14#870000	10053#3|10020#3	16#50
533	10029	6	4#3850|14#870000	10053#3|10020#3	16#50
534	10030	6	4#3850|14#870000	10053#3|10020#3	16#50
535	10031	6	4#3850|14#870000	10053#3|10020#3	16#50
536	10032	6	4#3850|14#870000	10053#3|10020#3	16#50
537	10033	6	4#3850|14#870000	10053#3|10020#3	16#50
538	10034	6	4#3850|14#870000	10053#3|10020#3	16#50
539	10035	6	4#3850|14#870000	10053#3|10020#3	16#50
540	10036	6	4#3850|14#870000	10053#3|10020#3	16#50
541	10037	6	4#3850|14#870000	10053#3|10020#3	16#50
542	10038	6	4#3850|14#870000	10053#3|10020#3	16#50
543	10039	6	4#3850|14#870000	10053#3|10020#3	16#50
544	10040	6	4#3850|14#870000	10053#3|10020#3	16#50
545	10041	6	4#3850|14#870000	10053#3|10020#3	16#50
546	10042	6	4#3850|14#870000	10053#3|10020#3	16#50
547	10043	6	4#3850|14#870000	10053#3|10020#3	16#50
548	10044	6	4#3850|14#870000	10053#3|10020#3	16#50
549	10045	6	4#3850|14#870000	10053#3|10020#3	16#50
550	10046	6	4#3850|14#870000	10053#3|10020#3	16#50
551	10047	6	4#3850|14#870000	10053#3|10020#3	16#50
552	10048	6	4#3850|14#870000	10053#3|10020#3	16#50
553	10049	6	4#3850|14#870000	10053#3|10020#3	16#50
554	10050	6	4#3850|14#870000	10053#3|10020#3	16#50
555	10051	6	4#3850|14#870000	10053#3|10020#3	16#50
556	10052	6	4#3850|14#870000	10053#3|10020#3	16#50
557	10053	6	4#3850|14#870000	10053#3|10020#3	16#50
558	10054	6	4#3850|14#870000	10053#3|10020#3	16#50
559	10057	6	4#3850|14#870000	10053#3|10020#3	16#50
560	10058	6	4#3850|14#870000	10053#3|10020#3	16#50
561	10059	6	4#3850|14#870000	10053#3|10020#3	16#50
562	10060	6	4#3850|14#870000	10053#3|10020#3	16#50
563	10061	6	4#3850|14#870000	10053#3|10020#3	16#50
564	10062	6	4#3850|14#870000	10053#3|10020#3	16#50
565	10063	6	4#3850|14#870000	10053#3|10020#3	16#50
566	10064	6	4#3850|14#870000	10053#3|10020#3	16#50
567	10065	6	4#3850|14#870000	10053#3|10020#3	16#50
568	10066	6	4#3850|14#870000	10053#3|10020#3	16#50
569	10067	6	4#3850|14#870000	10053#3|10020#3	16#50
570	10068	6	4#3850|14#870000	10053#3|10020#3	16#50
571	10069	6	4#3850|14#870000	10053#3|10020#3	16#50
572	10070	6	4#3850|14#870000	10053#3|10020#3	16#50
573	10071	6	4#3850|14#870000	10053#3|10020#3	16#50
574	10072	6	4#3850|14#870000	10053#3|10020#3	16#50
575	10073	6	4#3850|14#870000	10053#3|10020#3	16#50
576	10074	6	4#3850|14#870000	10053#3|10020#3	16#50
577	10075	6	4#3850|14#870000	10053#3|10020#3	16#50
578	10076	6	4#3850|14#870000	10053#3|10020#3	16#50
579	10079	6	4#3850|14#870000	10053#3|10020#3	16#50
580	10080	6	4#3850|14#870000	10053#3|10020#3	16#50
581	10081	6	4#3850|14#870000	10053#3|10020#3	16#50
582	10082	6	4#3850|14#870000	10053#3|10020#3	16#50
583	10085	6	4#3850|14#870000	10053#3|10020#3	16#50
584	10086	6	4#3850|14#870000	10053#3|10020#3	16#50
585	10087	6	4#3850|14#870000	10053#3|10020#3	16#50
586	10088	6	4#3850|14#870000	10053#3|10020#3	16#50
587	10089	6	4#3850|14#870000	10053#3|10020#3	16#50
588	10090	6	4#3850|14#870000	10053#3|10020#3	16#50
