Id	Monster	BattleTime	FirstAwards	Awards	StarCondition	NextLevel	Challenge
296	1100296	20	16#50|17013#15	17013#3|14#159000	7#0|2#5#1#3|3#6	297	0
297	1100297	20	16#50|17013#15	17013#3|14#159000	7#0|1#3#1#3|3#6	298	0
298	1100298	20	16#50|17013#15	17013#3|14#159500	7#0|1#1#1#3|3#6	299	0
299	1100299	20	16#50|17013#15	17013#3|14#159500	7#0|1#2#1#3|3#6	300	0
300	1100300	20	17014#5|17013#15	17013#3|14#159500	7#0|1#4#1#3|5#0	301	1
301	1100301	20	16#50|17013#15	17013#3|14#160000	7#0|2#1#1#3|3#6	302	0
302	1100302	20	16#50|17013#15	17013#3|14#160000	7#0|2#2#1#3|3#6	303	0
303	1100303	20	16#50|17013#15	17013#3|14#160000	7#0|2#3#1#3|3#6	304	0
304	1100304	20	16#50|17013#15	17013#3|14#160500	7#0|6#6|3#6	305	0
305	1100305	20	17014#5|17013#15	17013#3|14#160500	7#0|2#4#1#3|4#5000	306	1
306	1100306	20	16#50|17013#15	17013#3|14#160500	7#0|2#5#1#3|3#6	307	0
307	1100307	20	16#50|17013#15	17013#3|14#161000	7#0|1#3#1#3|3#6	308	0
308	1100308	20	16#50|17013#15	17013#3|14#161000	7#0|1#1#1#3|3#6	309	0
309	1100309	20	16#50|17013#15	17013#3|14#161000	7#0|1#2#1#3|3#6	310	0
310	1100310	20	17014#5|17013#15	17013#3|14#161500	7#0|1#4#1#3|5#0	311	1
311	1100311	20	16#50|17013#15	17013#3|14#161500	7#0|2#1#2#1|3#6	312	0
312	1100312	20	16#50|17013#15	17013#3|14#161500	7#0|2#2#2#1|3#6	313	0
313	1100313	20	16#50|17013#15	17013#3|14#162000	7#0|2#3#2#1|3#6	314	0
314	1100314	20	16#50|17013#15	17013#3|14#162000	7#0|6#1|3#6	315	0
315	1100315	20	17014#5|17013#15	17013#3|14#162000	7#0|2#4#2#1|4#5000	316	1
316	1100316	20	16#50|17013#15	17013#3|14#162500	7#0|2#5#2#1|3#6	317	0
317	1100317	20	16#50|17013#15	17013#3|14#162500	7#0|1#3#2#1|3#6	318	0
318	1100318	20	16#50|17013#15	17013#3|14#162500	7#0|1#1#2#1|3#6	319	0
319	1100319	20	16#50|17013#15	17013#3|14#163000	7#0|1#2#2#1|3#6	320	0
320	1100320	20	17014#5|17013#15	17013#3|14#163000	7#0|1#4#2#1|5#0	321	1
321	1100321	20	16#50|17013#15	17013#3|14#163000	7#0|2#1#1#3|3#6	322	0
322	1100322	20	16#50|17013#15	17013#3|14#163500	7#0|2#2#1#3|3#6	323	0
323	1100323	20	16#50|17013#15	17013#3|14#163500	7#0|2#3#1#3|3#6	324	0
324	1100324	20	16#50|17013#15	17013#3|14#163500	7#0|6#2|3#6	325	0
325	1100325	20	17014#5|17013#15	17013#3|14#164000	7#0|2#4#1#3|4#5000	326	1
326	1100326	20	16#50|17013#15	17013#3|14#164000	7#0|2#5#1#3|3#6	327	0
327	1100327	20	16#50|17013#15	17013#3|14#164000	7#0|1#3#1#3|3#6	328	0
328	1100328	20	16#50|17013#15	17013#3|14#164500	7#0|1#1#1#3|3#6	329	0
329	1100329	20	16#50|17013#15	17013#3|14#164500	7#0|1#2#1#3|3#6	330	0
330	1100330	20	17014#5|17013#15	17013#3|14#164500	7#0|1#4#1#3|5#0	331	1
331	1100331	20	16#50|17013#15	17013#3|14#165000	7#0|2#1#2#1|3#6	332	0
332	1100332	20	16#50|17013#15	17013#3|14#165000	7#0|2#2#2#1|3#6	333	0
333	1100333	20	16#50|17013#15	17013#3|14#165000	7#0|2#3#2#1|3#6	334	0
334	1100334	20	16#50|17013#15	17013#3|14#165500	7#0|6#3|3#6	335	0
335	1100335	20	17014#5|17013#15	17013#3|14#165500	7#0|2#4#2#1|4#5000	336	1
336	1100336	20	16#50|17013#15	17013#3|14#165500	7#0|2#5#2#1|3#6	337	0
337	1100337	20	16#50|17013#15	17013#3|14#166000	7#0|1#3#2#1|3#6	338	0
338	1100338	20	16#50|17013#15	17013#3|14#166000	7#0|1#1#2#1|3#6	339	0
339	1100339	20	16#50|17013#15	17013#3|14#166000	7#0|1#2#2#1|3#6	340	0
340	1100340	20	17014#5|17013#15	17013#3|14#166500	7#0|1#4#2#1|5#0	341	1
341	1100341	20	16#50|17013#15	17013#3|14#166500	7#0|2#1#1#3|3#6	342	0
342	1100342	20	16#50|17013#15	17013#3|14#166500	7#0|2#2#1#3|3#6	343	0
343	1100343	20	16#50|17013#15	17013#3|14#167000	7#0|2#3#1#3|3#6	344	0
344	1100344	20	16#50|17013#15	17013#3|14#167000	7#0|6#4|3#6	345	0
345	1100345	20	17014#5|17013#15	17013#3|14#167000	7#0|2#4#1#3|4#5000	346	1
346	1100346	20	16#50|17013#15	17013#3|14#167500	7#0|2#5#1#3|3#6	347	0
347	1100347	20	16#50|17013#15	17013#3|14#167500	7#0|1#3#1#3|3#6	348	0
348	1100348	20	16#50|17013#15	17013#3|14#167500	7#0|1#1#1#3|3#6	349	0
349	1100349	20	16#50|17013#15	17013#3|14#168000	7#0|1#2#1#3|3#6	350	0
350	1100350	20	17014#5|17013#15	17013#3|14#168000	7#0|1#4#1#3|5#0	351	1
351	1100351	20	16#50|17013#15	17013#3|14#168000	7#0|2#1#2#1|3#6	352	0
352	1100352	20	16#50|17013#15	17013#3|14#168500	7#0|2#2#2#1|3#6	353	0
353	1100353	20	16#50|17013#15	17013#3|14#168500	7#0|2#3#2#1|3#6	354	0
354	1100354	20	16#50|17013#15	17013#3|14#168500	7#0|6#5|3#6	355	0
355	1100355	20	17014#5|17013#15	17013#3|14#169000	7#0|2#4#2#1|4#5000	356	1
356	1100356	20	16#50|17013#15	17013#3|14#169000	7#0|2#5#2#1|3#6	357	0
357	1100357	20	16#50|17013#15	17013#3|14#169000	7#0|1#3#2#1|3#6	358	0
358	1100358	20	16#50|17013#15	17013#3|14#169500	7#0|1#1#2#1|3#6	359	0
359	1100359	20	16#50|17013#15	17013#3|14#169500	7#0|1#2#2#1|3#6	360	0
360	1100360	20	17014#5|17013#15	17013#3|14#169500	7#0|1#4#2#1|5#0	361	1
361	1100361	20	16#50|17013#15	17013#3|14#170000	7#0|2#1#1#3|3#6	362	0
362	1100362	20	16#50|17013#15	17013#3|14#170000	7#0|2#2#1#3|3#6	363	0
363	1100363	20	16#50|17013#15	17013#3|14#170000	7#0|2#3#1#3|3#6	364	0
364	1100364	20	16#50|17013#15	17013#3|14#170500	7#0|6#6|3#6	365	0
365	1100365	20	17014#5|17013#15	17013#3|14#170500	7#0|2#4#1#3|4#5000	366	1
366	1100366	20	16#50|17013#15	17013#3|14#170500	7#0|2#5#1#3|3#6	367	0
367	1100367	20	16#50|17013#15	17013#3|14#171000	7#0|1#3#1#3|3#6	368	0
368	1100368	20	16#50|17013#15	17013#3|14#171000	7#0|1#1#1#3|3#6	369	0
369	1100369	20	16#50|17013#15	17013#3|14#171000	7#0|1#2#1#3|3#6	370	0
370	1100370	20	17014#5|17013#15	17013#3|14#171500	7#0|1#4#1#3|5#0	371	1
371	1100371	20	16#50|17013#15	17013#3|14#171500	7#0|2#1#1#3|3#6	372	0
372	1100372	20	16#50|17013#15	17013#3|14#171500	7#0|2#2#1#3|3#6	373	0
373	1100373	20	16#50|17013#15	17013#3|14#172000	7#0|2#3#1#3|3#6	374	0
374	1100374	20	16#50|17013#15	17013#3|14#172000	7#0|6#4|3#6	375	0
375	1100375	20	17014#5|17013#15	17013#3|14#172000	7#0|2#4#1#3|4#5000	376	1
376	1100376	20	16#50|17013#15	17013#3|14#172500	7#0|2#5#1#3|3#6	377	0
377	1100377	20	16#50|17013#15	17013#3|14#172500	7#0|1#3#1#3|3#6	378	0
378	1100378	20	16#50|17013#15	17013#3|14#172500	7#0|1#1#1#3|3#6	379	0
379	1100379	20	16#50|17013#15	17013#3|14#173000	7#0|1#2#1#3|3#6	380	0
380	1100380	20	17014#5|17013#15	17013#3|14#173000	7#0|1#4#1#3|5#0	381	1
381	1100381	20	16#50|17013#15	17013#3|14#173000	7#0|2#1#2#1|3#6	382	0
382	1100382	20	16#50|17013#15	17013#3|14#173500	7#0|2#2#2#1|3#6	383	0
383	1100383	20	16#50|17013#15	17013#3|14#173500	7#0|2#3#2#1|3#6	384	0
384	1100384	20	16#50|17013#15	17013#3|14#173500	7#0|6#5|3#6	385	0
385	1100385	20	17014#5|17013#15	17013#3|14#174000	7#0|2#4#2#1|4#5000	386	1
386	1100386	20	16#50|17013#15	17013#3|14#174000	7#0|2#5#2#1|3#6	387	0
387	1100387	20	16#50|17013#15	17013#3|14#174000	7#0|1#3#2#1|3#6	388	0
388	1100388	20	16#50|17013#15	17013#3|14#174500	7#0|1#1#2#1|3#6	389	0
389	1100389	20	16#50|17013#15	17013#3|14#174500	7#0|1#2#2#1|3#6	390	0
390	1100390	20	17014#5|17013#15	17013#3|14#174500	7#0|1#4#2#1|5#0	391	1
391	1100391	20	16#50|17013#15	17013#3|14#175000	7#0|2#1#1#3|3#6	392	0
392	1100392	20	16#50|17013#15	17013#3|14#175000	7#0|2#2#1#3|3#6	393	0
393	1100393	20	16#50|17013#15	17013#3|14#175000	7#0|2#3#1#3|3#6	394	0
394	1100394	20	16#50|17013#15	17013#3|14#175500	7#0|6#6|3#6	395	0
395	1100395	20	17014#5|17013#15	17013#3|14#175500	7#0|2#4#1#3|4#5000	396	1
396	1100396	20	16#50|17013#15	17013#3|14#175500	7#0|2#5#1#3|3#6	397	0
397	1100397	20	16#50|17013#15	17013#3|14#176000	7#0|1#3#1#3|3#6	398	0
398	1100398	20	16#50|17013#15	17013#3|14#176000	7#0|1#1#1#3|3#6	399	0
399	1100399	20	16#50|17013#15	17013#3|14#176000	7#0|1#2#1#3|3#6	400	0
400	1100400	20	17014#5|17013#15	17013#3|14#176500	7#0|1#4#1#3|5#0	401	1
401	1100401	20	16#50|17013#15	17013#3|14#176500	7#0|2#1#1#3|3#6	402	0
402	1100402	20	16#50|17013#15	17013#3|14#176500	7#0|2#2#1#3|3#6	403	0
403	1100403	20	16#50|17013#15	17013#3|14#177000	7#0|2#3#1#3|3#6	404	0
404	1100404	20	16#50|17013#15	17013#3|14#177000	7#0|6#6|3#6	405	0
405	1100405	20	17014#5|17013#15	17013#3|14#177000	7#0|2#4#1#3|4#5000	406	1
406	1100406	20	16#50|17013#15	17013#3|14#177500	7#0|2#5#1#3|3#6	407	0
407	1100407	20	16#50|17013#15	17013#3|14#177500	7#0|1#3#1#3|3#6	408	0
408	1100408	20	16#50|17013#15	17013#3|14#177500	7#0|1#1#1#3|3#6	409	0
409	1100409	20	16#50|17013#15	17013#3|14#178000	7#0|1#2#1#3|3#6	410	0
410	1100410	20	17014#5|17013#15	17013#3|14#178000	7#0|1#4#1#3|5#0	411	1
411	1100411	20	16#50|17013#15	17013#3|14#178000	7#0|2#1#2#1|3#6	412	0
412	1100412	20	16#50|17013#15	17013#3|14#178500	7#0|2#2#2#1|3#6	413	0
413	1100413	20	16#50|17013#15	17013#3|14#178500	7#0|2#3#2#1|3#6	414	0
414	1100414	20	16#50|17013#15	17013#3|14#178500	7#0|6#1|3#6	415	0
415	1100415	20	17014#5|17013#15	17013#3|14#179000	7#0|2#4#2#1|4#5000	416	1
416	1100416	20	16#50|17013#15	17013#3|14#179000	7#0|2#5#2#1|3#6	417	0
417	1100417	20	16#50|17013#15	17013#3|14#179000	7#0|1#3#2#1|3#6	418	0
418	1100418	20	16#50|17013#15	17013#3|14#179500	7#0|1#1#2#1|3#6	419	0
419	1100419	20	16#50|17013#15	17013#3|14#179500	7#0|1#2#2#1|3#6	420	0
420	1100420	20	17014#5|17013#15	17013#3|14#179500	7#0|1#4#2#1|5#0	421	1
421	1100421	20	16#50|17013#15	17013#3|14#180000	7#0|2#1#1#3|3#6	422	0
422	1100422	20	16#50|17013#15	17013#3|14#180000	7#0|2#2#1#3|3#6	423	0
423	1100423	20	16#50|17013#15	17013#3|14#180000	7#0|2#3#1#3|3#6	424	0
424	1100424	20	16#50|17013#15	17013#3|14#180500	7#0|6#2|3#6	425	0
425	1100425	20	17014#5|17013#15	17013#3|14#180500	7#0|2#4#1#3|4#5000	426	1
426	1100426	20	16#50|17013#15	17013#3|14#180500	7#0|2#5#1#3|3#6	427	0
427	1100427	20	16#50|17013#15	17013#3|14#181000	7#0|1#3#1#3|3#6	428	0
428	1100428	20	16#50|17013#15	17013#3|14#181000	7#0|1#1#1#3|3#6	429	0
429	1100429	20	16#50|17013#15	17013#3|14#181000	7#0|1#2#1#3|3#6	430	0
430	1100430	20	17014#5|17013#15	17013#3|14#181500	7#0|1#4#1#3|5#0	431	1
431	1100431	20	16#50|17013#15	17013#3|14#181500	7#0|2#1#2#1|3#6	432	0
432	1100432	20	16#50|17013#15	17013#3|14#181500	7#0|2#2#2#1|3#6	433	0
433	1100433	20	16#50|17013#15	17013#3|14#182000	7#0|2#3#2#1|3#6	434	0
434	1100434	20	16#50|17013#15	17013#3|14#182000	7#0|6#3|3#6	435	0
435	1100435	20	17014#5|17013#15	17013#3|14#182000	7#0|2#4#2#1|4#5000	436	1
436	1100436	20	16#50|17013#15	17013#3|14#182500	7#0|2#5#2#1|3#6	437	0
437	1100437	20	16#50|17013#15	17013#3|14#182500	7#0|1#3#2#1|3#6	438	0
438	1100438	20	16#50|17013#15	17013#3|14#182500	7#0|1#1#2#1|3#6	439	0
439	1100439	20	16#50|17013#15	17013#3|14#183000	7#0|1#2#2#1|3#6	440	0
440	1100440	20	17014#5|17013#15	17013#3|14#183000	7#0|1#4#2#1|5#0	441	1
441	1100441	20	16#50|17013#15	17013#3|14#183000	7#0|2#1#1#3|3#6	442	0
442	1100442	20	16#50|17013#15	17013#3|14#183500	7#0|2#2#1#3|3#6	443	0
443	1100443	20	16#50|17013#15	17013#3|14#183500	7#0|2#3#1#3|3#6	444	0
444	1100444	20	16#50|17013#15	17013#3|14#183500	7#0|6#4|3#6	445	0
445	1100445	20	17014#5|17013#15	17013#3|14#184000	7#0|2#4#1#3|4#5000	446	1
446	1100446	20	16#50|17013#15	17013#3|14#184000	7#0|2#5#1#3|3#6	447	0
447	1100447	20	16#50|17013#15	17013#3|14#184000	7#0|1#3#1#3|3#6	448	0
448	1100448	20	16#50|17013#15	17013#3|14#184500	7#0|1#1#1#3|3#6	449	0
449	1100449	20	16#50|17013#15	17013#3|14#184500	7#0|1#2#1#3|3#6	450	0
450	1100450	20	17014#5|17013#15	17013#3|14#184500	7#0|1#4#1#3|5#0	451	1
451	1100451	20	16#50|17013#15	17013#3|14#185000	7#0|2#1#2#1|3#6	452	0
452	1100452	20	16#50|17013#15	17013#3|14#185000	7#0|2#2#2#1|3#6	453	0
453	1100453	20	16#50|17013#15	17013#3|14#185000	7#0|2#3#2#1|3#6	454	0
454	1100454	20	16#50|17013#15	17013#3|14#185500	7#0|6#5|3#6	455	0
455	1100455	20	17014#5|17013#15	17013#3|14#185500	7#0|2#4#2#1|4#5000	456	1
456	1100456	20	16#50|17013#15	17013#3|14#185500	7#0|2#5#2#1|3#6	457	0
457	1100457	20	16#50|17013#15	17013#3|14#186000	7#0|1#3#2#1|3#6	458	0
458	1100458	20	16#50|17013#15	17013#3|14#186000	7#0|1#1#2#1|3#6	459	0
459	1100459	20	16#50|17013#15	17013#3|14#186000	7#0|1#2#2#1|3#6	460	0
460	1100460	20	17014#5|17013#15	17013#3|14#186500	7#0|1#4#2#1|5#0	461	1
461	1100461	20	16#50|17013#15	17013#3|14#186500	7#0|2#1#1#3|3#6	462	0
462	1100462	20	16#50|17013#15	17013#3|14#186500	7#0|2#2#1#3|3#6	463	0
463	1100463	20	16#50|17013#15	17013#3|14#187000	7#0|2#3#1#3|3#6	464	0
464	1100464	20	16#50|17013#15	17013#3|14#187000	7#0|6#6|3#6	465	0
465	1100465	20	17014#5|17013#15	17013#3|14#187000	7#0|2#4#1#3|4#5000	466	1
466	1100466	20	16#50|17013#15	17013#3|14#187500	7#0|2#5#1#3|3#6	467	0
467	1100467	20	16#50|17013#15	17013#3|14#187500	7#0|1#3#1#3|3#6	468	0
468	1100468	20	16#50|17013#15	17013#3|14#187500	7#0|1#1#1#3|3#6	469	0
469	1100469	20	16#50|17013#15	17013#3|14#188000	7#0|1#2#1#3|3#6	470	0
470	1100470	20	17014#5|17013#15	17013#3|14#188000	7#0|1#4#1#3|5#0	471	1
471	1100471	20	16#50|17013#15	17013#3|14#188000	7#0|2#1#1#3|3#6	472	0
472	1100472	20	16#50|17013#15	17013#3|14#188500	7#0|2#2#1#3|3#6	473	0
473	1100473	20	16#50|17013#15	17013#3|14#188500	7#0|2#3#1#3|3#6	474	0
474	1100474	20	16#50|17013#15	17013#3|14#188500	7#0|6#4|3#6	475	0
475	1100475	20	17014#5|17013#15	17013#3|14#189000	7#0|2#4#1#3|4#5000	476	1
476	1100476	20	16#50|17013#15	17013#3|14#189000	7#0|2#5#1#3|3#6	477	0
477	1100477	20	16#50|17013#15	17013#3|14#189000	7#0|1#3#1#3|3#6	478	0
478	1100478	20	16#50|17013#15	17013#3|14#189500	7#0|1#1#1#3|3#6	479	0
479	1100479	20	16#50|17013#15	17013#3|14#189500	7#0|1#2#1#3|3#6	480	0
480	1100480	20	17014#5|17013#15	17013#3|14#189500	7#0|1#4#1#3|5#0	481	1
481	1100481	20	16#50|17013#15	17013#3|14#190000	7#0|2#1#2#1|3#6	482	0
482	1100482	20	16#50|17013#15	17013#3|14#190000	7#0|2#2#2#1|3#6	483	0
483	1100483	20	16#50|17013#15	17013#3|14#190000	7#0|2#3#2#1|3#6	484	0
484	1100484	20	16#50|17013#15	17013#3|14#190500	7#0|6#5|3#6	485	0
485	1100485	20	17014#5|17013#15	17013#3|14#190500	7#0|2#4#2#1|4#5000	486	1
486	1100486	20	16#50|17013#15	17013#3|14#190500	7#0|2#5#2#1|3#6	487	0
487	1100487	20	16#50|17013#15	17013#3|14#191000	7#0|1#3#2#1|3#6	488	0
488	1100488	20	16#50|17013#15	17013#3|14#191000	7#0|1#1#2#1|3#6	489	0
489	1100489	20	16#50|17013#15	17013#3|14#191000	7#0|1#2#2#1|3#6	490	0
490	1100490	20	17014#5|17013#15	17013#3|14#191500	7#0|1#4#2#1|5#0	491	1
491	1100491	20	16#50|17013#15	17013#3|14#191500	7#0|2#1#1#3|3#6	492	0
492	1100492	20	16#50|17013#15	17013#3|14#191500	7#0|2#2#1#3|3#6	493	0
493	1100493	20	16#50|17013#15	17013#3|14#192000	7#0|2#3#1#3|3#6	494	0
494	1100494	20	16#50|17013#15	17013#3|14#192000	7#0|6#6|3#6	495	0
495	1100495	20	17014#5|17013#15	17013#3|14#192000	7#0|2#4#1#3|4#5000	496	1
496	1100496	20	16#50|17013#15	17013#3|14#192500	7#0|2#5#1#3|3#6	497	0
497	1100497	20	16#50|17013#15	17013#3|14#192500	7#0|1#3#1#3|3#6	498	0
498	1100498	20	16#50|17013#15	17013#3|14#192500	7#0|1#1#1#3|3#6	499	0
499	1100499	20	16#50|17013#15	17013#3|14#193000	7#0|1#2#1#3|3#6	500	0
500	1100500	20	17014#5|17013#15	17013#3|14#193000	7#0|1#4#1#3|5#0	0	1
