Id	ComonpentsId	Stage	Cost	BaseAttribute	ExtraAdd
475	6024	15	6024#5|5#855	2#308|59#150|66#150	0#103#300
476	6024	16	6024#6|5#960	2#329|59#160|66#160	null
477	6024	17	6024#8|5#1075	2#350|59#170|66#170	null
478	6024	18	6024#10|5#1190	2#370|59#180|66#180	null
479	6024	19	6024#21|5#1315	2#391|59#190|66#190	null
480	6024	20	6024#30|5#1440	2#411|59#200|66#200	0#103#600
481	6025	1	6025#1|5#0	1#26|2#20|66#10	null
482	6025	2	6025#1|5#40	1#65|2#41|66#20	0#58#200
483	6025	3	6025#1|5#65	1#118|2#61|66#30	null
484	6025	4	6025#1|5#100	1#184|2#82|66#40	null
485	6025	5	6025#2|5#135	1#262|2#102|66#50	null
486	6025	6	6025#2|5#180	1#354|2#123|66#60	null
487	6025	7	6025#2|5#235	1#459|2#144|66#70	0#58#300
488	6025	8	6025#3|5#290	1#578|2#164|66#80	null
489	6025	9	6025#3|5#355	1#709|2#185|66#90	null
490	6025	10	6025#3|5#420	1#853|2#205|66#100	null
491	6025	11	6025#3|5#495	1#1011|2#226|66#110	null
492	6025	12	6025#3|5#580	1#1181|2#247|66#120	null
493	6025	13	6025#3|5#665	1#1365|2#267|66#130	null
494	6025	14	6025#4|5#760	1#1562|2#288|66#140	null
495	6025	15	6025#5|5#855	1#1772|2#308|66#150	0#58#400
496	6025	16	6025#6|5#960	1#1995|2#329|66#160	null
497	6025	17	6025#8|5#1075	1#2231|2#350|66#170	null
498	6025	18	6025#10|5#1190	1#2481|2#370|66#180	null
499	6025	19	6025#21|5#1315	1#2743|2#391|66#190	null
500	6025	20	6025#30|5#1440	1#3020|2#411|66#200	0#58#500
501	6026	1	6026#1|5#0	1#26|3#40|59#10	null
502	6026	2	6026#1|5#40	1#65|3#82|59#20	0#57#200
503	6026	3	6026#1|5#65	1#118|3#122|59#30	null
504	6026	4	6026#1|5#100	1#184|3#164|59#40	null
505	6026	5	6026#2|5#135	1#262|3#204|59#50	null
506	6026	6	6026#2|5#180	1#354|3#246|59#60	null
507	6026	7	6026#2|5#235	1#459|3#288|59#70	0#57#300
508	6026	8	6026#3|5#290	1#578|3#328|59#80	null
509	6026	9	6026#3|5#355	1#709|3#370|59#90	null
510	6026	10	6026#3|5#420	1#853|3#410|59#100	null
511	6026	11	6026#3|5#495	1#1011|3#452|59#110	null
512	6026	12	6026#3|5#580	1#1181|3#494|59#120	null
513	6026	13	6026#3|5#665	1#1365|3#534|59#130	null
514	6026	14	6026#4|5#760	1#1562|3#576|59#140	null
515	6026	15	6026#5|5#855	1#1772|3#616|59#150	0#57#400
516	6026	16	6026#6|5#960	1#1995|3#658|59#160	null
517	6026	17	6026#8|5#1075	1#2231|3#700|59#170	null
518	6026	18	6026#10|5#1190	1#2481|3#740|59#180	null
519	6026	19	6026#21|5#1315	1#2743|3#782|59#190	null
520	6026	20	6026#30|5#1440	1#3020|3#822|59#200	0#57#500
521	6027	1	6027#1|5#0	1#26|4#40|59#10	null
522	6027	2	6027#1|5#40	1#65|4#82|59#20	0#110#100
523	6027	3	6027#1|5#65	1#118|4#122|59#30	null
524	6027	4	6027#1|5#100	1#184|4#164|59#40	null
525	6027	5	6027#2|5#135	1#262|4#204|59#50	null
526	6027	6	6027#2|5#180	1#354|4#246|59#60	null
527	6027	7	6027#2|5#235	1#459|4#288|59#70	0#110#100
528	6027	8	6027#3|5#290	1#578|4#328|59#80	null
529	6027	9	6027#3|5#355	1#709|4#370|59#90	null
530	6027	10	6027#3|5#420	1#853|4#410|59#100	null
531	6027	11	6027#3|5#495	1#1011|4#452|59#110	null
532	6027	12	6027#3|5#580	1#1181|4#494|59#120	null
533	6027	13	6027#3|5#665	1#1365|4#534|59#130	null
534	6027	14	6027#4|5#760	1#1562|4#576|59#140	null
535	6027	15	6027#5|5#855	1#1772|4#616|59#150	0#110#200
536	6027	16	6027#6|5#960	1#1995|4#658|59#160	null
537	6027	17	6027#8|5#1075	1#2231|4#700|59#170	null
538	6027	18	6027#10|5#1190	1#2481|4#740|59#180	null
539	6027	19	6027#21|5#1315	1#2743|4#782|59#190	null
540	6027	20	6027#30|5#1440	1#3020|4#822|59#200	0#110#200
541	6028	1	6028#1|5#0	2#20|59#10|66#10	null
542	6028	2	6028#1|5#40	2#41|59#20|66#20	0#104#100
543	6028	3	6028#1|5#65	2#61|59#30|66#30	null
544	6028	4	6028#1|5#100	2#82|59#40|66#40	null
545	6028	5	6028#2|5#135	2#102|59#50|66#50	null
546	6028	6	6028#2|5#180	2#123|59#60|66#60	null
547	6028	7	6028#2|5#235	2#144|59#70|66#70	0#104#200
548	6028	8	6028#3|5#290	2#164|59#80|66#80	null
549	6028	9	6028#3|5#355	2#185|59#90|66#90	null
550	6028	10	6028#3|5#420	2#205|59#100|66#100	null
551	6028	11	6028#3|5#495	2#226|59#110|66#110	null
552	6028	12	6028#3|5#580	2#247|59#120|66#120	null
553	6028	13	6028#3|5#665	2#267|59#130|66#130	null
554	6028	14	6028#4|5#760	2#288|59#140|66#140	null
555	6028	15	6028#5|5#855	2#308|59#150|66#150	0#104#300
556	6028	16	6028#6|5#960	2#329|59#160|66#160	null
557	6028	17	6028#8|5#1075	2#350|59#170|66#170	null
558	6028	18	6028#10|5#1190	2#370|59#180|66#180	null
559	6028	19	6028#21|5#1315	2#391|59#190|66#190	null
560	6028	20	6028#30|5#1440	2#411|59#200|66#200	0#104#600
561	6029	1	6029#1|5#0	1#26|2#20|66#10	null
562	6029	2	6029#1|5#40	1#65|2#41|66#20	0#108#100
563	6029	3	6029#1|5#65	1#118|2#61|66#30	null
564	6029	4	6029#1|5#100	1#184|2#82|66#40	null
565	6029	5	6029#2|5#135	1#262|2#102|66#50	null
566	6029	6	6029#2|5#180	1#354|2#123|66#60	null
567	6029	7	6029#2|5#235	1#459|2#144|66#70	0#108#100
568	6029	8	6029#3|5#290	1#578|2#164|66#80	null
569	6029	9	6029#3|5#355	1#709|2#185|66#90	null
570	6029	10	6029#3|5#420	1#853|2#205|66#100	null
571	6029	11	6029#3|5#495	1#1011|2#226|66#110	null
572	6029	12	6029#3|5#580	1#1181|2#247|66#120	null
573	6029	13	6029#3|5#665	1#1365|2#267|66#130	null
574	6029	14	6029#4|5#760	1#1562|2#288|66#140	null
575	6029	15	6029#5|5#855	1#1772|2#308|66#150	0#108#200
576	6029	16	6029#6|5#960	1#1995|2#329|66#160	null
577	6029	17	6029#8|5#1075	1#2231|2#350|66#170	null
578	6029	18	6029#10|5#1190	1#2481|2#370|66#180	null
579	6029	19	6029#21|5#1315	1#2743|2#391|66#190	null
580	6029	20	6029#30|5#1440	1#3020|2#411|66#200	0#108#200
581	6030	1	6030#1|5#0	1#26|3#40|59#10	null
582	6030	2	6030#1|5#40	1#65|3#82|59#20	0#56#200
583	6030	3	6030#1|5#65	1#118|3#122|59#30	null
584	6030	4	6030#1|5#100	1#184|3#164|59#40	null
585	6030	5	6030#2|5#135	1#262|3#204|59#50	null
586	6030	6	6030#2|5#180	1#354|3#246|59#60	null
587	6030	7	6030#2|5#235	1#459|3#288|59#70	0#56#300
588	6030	8	6030#3|5#290	1#578|3#328|59#80	null
589	6030	9	6030#3|5#355	1#709|3#370|59#90	null
590	6030	10	6030#3|5#420	1#853|3#410|59#100	null
591	6030	11	6030#3|5#495	1#1011|3#452|59#110	null
592	6030	12	6030#3|5#580	1#1181|3#494|59#120	null
593	6030	13	6030#3|5#665	1#1365|3#534|59#130	null
594	6030	14	6030#4|5#760	1#1562|3#576|59#140	null
595	6030	15	6030#5|5#855	1#1772|3#616|59#150	0#56#400
596	6030	16	6030#6|5#960	1#1995|3#658|59#160	null
597	6030	17	6030#8|5#1075	1#2231|3#700|59#170	null
598	6030	18	6030#10|5#1190	1#2481|3#740|59#180	null
599	6030	19	6030#21|5#1315	1#2743|3#782|59#190	null
600	6030	20	6030#30|5#1440	1#3020|3#822|59#200	0#56#500
601	6031	1	6031#1|5#0	1#26|4#40|59#10	null
602	6031	2	6031#1|5#40	1#65|4#82|59#20	0#53#100
603	6031	3	6031#1|5#65	1#118|4#122|59#30	null
604	6031	4	6031#1|5#100	1#184|4#164|59#40	null
605	6031	5	6031#2|5#135	1#262|4#204|59#50	null
606	6031	6	6031#2|5#180	1#354|4#246|59#60	null
607	6031	7	6031#2|5#235	1#459|4#288|59#70	0#53#200
608	6031	8	6031#3|5#290	1#578|4#328|59#80	null
609	6031	9	6031#3|5#355	1#709|4#370|59#90	null
610	6031	10	6031#3|5#420	1#853|4#410|59#100	null
611	6031	11	6031#3|5#495	1#1011|4#452|59#110	null
612	6031	12	6031#3|5#580	1#1181|4#494|59#120	null
613	6031	13	6031#3|5#665	1#1365|4#534|59#130	null
614	6031	14	6031#4|5#760	1#1562|4#576|59#140	null
615	6031	15	6031#5|5#855	1#1772|4#616|59#150	0#53#300
616	6031	16	6031#6|5#960	1#1995|4#658|59#160	null
617	6031	17	6031#8|5#1075	1#2231|4#700|59#170	null
618	6031	18	6031#10|5#1190	1#2481|4#740|59#180	null
619	6031	19	6031#21|5#1315	1#2743|4#782|59#190	null
620	6031	20	6031#30|5#1440	1#3020|4#822|59#200	0#53#400
621	6032	1	6032#1|5#0	2#20|59#10|66#10	null
622	6032	2	6032#1|5#40	2#41|59#20|66#20	0#102#100
623	6032	3	6032#1|5#65	2#61|59#30|66#30	null
624	6032	4	6032#1|5#100	2#82|59#40|66#40	null
625	6032	5	6032#2|5#135	2#102|59#50|66#50	null
626	6032	6	6032#2|5#180	2#123|59#60|66#60	null
627	6032	7	6032#2|5#235	2#144|59#70|66#70	0#102#200
628	6032	8	6032#3|5#290	2#164|59#80|66#80	null
629	6032	9	6032#3|5#355	2#185|59#90|66#90	null
630	6032	10	6032#3|5#420	2#205|59#100|66#100	null
631	6032	11	6032#3|5#495	2#226|59#110|66#110	null
632	6032	12	6032#3|5#580	2#247|59#120|66#120	null
633	6032	13	6032#3|5#665	2#267|59#130|66#130	null
634	6032	14	6032#4|5#760	2#288|59#140|66#140	null
635	6032	15	6032#5|5#855	2#308|59#150|66#150	0#102#300
636	6032	16	6032#6|5#960	2#329|59#160|66#160	null
637	6032	17	6032#8|5#1075	2#350|59#170|66#170	null
638	6032	18	6032#10|5#1190	2#370|59#180|66#180	null
639	6032	19	6032#21|5#1315	2#391|59#190|66#190	null
640	6032	20	6032#30|5#1440	2#411|59#200|66#200	0#102#600
641	6033	1	6033#1|5#0	1#26|2#20|66#10	null
642	6033	2	6033#1|5#75	1#65|2#41|66#20	0#105#100
643	6033	3	6033#1|5#125	1#118|2#61|66#30	null
644	6033	4	6033#1|5#180	1#184|2#82|66#40	null
645	6033	5	6033#2|5#240	1#262|2#102|66#50	null
646	6033	6	6033#2|5#310	1#354|2#123|66#60	null
647	6033	7	6033#2|5#390	1#459|2#144|66#70	0#105#200
648	6033	8	6033#3|5#480	1#578|2#164|66#80	null
649	6033	9	6033#3|5#575	1#709|2#185|66#90	null
650	6033	10	6033#3|5#680	1#853|2#205|66#100	null
651	6033	11	6033#3|5#795	1#1011|2#226|66#110	null
652	6033	12	6033#3|5#915	1#1181|2#247|66#120	null
653	6033	13	6033#3|5#1050	1#1365|2#267|66#130	null
654	6033	14	6033#4|5#1190	1#1562|2#288|66#140	null
655	6033	15	6033#5|5#1335	1#1772|2#308|66#150	0#105#300
656	6033	16	6033#6|5#1495	1#1995|2#329|66#160	null
657	6033	17	6033#8|5#1665	1#2231|2#350|66#170	null
658	6033	18	6033#10|5#1840	1#2481|2#370|66#180	null
659	6033	19	6033#21|5#2025	1#2743|2#391|66#190	null
660	6033	20	6033#30|5#2220	1#3020|2#411|66#200	0#105#600
661	6034	1	6034#1|5#0	1#26|3#40|59#10	null
662	6034	2	6034#1|5#75	1#65|3#82|59#20	0#106#100
663	6034	3	6034#1|5#125	1#118|3#122|59#30	null
664	6034	4	6034#1|5#180	1#184|3#164|59#40	null
665	6034	5	6034#2|5#240	1#262|3#204|59#50	null
666	6034	6	6034#2|5#310	1#354|3#246|59#60	null
667	6034	7	6034#2|5#390	1#459|3#288|59#70	0#106#200
668	6034	8	6034#3|5#480	1#578|3#328|59#80	null
669	6034	9	6034#3|5#575	1#709|3#370|59#90	null
670	6034	10	6034#3|5#680	1#853|3#410|59#100	null
671	6034	11	6034#3|5#795	1#1011|3#452|59#110	null
672	6034	12	6034#3|5#915	1#1181|3#494|59#120	null
673	6034	13	6034#3|5#1050	1#1365|3#534|59#130	null
674	6034	14	6034#4|5#1190	1#1562|3#576|59#140	null
675	6034	15	6034#5|5#1335	1#1772|3#616|59#150	0#106#300
676	6034	16	6034#6|5#1495	1#1995|3#658|59#160	null
677	6034	17	6034#8|5#1665	1#2231|3#700|59#170	null
678	6034	18	6034#10|5#1840	1#2481|3#740|59#180	null
679	6034	19	6034#21|5#2025	1#2743|3#782|59#190	null
680	6034	20	6034#30|5#2220	1#3020|3#822|59#200	0#106#600
681	6035	1	6035#1|5#0	1#26|4#40|59#10	null
682	6035	2	6035#1|5#75	1#65|4#82|59#20	0#52#200
683	6035	3	6035#1|5#125	1#118|4#122|59#30	null
684	6035	4	6035#1|5#180	1#184|4#164|59#40	null
685	6035	5	6035#2|5#240	1#262|4#204|59#50	null
686	6035	6	6035#2|5#310	1#354|4#246|59#60	null
687	6035	7	6035#2|5#390	1#459|4#288|59#70	0#52#400
688	6035	8	6035#3|5#480	1#578|4#328|59#80	null
689	6035	9	6035#3|5#575	1#709|4#370|59#90	null
690	6035	10	6035#3|5#680	1#853|4#410|59#100	null
691	6035	11	6035#3|5#795	1#1011|4#452|59#110	null
692	6035	12	6035#3|5#915	1#1181|4#494|59#120	null
693	6035	13	6035#3|5#1050	1#1365|4#534|59#130	null
694	6035	14	6035#4|5#1190	1#1562|4#576|59#140	null
695	6035	15	6035#5|5#1335	1#1772|4#616|59#150	0#52#600
696	6035	16	6035#6|5#1495	1#1995|4#658|59#160	null
697	6035	17	6035#8|5#1665	1#2231|4#700|59#170	null
698	6035	18	6035#10|5#1840	1#2481|4#740|59#180	null
699	6035	19	6035#21|5#2025	1#2743|4#782|59#190	null
700	6035	20	6035#30|5#2220	1#3020|4#822|59#200	0#52#900
701	6036	1	6036#1|5#0	2#20|59#10|66#10	null
702	6036	2	6036#1|5#75	2#41|59#20|66#20	0#51#200
703	6036	3	6036#1|5#125	2#61|59#30|66#30	null
704	6036	4	6036#1|5#180	2#82|59#40|66#40	null
705	6036	5	6036#2|5#240	2#102|59#50|66#50	null
706	6036	6	6036#2|5#310	2#123|59#60|66#60	null
707	6036	7	6036#2|5#390	2#144|59#70|66#70	0#51#400
708	6036	8	6036#3|5#480	2#164|59#80|66#80	null
709	6036	9	6036#3|5#575	2#185|59#90|66#90	null
710	6036	10	6036#3|5#680	2#205|59#100|66#100	null
711	6036	11	6036#3|5#795	2#226|59#110|66#110	null
712	6036	12	6036#3|5#915	2#247|59#120|66#120	null
713	6036	13	6036#3|5#1050	2#267|59#130|66#130	null
714	6036	14	6036#4|5#1190	2#288|59#140|66#140	null
715	6036	15	6036#5|5#1335	2#308|59#150|66#150	0#51#600
716	6036	16	6036#6|5#1495	2#329|59#160|66#160	null
717	6036	17	6036#8|5#1665	2#350|59#170|66#170	null
718	6036	18	6036#10|5#1840	2#370|59#180|66#180	null
719	6036	19	6036#21|5#2025	2#391|59#190|66#190	null
720	6036	20	6036#30|5#2220	2#411|59#200|66#200	0#51#900
